product_category,required_strength,product_weight_kg,handling_type,value_category,shipping_type,breakage_risk,temperature_sensitive,shelf_life_months
Food,1,4.47,Fragile,Medium,Domestic,Low,No,4
Books,4,26.23,Light,Low,Domestic,High,No,1
Home Decor,6,8.4,Liquid,Medium,Domestic,High,Yes,2
Toys,9,6.03,Perishable,Medium,International,Medium,No,1
Food,4,9.93,Perishable,Medium,International,High,No,2
Automotive,6,26.78,Liquid,Low,International,Medium,No,4
Home Decor,4,8.5,Liquid,Medium,International,Low,Yes,2
Pharmaceuticals,3,14.99,Perishable,Medium,Domestic,Medium,Yes,5
Groceries,6,6.97,Liquid,Low,International,Low,Yes,2
Cosmetics,4,5.93,Heavy,High,International,Medium,No,4
Glassware,1,12.21,Fragile,Low,International,High,No,3
Books,7,20.93,Fragile,High,International,Medium,No,4
Electronics,6,3.78,Heavy,Low,Domestic,Low,No,1
Clothing,10,11.8,Perishable,High,Domestic,Medium,Yes,4
Food,7,12.8,Perishable,High,Domestic,Low,Yes,5
Food,9,12.43,Light,Medium,Domestic,High,Yes,4
Automotive,6,23.23,Fragile,Low,Domestic,High,Yes,5
Toys,6,10.86,Liquid,Low,Domestic,High,Yes,2
Medical Devices,9,22.08,Light,Low,International,Medium,Yes,5
Furniture,3,7.71,Perishable,Low,Domestic,Low,No,1
Pharmaceuticals,6,21.99,Fragile,High,Domestic,Low,No,1
Groceries,4,11.77,Heavy,Low,International,Low,No,4
Books,7,17.73,Perishable,Medium,International,High,Yes,4
Home Decor,6,24.12,Liquid,Low,Domestic,Low,Yes,2
Food,9,27.86,Liquid,Low,Domestic,High,No,5
Food,8,22.11,Heavy,High,Domestic,Low,Yes,5
Sports Equipment,10,29.96,Perishable,Low,International,High,Yes,3
Luxury Items,9,14.27,Perishable,Low,Domestic,High,Yes,3
Pharmaceuticals,9,28.63,Liquid,High,Domestic,High,No,4
Pharmaceuticals,8,19.62,Perishable,Low,International,High,No,3
Food,2,29.34,Light,High,Domestic,Low,No,4
Books,8,3.83,Heavy,Medium,Domestic,Low,Yes,4
Groceries,1,27.76,Liquid,Medium,Domestic,Low,Yes,1
Automotive,7,12.05,Liquid,High,Domestic,Low,No,1
Home Decor,9,19.43,Light,Medium,International,Low,Yes,5
Food,1,5.28,Heavy,Medium,International,High,No,4
Home Decor,5,11.97,Fragile,Low,Domestic,High,Yes,5
Clothing,9,14.97,Liquid,Medium,Domestic,Low,No,1
Pharmaceuticals,3,13.58,Perishable,High,International,Low,Yes,5
Cosmetics,1,9.74,Liquid,Low,Domestic,Low,No,5
Furniture,9,17.51,Perishable,High,Domestic,Low,Yes,5
Automotive,4,17.6,Fragile,High,International,Medium,Yes,5
Furniture,5,16.42,Liquid,Low,Domestic,Medium,No,4
Pharmaceuticals,2,13.94,Liquid,Low,Domestic,Medium,No,5
Books,10,6.73,Light,Medium,Domestic,Medium,No,1
Electronics,8,27.48,Perishable,High,Domestic,Medium,Yes,3
Medical Devices,7,7.6,Heavy,Medium,Domestic,High,Yes,1
Glassware,3,10.71,Perishable,High,Domestic,High,No,3
Automotive,2,12.85,Liquid,Low,International,Medium,Yes,4
