Material_Type,Tensile_Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Moisture_Barrier_Grade,AI_Recommendation
Recycled Cardboard,23.8,2.1,90,1.07,88.4,5,Highly Recommended
Bioplastic (PLA),60.4,4.8,86,2.46,54.7,9,Highly Recommended
Bagasse (Sugarcane),33.5,2.1,99.3,1.03,60.7,7,Highly Recommended
Recycled Cardboard,30.8,7.6,92.1,1.26,84.6,5,Highly Recommended
Bamboo Fiber,48.8,0.8,95.7,0.75,36.8,7,Highly Recommended
Bagasse (Sugarcane),35.9,5,97.2,1.29,52.5,5,Highly Recommended
Mushroom Mycelium,18,4.4,100,0.11,100,6,Highly Recommended
Bagasse (Sugarcane),25.1,6.2,99.4,1.38,68.8,6,Highly Recommended
Edible Seaweed Film,13.7,6,100,0.48,2.2,4,Consider as Option
Aluminum Foil,40.1,4.7,0,8.9,94.5,10,Avoid
Aluminum Foil,23,2.6,0,8.24,90.3,10,Avoid
Edible Seaweed Film,11.4,7.6,100,0.29,7.9,4,Consider as Option
Virgin Plastic (PP),64.9,6.6,4.8,4.92,13.7,10,Avoid
Recycled Cardboard,25.8,5.4,91.9,0.94,90.2,5,Highly Recommended
Bamboo Fiber,52.5,6.7,96.1,1.03,40.4,8,Highly Recommended
Virgin Plastic (PP),75.5,3.8,4.1,5.31,10.1,10,Avoid
Recycled Cardboard,31,9.7,91.6,1.31,91.1,3,Highly Recommended
Mushroom Mycelium,16.1,8.5,100,0.28,100,5,Highly Recommended
Mushroom Mycelium,24,1.5,100,0.38,100,5,Highly Recommended
Virgin Plastic (PP),86,6.3,0.2,5.76,11.7,10,Avoid
Virgin Plastic (PP),85.3,8.9,3.3,5.2,28.2,10,Avoid
Aluminum Foil,28,4.9,0,9.05,97.3,10,Avoid
Recycled Cardboard,23.7,4.5,95.2,0.87,85.8,4,Highly Recommended
Bioplastic (PLA),59.7,2.3,93.2,2.45,53.5,9,Highly Recommended
Recycled Cardboard,23.6,2,90.5,1.42,95.9,3,Highly Recommended
Bioplastic (PLA),61.7,9.5,93,1.86,51.2,8,Highly Recommended
Bioplastic (PLA),60.8,5.1,82.1,1.62,44,9,Highly Recommended
Recycled Cardboard,19.9,2.8,99.8,1.3,88.8,4,Highly Recommended
Bamboo Fiber,41.7,0.7,98.9,0.63,45.6,7,Highly Recommended
Mushroom Mycelium,10.6,9.1,100,0.35,100,4,Highly Recommended
Recycled Cardboard,24.4,4.6,99.8,0.98,95.7,3,Highly Recommended
Edible Seaweed Film,7.3,3.6,100,0.51,9.6,2,Consider as Option
Mushroom Mycelium,11.9,7,100,0.15,100,6,Highly Recommended
Virgin Plastic (PP),87.4,9.8,2.4,4.93,14.2,10,Avoid
Recycled Cardboard,26.2,3.1,91.8,0.83,81.4,4,Highly Recommended
Edible Seaweed Film,12.3,4.1,100,0.31,8.6,2,Consider as Option
Bioplastic (PLA),53.8,8,82.3,2.47,55.3,8,Consider as Option
Bamboo Fiber,55.5,9.9,95.7,1.06,41.5,8,Highly Recommended
Aluminum Foil,41.4,6.9,0,11.56,90.3,10,Avoid
Bioplastic (PLA),67.9,3.2,90.8,1.75,43.5,8,Highly Recommended
Virgin Plastic (PP),74.4,9.5,4.2,3.67,13.4,10,Avoid
Bamboo Fiber,44.6,5.2,96,0.71,49.1,8,Highly Recommended
Aluminum Foil,23.8,1.6,0,11.77,92.8,10,Avoid
Edible Seaweed Film,10,1.4,100,0.27,6.4,2,Consider as Option
Bamboo Fiber,45.9,1.4,98.1,0.63,32.4,8,Highly Recommended
Aluminum Foil,36.9,1,0,9.1,92.3,10,Avoid
Edible Seaweed Film,6,5,100,0.36,3,2,Consider as Option
Recycled Cardboard,32.9,3.4,99.9,0.92,96.7,4,Highly Recommended
Recycled Cardboard,17.8,4.5,92.9,0.98,95.4,3,Highly Recommended
Mushroom Mycelium,18.3,6.7,100,0.32,100,6,Highly Recommended
Recycled Cardboard,15.9,6.6,98.2,0.83,94.9,3,Highly Recommended
Bamboo Fiber,54.6,5.2,96.6,0.91,48.8,7,Highly Recommended
Bagasse (Sugarcane),30.5,0.8,98.7,1.33,58.7,5,Highly Recommended
Mushroom Mycelium,12.1,9.7,100,0.1,100,4,Highly Recommended
Bamboo Fiber,57.7,5,95.6,0.95,31,7,Highly Recommended
Aluminum Foil,26.5,7.8,0,8.08,91.8,10,Avoid
Edible Seaweed Film,10.1,0.6,100,0.3,2,4,Consider as Option
Bamboo Fiber,52.6,3.9,99.8,0.8,30.9,8,Highly Recommended
Mushroom Mycelium,16.1,7.4,100,0.14,100,6,Highly Recommended
Bioplastic (PLA),66.7,5.4,85.3,1.71,54.4,9,Highly Recommended
Recycled Cardboard,31.1,7.4,92.2,1.25,93.2,3,Highly Recommended
Aluminum Foil,26.7,4.6,0,8.47,95.6,10,Avoid
Virgin Plastic (PP),86.2,9.9,3.2,3.76,23.2,10,Avoid
Bagasse (Sugarcane),34.1,6.1,98.8,0.96,67.1,7,Highly Recommended
Virgin Plastic (PP),81.2,8.6,2.3,4.5,11.4,10,Avoid
Bagasse (Sugarcane),20.9,3,97.5,0.94,67.7,5,Highly Recommended
Mushroom Mycelium,13.9,4.9,100,0.29,100,4,Highly Recommended
Aluminum Foil,23.1,8,0,8.63,90.3,10,Avoid
Aluminum Foil,36.5,5.8,0,9.03,92.4,10,Avoid
Recycled Cardboard,33.7,1.8,97.2,1.08,81.5,4,Highly Recommended
Virgin Plastic (PP),83.2,2.3,2.1,4.63,25.2,10,Avoid
Virgin Plastic (PP),63.5,9.6,0.9,5.25,12.5,10,Avoid
Edible Seaweed Film,5.8,7.4,100,0.49,2.9,2,Consider as Option
Aluminum Foil,21.2,8.8,0,9.83,93.6,10,Avoid
Bagasse (Sugarcane),36.6,4.5,96.1,1.32,65.4,6,Highly Recommended
Bamboo Fiber,45.1,0.7,99.4,1,44.6,7,Highly Recommended
Mushroom Mycelium,23.2,8.7,100,0.19,100,6,Highly Recommended
Recycled Cardboard,16.2,6.6,94.8,1.21,80.9,3,Highly Recommended
Bagasse (Sugarcane),37.9,2.8,96.3,0.94,68.2,6,Highly Recommended
Recycled Cardboard,18.9,9.1,91.2,1.49,96.9,5,Highly Recommended
Aluminum Foil,25.1,4.7,0,11.17,93.1,10,Avoid
Bagasse (Sugarcane),26.6,3.3,95.1,0.9,68,6,Highly Recommended
Bioplastic (PLA),60.4,6.1,90.1,2.38,54.5,9,Highly Recommended
Bioplastic (PLA),51.8,4,94.7,1.85,48.6,9,Highly Recommended
Recycled Cardboard,18.5,8.3,91,1,94.1,5,Highly Recommended
Bagasse (Sugarcane),34.9,4,97.4,1.35,55.5,6,Highly Recommended
Bamboo Fiber,52.1,9,95.5,1.01,33.6,7,Highly Recommended
Aluminum Foil,27.8,1.4,0,11.9,97.4,10,Avoid
Edible Seaweed Film,13.3,4,100,0.45,3.8,3,Consider as Option
Recycled Cardboard,28.9,5.9,90.9,1.05,88.6,3,Highly Recommended
Virgin Plastic (PP),78.3,8.9,0.2,3.61,11.1,10,Avoid
Bamboo Fiber,43.1,2,98.4,0.93,33.5,7,Highly Recommended
Bagasse (Sugarcane),29.3,7.4,98.4,0.93,59.5,5,Highly Recommended
Edible Seaweed Film,9.3,6.5,100,0.42,2,2,Consider as Option
Virgin Plastic (PP),66.7,8.8,3.8,4.84,25,10,Avoid
Virgin Plastic (PP),87.7,2.5,1.7,5.74,29.1,10,Avoid
Edible Seaweed Film,8.7,1.4,100,0.4,4.4,3,Consider as Option
Bamboo Fiber,46.2,0.7,96.7,0.72,36,8,Highly Recommended
Bagasse (Sugarcane),36.5,1.3,98.6,1.24,61.4,7,Highly Recommended
Aluminum Foil,41.8,6.7,0,10.05,97.5,10,Avoid
Recycled Cardboard,15.6,5.1,91.8,0.82,82.2,3,Highly Recommended
Bagasse (Sugarcane),39.1,6.9,97.4,0.91,61,5,Highly Recommended
Virgin Plastic (PP),81.8,8.8,1.1,5.12,19.5,10,Avoid
Edible Seaweed Film,8.5,1,100,0.42,8.5,3,Consider as Option
Virgin Plastic (PP),71.3,5,2.8,3.99,20.4,10,Avoid
Bagasse (Sugarcane),33.7,2.7,98.7,1.08,64.1,6,Highly Recommended
Bagasse (Sugarcane),34.8,9.8,96.1,1.06,59.7,7,Highly Recommended
Bagasse (Sugarcane),35.5,4.1,98.8,1.11,55.6,7,Highly Recommended
Bioplastic (PLA),65.1,6.1,82.3,2.32,44.8,8,Consider as Option
Bamboo Fiber,46.3,3.5,95.3,0.86,34,6,Highly Recommended
Bamboo Fiber,58.8,8.7,99.5,1.13,30.1,6,Highly Recommended
Virgin Plastic (PP),79.3,3.3,2.7,5.88,22.4,10,Avoid
Bagasse (Sugarcane),38.8,7.6,96.1,1.29,65.1,5,Highly Recommended
Mushroom Mycelium,13.7,7.1,100,0.19,100,5,Highly Recommended
Edible Seaweed Film,6.7,8,100,0.59,3.6,2,Consider as Option
Bagasse (Sugarcane),29,8.2,96.3,1.12,57.3,7,Highly Recommended
Edible Seaweed Film,7,2.6,100,0.37,4.2,3,Consider as Option
Bagasse (Sugarcane),35.2,2.8,98.2,0.99,54.8,6,Highly Recommended
Recycled Cardboard,27.9,3.1,91.8,1.05,84,3,Highly Recommended
Aluminum Foil,40.7,5.5,0,11.26,91.8,10,Avoid
Mushroom Mycelium,19.4,8.7,100,0.28,100,4,Highly Recommended
Virgin Plastic (PP),89.6,9.8,1.4,4.41,17.6,10,Avoid
Edible Seaweed Film,8.8,4.4,100,0.36,0.7,3,Consider as Option
Bioplastic (PLA),52,6.8,88.4,1.58,59.6,8,Highly Recommended
Aluminum Foil,40.4,9.1,0,10.81,96.5,10,Avoid
Mushroom Mycelium,16,3,100,0.25,100,4,Highly Recommended
Recycled Cardboard,18.5,8,92.6,1.13,91.7,3,Highly Recommended
Bagasse (Sugarcane),33.1,2.9,96.1,1.05,55.5,7,Highly Recommended
Aluminum Foil,35,2.4,0,10.83,91.8,10,Avoid
Bioplastic (PLA),73.4,6.9,92.9,1.96,48.1,8,Highly Recommended
Mushroom Mycelium,13.2,4.8,100,0.21,100,5,Highly Recommended
Aluminum Foil,38.1,8.6,0,11.91,95.8,10,Avoid
Edible Seaweed Film,9.5,9.2,100,0.43,2.7,4,Consider as Option
Bioplastic (PLA),50.6,1.4,90.8,2.09,59.1,8,Highly Recommended
Aluminum Foil,39.3,0.6,0,9.26,94.2,10,Avoid
Recycled Cardboard,30.5,9.4,99.3,1.3,86,4,Highly Recommended
Bioplastic (PLA),57.7,7.8,81,1.61,53.8,8,Highly Recommended
Aluminum Foil,28.4,2.2,0,9.89,91.8,10,Avoid
Bamboo Fiber,55.9,2.4,99.4,1.17,36.1,7,Highly Recommended
Recycled Cardboard,23.9,9.1,92.2,1.05,89.1,5,Highly Recommended
Mushroom Mycelium,16.5,6.5,100,0.17,100,6,Highly Recommended
Bioplastic (PLA),67.1,8.7,82.5,2.49,56.2,8,Consider as Option
Aluminum Foil,35.3,7.9,0,10.5,90.7,10,Avoid
Bagasse (Sugarcane),38.4,4.9,98.3,1.18,69.2,5,Highly Recommended
Aluminum Foil,23,3.2,0,9.28,92,10,Avoid
Bamboo Fiber,40.4,7.7,95.6,0.52,40.3,8,Highly Recommended
Bamboo Fiber,49.3,4.9,95.9,0.96,47.8,6,Highly Recommended
Edible Seaweed Film,10,7.7,100,0.25,7.9,3,Consider as Option
Bioplastic (PLA),70.7,9.5,91.7,1.61,51.5,8,Highly Recommended
Aluminum Foil,41.7,0.8,0,11.04,99.7,10,Avoid
Recycled Cardboard,25.8,3.8,99.5,0.98,87,4,Highly Recommended
Bamboo Fiber,56.1,9.9,98.7,0.83,35.2,7,Highly Recommended
Aluminum Foil,41.8,5.8,0,9.73,99,10,Avoid
Aluminum Foil,33.5,3.5,0,10.51,91.4,10,Avoid
Edible Seaweed Film,12.7,9.2,100,0.59,0.8,2,Consider as Option
Mushroom Mycelium,21.7,2.5,100,0.37,100,6,Highly Recommended
Bioplastic (PLA),69.6,1.6,92,2.31,50.2,9,Highly Recommended
Bioplastic (PLA),66.3,6,85.8,1.53,58.4,8,Highly Recommended
Aluminum Foil,23,7.8,0,11.02,92.9,10,Avoid
Recycled Cardboard,25,7.7,92.3,1.25,96.2,3,Highly Recommended
Mushroom Mycelium,22.5,2.3,100,0.22,100,6,Highly Recommended
Bioplastic (PLA),56.7,8.3,89.2,2.14,55.8,8,Highly Recommended
Edible Seaweed Film,8.6,5.5,100,0.36,9.1,3,Consider as Option
Aluminum Foil,31.2,4.1,0,11.08,99.1,10,Avoid
Bioplastic (PLA),71.7,7,85.6,1.6,41.9,8,Highly Recommended
Virgin Plastic (PP),61.3,9.4,2.7,4.68,16,10,Avoid
Edible Seaweed Film,15,9.7,100,0.35,3.7,2,Consider as Option
Bamboo Fiber,42.9,8.3,99.9,0.52,36.7,7,Highly Recommended
Recycled Cardboard,31.2,4.6,97.9,1.3,83.1,5,Highly Recommended
Recycled Cardboard,25.9,5.6,98.7,1.5,90.1,4,Highly Recommended
Bioplastic (PLA),55.1,8.8,88.9,2.3,40.2,8,Consider as Option
Recycled Cardboard,15.1,2.5,92.3,1.42,84.4,5,Highly Recommended
Bagasse (Sugarcane),38.7,7.7,97.7,0.97,63.9,7,Highly Recommended
Bagasse (Sugarcane),20.9,7.7,96.3,1.37,60.1,5,Highly Recommended
Mushroom Mycelium,20.1,9.9,100,0.2,100,6,Highly Recommended
Recycled Cardboard,15.8,5.7,93.1,0.87,85.3,3,Highly Recommended
Edible Seaweed Film,5.4,8.4,100,0.42,8,2,Consider as Option
Aluminum Foil,25.3,2.4,0,8.02,100,10,Avoid
Mushroom Mycelium,14.3,2.2,100,0.14,100,4,Highly Recommended
Bioplastic (PLA),73.4,7.4,86,2.22,44.3,8,Consider as Option
Bioplastic (PLA),58.7,3.7,87.1,2.32,58.8,8,Highly Recommended
Edible Seaweed Film,6.3,7.9,100,0.43,7.5,3,Consider as Option
Bamboo Fiber,54,9.2,98.2,1.13,37.7,8,Highly Recommended
Bagasse (Sugarcane),26.6,3.3,98.9,1.1,50.3,5,Highly Recommended
Bamboo Fiber,49.5,1.2,98.3,1.02,33.9,7,Highly Recommended
Mushroom Mycelium,22.6,9.3,100,0.27,100,4,Highly Recommended
Mushroom Mycelium,16.1,3.8,100,0.19,100,5,Highly Recommended
Bagasse (Sugarcane),25.1,1.1,98.2,1.25,61.4,5,Highly Recommended
Edible Seaweed Film,9.1,7.5,100,0.49,4.9,4,Consider as Option
Bioplastic (PLA),65.2,8.4,80.1,2.1,51,8,Consider as Option
Recycled Cardboard,32.8,9.1,90.5,1.44,86.3,4,Highly Recommended
Edible Seaweed Film,9.6,2.7,100,0.35,8.4,3,Consider as Option
Mushroom Mycelium,11.7,7.6,100,0.18,100,6,Highly Recommended
Bamboo Fiber,47.2,7.8,95.3,0.89,38.9,6,Highly Recommended
Virgin Plastic (PP),78.3,7.2,4.9,4.85,24,10,Avoid
Aluminum Foil,34.3,5,0,8.42,97.2,10,Avoid
Bagasse (Sugarcane),29.5,6.7,95.2,1.17,57.6,5,Highly Recommended
Mushroom Mycelium,14.4,5.1,100,0.35,100,5,Highly Recommended
Bioplastic (PLA),63.7,4.7,90.1,1.77,42.4,9,Highly Recommended
Virgin Plastic (PP),67,5.2,1.2,4.02,15.8,10,Avoid
Mushroom Mycelium,17.4,1.4,100,0.21,100,5,Highly Recommended
Edible Seaweed Film,7,8.2,100,0.29,2.2,4,Consider as Option
Virgin Plastic (PP),77.5,0.9,4.8,5.36,28.1,10,Avoid
Aluminum Foil,28.2,8.9,0,11.05,95.1,10,Avoid
Bagasse (Sugarcane),25.4,6,97.1,1.33,64.7,6,Highly Recommended
Virgin Plastic (PP),74,4.6,1.8,3.61,24.8,10,Avoid
Bagasse (Sugarcane),34.9,2.2,99.2,1.28,63.4,7,Highly Recommended
Aluminum Foil,37.2,4.7,0,11.65,96.2,10,Avoid
Bagasse (Sugarcane),33.1,0.6,97.8,1.3,57.3,5,Highly Recommended
Mushroom Mycelium,16.4,7.4,100,0.33,100,5,Highly Recommended
Virgin Plastic (PP),89.2,5.3,1,3.99,13.9,10,Avoid
Bamboo Fiber,57.4,4.2,95.1,0.68,31.2,6,Highly Recommended
Virgin Plastic (PP),72.9,1.4,4,5.17,23.4,10,Avoid
Bioplastic (PLA),65.4,7,87.2,1.67,41.6,9,Highly Recommended
Aluminum Foil,29.3,9.3,0,8.07,94.1,10,Avoid
Aluminum Foil,45,2.3,0,10.25,98.7,10,Avoid
Bagasse (Sugarcane),24,0.6,96.5,1.36,50.8,6,Highly Recommended
Bamboo Fiber,50.7,2.8,99.1,1.15,35.5,8,Highly Recommended
Mushroom Mycelium,17.8,8.8,100,0.4,100,5,Highly Recommended
Bamboo Fiber,43,5.6,96,0.6,44.1,7,Highly Recommended
Edible Seaweed Film,5.3,3.3,100,0.55,8.6,2,Consider as Option
Edible Seaweed Film,5.1,1.2,100,0.49,2,3,Consider as Option
Aluminum Foil,37.3,2.3,0,8.53,93.4,10,Avoid
Mushroom Mycelium,20.9,9.9,100,0.34,100,5,Highly Recommended
Bagasse (Sugarcane),34.2,1.5,95.9,0.93,65.7,7,Highly Recommended
Bamboo Fiber,44.3,3,97.5,0.79,40.4,7,Highly Recommended
Edible Seaweed Film,6.9,9.6,100,0.44,3.5,2,Consider as Option
Recycled Cardboard,22.1,5.6,90.9,1.26,97.9,4,Highly Recommended
Mushroom Mycelium,11.9,5.7,100,0.32,100,5,Highly Recommended
Recycled Cardboard,20,4.9,96.6,1.09,99.6,4,Highly Recommended
Bagasse (Sugarcane),35.1,5.7,99.9,1.13,50.2,6,Highly Recommended
Bagasse (Sugarcane),34.8,6.9,96.1,1.26,50.9,6,Highly Recommended
Bioplastic (PLA),72.1,1.2,94.7,2.36,56.1,8,Highly Recommended
Bagasse (Sugarcane),28.8,3.9,97.5,1.36,61.5,6,Highly Recommended
Aluminum Foil,30.3,4.9,0,11.9,96.4,10,Avoid
Virgin Plastic (PP),80.9,1.9,4.2,3.95,22.9,10,Avoid
Aluminum Foil,23.3,7.4,0,9.78,90.7,10,Avoid
Virgin Plastic (PP),64.9,5,2.2,5.41,19.9,10,Avoid
Bamboo Fiber,59.5,7.7,97.6,1.08,41.4,8,Highly Recommended
Recycled Cardboard,32.3,6.1,98.7,1.06,95.1,4,Highly Recommended
Bamboo Fiber,51,8.9,98.4,0.59,47,7,Highly Recommended
Aluminum Foil,43.3,0.9,0,11.61,96.9,10,Avoid
Aluminum Foil,43.2,9.1,0,8.78,97,10,Avoid
Virgin Plastic (PP),73.7,2.6,3.3,4.43,29.4,10,Avoid
Recycled Cardboard,34.7,8.5,99.2,0.97,90.6,3,Highly Recommended
Aluminum Foil,36.9,7.2,0,11.28,98.2,10,Avoid
Bamboo Fiber,54.9,8.8,98.1,0.63,33.2,6,Highly Recommended
Bamboo Fiber,55.7,2.1,95.8,0.63,39.8,6,Highly Recommended
Edible Seaweed Film,6,9,100,0.39,8.7,3,Consider as Option
Aluminum Foil,21.1,8.3,0,10.86,98,10,Avoid
Virgin Plastic (PP),82.7,4.3,1.5,4.16,14.5,10,Avoid
Recycled Cardboard,18.2,4.4,98.3,1.48,92.3,3,Highly Recommended
Mushroom Mycelium,10.6,6.9,100,0.19,100,6,Highly Recommended
Recycled Cardboard,16,5.8,98.6,1.07,80.1,5,Highly Recommended
Aluminum Foil,22.6,7,0,9.34,99.9,10,Avoid
Recycled Cardboard,23.6,6.1,95.4,1.01,89.2,3,Highly Recommended
Recycled Cardboard,24.2,7.3,98.6,1.06,99.2,5,Highly Recommended
Aluminum Foil,40.3,0.7,0,10.56,94.3,10,Avoid
Mushroom Mycelium,21.4,2.6,100,0.12,100,6,Highly Recommended
Recycled Cardboard,29.2,1.4,96.1,1.03,80.4,3,Highly Recommended
Recycled Cardboard,17,7.9,98.1,1.44,83.3,4,Highly Recommended
Bamboo Fiber,45.6,6.7,99.7,0.91,45.9,7,Highly Recommended
Mushroom Mycelium,15.1,3.4,100,0.26,100,6,Highly Recommended
Mushroom Mycelium,21.6,5.5,100,0.19,100,4,Highly Recommended
Mushroom Mycelium,12.7,6.3,100,0.13,100,4,Highly Recommended
Mushroom Mycelium,22.7,8.6,100,0.3,100,4,Highly Recommended
Aluminum Foil,25.5,3.8,0,10.24,98,10,Avoid
Bagasse (Sugarcane),28.8,6.6,96.3,1.29,54,5,Highly Recommended
Bamboo Fiber,44.5,9.9,97.8,0.67,46.4,8,Highly Recommended
Aluminum Foil,29.5,6.2,0,10.04,93.7,10,Avoid
Bamboo Fiber,54.2,4.4,98,0.83,38.9,7,Highly Recommended
Virgin Plastic (PP),61.6,5.3,1.8,3.79,14.4,10,Avoid
Virgin Plastic (PP),66.7,8.6,3.6,3.87,22,10,Avoid
Aluminum Foil,31.3,2.2,0,8.09,97.2,10,Avoid
Virgin Plastic (PP),67.5,9.8,5,5.27,15.6,10,Avoid
Recycled Cardboard,15.9,4.8,100,1.19,95.4,5,Highly Recommended
Edible Seaweed Film,7.1,9.2,100,0.48,5.9,2,Consider as Option
Bioplastic (PLA),69.8,4.3,93.2,1.77,49.3,9,Highly Recommended
Recycled Cardboard,34.3,6.2,90.3,1.36,96.1,4,Highly Recommended
Bioplastic (PLA),71.7,6.2,88.2,2.4,49.3,8,Consider as Option
Bagasse (Sugarcane),34.3,4.2,96,1.01,68.9,5,Highly Recommended
Recycled Cardboard,21.9,9.8,92.7,1.18,95.9,3,Highly Recommended
Bioplastic (PLA),62.4,8.4,82.3,2.3,57.9,9,Highly Recommended
Recycled Cardboard,33.3,2.3,98,1.01,95.3,5,Highly Recommended
Recycled Cardboard,18.3,6.1,97.2,1.25,83.3,4,Highly Recommended
Virgin Plastic (PP),66.2,5.9,2.7,4.34,27.4,10,Avoid
Mushroom Mycelium,19.2,4.9,100,0.39,100,4,Highly Recommended
Mushroom Mycelium,21.2,1.1,100,0.32,100,4,Highly Recommended
Aluminum Foil,25.3,2.6,0,11.57,98,10,Avoid
Edible Seaweed Film,10.4,2.5,100,0.59,9.8,2,Consider as Option
Edible Seaweed Film,13.9,4.8,100,0.44,2.9,4,Consider as Option
Aluminum Foil,28.5,5.4,0,11.77,99.5,10,Avoid
Edible Seaweed Film,9.3,5.1,100,0.31,4.3,4,Consider as Option
Edible Seaweed Film,7.9,7.3,100,0.35,2.6,4,Consider as Option
Mushroom Mycelium,18.7,9.3,100,0.26,100,6,Highly Recommended
Mushroom Mycelium,13.1,2.5,100,0.12,100,6,Highly Recommended
Bioplastic (PLA),72.4,10,88.3,2.08,50.4,8,Highly Recommended
Edible Seaweed Film,6.2,1,100,0.22,0.5,3,Consider as Option
Edible Seaweed Film,9.4,6.3,100,0.57,6.5,4,Consider as Option
Aluminum Foil,23.5,7.6,0,8.77,91.4,10,Avoid
Edible Seaweed Film,13.3,9.7,100,0.39,8.2,4,Consider as Option
Bioplastic (PLA),62.8,3.6,93.5,2.23,43.3,8,Highly Recommended
Aluminum Foil,32.4,9.6,0,10.47,98,10,Avoid
Edible Seaweed Film,6.8,4,100,0.3,4.5,4,Consider as Option
Aluminum Foil,37.4,8.2,0,9.95,93.7,10,Avoid
Bamboo Fiber,59.6,9.7,98.5,0.94,46.9,8,Highly Recommended
Aluminum Foil,32.9,7.1,0,11.02,98.9,10,Avoid
Aluminum Foil,29.5,4,0,10.27,99.8,10,Avoid
Bamboo Fiber,59,4.5,98.5,0.99,39.8,7,Highly Recommended
Mushroom Mycelium,22.3,3.4,100,0.27,100,4,Highly Recommended
Virgin Plastic (PP),87.3,3.5,3.7,3.65,13.2,10,Avoid
Virgin Plastic (PP),62.7,4.5,3,4,13.6,10,Avoid
Virgin Plastic (PP),80,7.9,3.9,5.51,24.8,10,Avoid
Bamboo Fiber,56.5,4.8,95.5,0.8,37,8,Highly Recommended
Bagasse (Sugarcane),21.7,5.8,99.3,1.36,63.9,5,Highly Recommended
Bagasse (Sugarcane),28.5,0.6,97.9,1.09,59.6,5,Highly Recommended
Edible Seaweed Film,14.5,3,100,0.58,6.6,3,Consider as Option
Bamboo Fiber,41.5,0.6,98.3,0.85,37.5,7,Highly Recommended
Edible Seaweed Film,9.1,3.6,100,0.32,6.5,3,Consider as Option
Mushroom Mycelium,24.6,4.6,100,0.3,100,6,Highly Recommended
Edible Seaweed Film,13.6,0.9,100,0.33,2.8,2,Consider as Option
Recycled Cardboard,19.2,4.9,99.1,1.25,89.3,3,Highly Recommended
Mushroom Mycelium,10.8,4,100,0.3,100,5,Highly Recommended
Bioplastic (PLA),67.8,8.3,82.1,2.06,54,9,Highly Recommended
Bamboo Fiber,56.2,5.4,95.1,0.63,43.3,6,Highly Recommended
Mushroom Mycelium,16.5,9.9,100,0.27,100,4,Highly Recommended
Recycled Cardboard,32.1,5.3,94.5,1.2,88.9,3,Highly Recommended
Bioplastic (PLA),54.7,9.8,81.8,2.33,50.4,9,Consider as Option
Mushroom Mycelium,10.5,8.3,100,0.37,100,6,Highly Recommended
Bagasse (Sugarcane),32,1.5,96.6,1.3,60.9,5,Highly Recommended
Bagasse (Sugarcane),31.5,7.9,99.9,0.93,68,6,Highly Recommended
Aluminum Foil,35.2,3,0,9.71,96.3,10,Avoid
Bioplastic (PLA),57,7.6,86.7,1.61,57.2,8,Highly Recommended
Bamboo Fiber,50.3,9.4,97.9,0.84,42,8,Highly Recommended
Bioplastic (PLA),58.6,1.3,80.9,1.71,54.7,9,Highly Recommended
Bamboo Fiber,59.1,8,97.8,0.88,41.4,6,Highly Recommended
Mushroom Mycelium,15.7,1.3,100,0.38,100,6,Highly Recommended
Virgin Plastic (PP),75.8,0.8,0.4,5.5,25.4,10,Avoid
Edible Seaweed Film,8.1,1.5,100,0.58,1.4,2,Consider as Option
Mushroom Mycelium,10.8,4,100,0.17,100,4,Highly Recommended
Virgin Plastic (PP),62.2,2.6,4.7,4.72,27.3,10,Avoid
Mushroom Mycelium,19.4,8.3,100,0.4,100,6,Highly Recommended
Bioplastic (PLA),55.4,7.9,81.8,2.25,42.8,9,Consider as Option
Virgin Plastic (PP),64,8.2,1.4,5.4,21.3,10,Avoid
Recycled Cardboard,30.6,2.2,97.2,1.36,90.8,3,Highly Recommended
Recycled Cardboard,33.1,1,91.5,0.99,98.9,3,Highly Recommended
Edible Seaweed Film,11.9,3.6,100,0.35,8.5,2,Consider as Option
Bamboo Fiber,60,1,96.4,0.81,33.9,8,Highly Recommended
Aluminum Foil,33.1,0.5,0,9.34,99.2,10,Avoid
Virgin Plastic (PP),69.4,8.9,1.3,5.92,14.8,10,Avoid
Bagasse (Sugarcane),37.7,1.4,97.8,0.94,55.2,5,Highly Recommended
Bagasse (Sugarcane),27.1,7.3,97.3,1.29,55.9,7,Highly Recommended
Bagasse (Sugarcane),36,3.2,98.6,0.97,55,7,Highly Recommended
Edible Seaweed Film,5.7,5.1,100,0.37,7.8,2,Consider as Option
Bioplastic (PLA),73.9,3.8,90.6,1.77,59.2,8,Highly Recommended
Aluminum Foil,30.8,8.6,0,9.77,93.5,10,Avoid
Aluminum Foil,30.7,6,0,10.59,90.9,10,Avoid
Virgin Plastic (PP),83.4,5.8,2,4.46,29.5,10,Avoid
Mushroom Mycelium,19.4,5.8,100,0.34,100,6,Highly Recommended
Aluminum Foil,42.1,0.6,0,9.24,90.2,10,Avoid
Edible Seaweed Film,6,5.1,100,0.32,9.7,3,Consider as Option
Bioplastic (PLA),56.8,1.4,84.6,1.88,51.2,8,Highly Recommended
Recycled Cardboard,25.6,4.6,95.6,1.36,80,5,Highly Recommended
Aluminum Foil,23.5,9.7,0,11.76,95.2,10,Avoid
Edible Seaweed Film,8,4.1,100,0.24,9.5,3,Consider as Option
Bagasse (Sugarcane),38.1,8.4,97.7,1.25,57.1,7,Highly Recommended
