product_id,product_name,category,material_type,weight_kg,volume_m3,shelf_life_days,packaging_required
P02109,Chocolate,Food,Bioplastic (PLA),0.12,0.0002,345,True
P02110,Chocolate,Food,Bamboo Fiber,0.152,0.0001,630,True
P02111,Chocolate,Food,Bioplastic (PLA),0.056,0.0001,110,True
P02112,Chocolate,Food,Mushroom Mycelium,0.098,0.0001,426,True
P02113,Chocolate,Food,Bamboo Fiber,0.059,0.0002,641,True
P02114,Chocolate,Food,Recycled Cardboard,0.132,0.0001,325,True
P02115,Chocolate,Food,Bioplastic (PLA),0.084,0.0001,83,True
P02116,Chocolate,Food,Bioplastic (PLA),0.074,0.0002,702,True
P02117,Chocolate,Food,Bagasse,0.092,0.0001,371,True
P02118,Chocolate,Food,Bamboo Fiber,0.095,0.0001,462,True
P02119,Chocolate,Food,Recycled Cardboard,0.081,0.0001,142,True
P02120,Chocolate,Food,Bioplastic (PLA),0.103,0.0002,705,True
P02121,Chocolate,Food,Mushroom Mycelium,0.065,0.0001,685,True
P02122,Chocolate,Food,Bagasse,0.174,0.0002,424,True
P02123,Chocolate,Food,Bioplastic (PLA),0.184,0.0001,145,True
P02124,Chocolate,Food,Bamboo Fiber,0.102,0.0001,600,True
P02125,Chocolate,Food,Bagasse,0.098,0.0001,715,True
P02126,Chocolate,Food,Bagasse,0.145,0.0001,616,True
P02127,Chocolate,Food,Bagasse,0.106,0.0002,421,True
P02128,Chocolate,Food,Mushroom Mycelium,0.073,0.0002,331,True
P02129,Chocolate,Food,Bamboo Fiber,0.158,0.0002,90,True
P02130,Chocolate,Food,Mushroom Mycelium,0.071,0.0002,89,True
P02131,Chocolate,Food,Mushroom Mycelium,0.195,0.0002,164,True
P02132,Chocolate,Food,Bamboo Fiber,0.065,0.0001,649,True
P02133,Chocolate,Food,Mushroom Mycelium,0.081,0.0001,161,True
P02134,Chocolate,Food,Recycled Cardboard,0.193,0.0001,53,True
P02135,Chocolate,Food,Recycled Cardboard,0.119,0.0002,354,True
P02136,Chocolate,Food,Bamboo Fiber,0.085,0.0001,722,True
P02137,Chocolate,Food,Bamboo Fiber,0.1,0.0001,331,True
P02138,Chocolate,Food,Bamboo Fiber,0.098,0.0001,61,True
P02139,Chocolate,Food,Mushroom Mycelium,0.122,0.0001,56,True
P02140,Chocolate,Food,Bamboo Fiber,0.06,0.0001,206,True
P02141,Chocolate,Food,Bamboo Fiber,0.128,0.0001,705,True
P02142,Chocolate,Food,Bioplastic (PLA),0.093,0.0001,459,True
P02143,Chocolate,Food,Bamboo Fiber,0.061,0.0002,252,True
P02144,Chocolate,Food,Mushroom Mycelium,0.109,0.0001,251,True
P02145,Chocolate,Food,Mushroom Mycelium,0.131,0.0001,271,True
P02146,Chocolate,Food,Bamboo Fiber,0.074,0.0001,490,True
P02147,Chocolate,Food,Bamboo Fiber,0.098,0.0002,425,True
P02148,Chocolate,Food,Recycled Cardboard,0.138,0.0001,249,True
P02149,Chocolate,Food,Mushroom Mycelium,0.18,0.0001,331,True
P02150,Chocolate,Food,Recycled Cardboard,0.112,0.0001,543,True
P02151,Chocolate,Food,Bagasse,0.198,0.0002,529,True
P02152,Chocolate,Food,Bamboo Fiber,0.115,0.0001,647,True
P02153,Chocolate,Food,Bioplastic (PLA),0.179,0.0001,279,True
P02154,Chocolate,Food,Mushroom Mycelium,0.078,0.0001,546,True
P02155,Chocolate,Food,Mushroom Mycelium,0.168,0.0001,511,True
P02156,Chocolate,Food,Mushroom Mycelium,0.108,0.0001,187,True
P02157,Chocolate,Food,Bamboo Fiber,0.08,0.0002,714,True
P02158,Chocolate,Food,Bioplastic (PLA),0.103,0.0002,701,True
P02159,Chocolate,Food,Mushroom Mycelium,0.169,0.0001,199,True
P02160,Chocolate,Food,Bagasse,0.056,0.0002,217,True
P02161,Chocolate,Food,Bagasse,0.079,0.0001,630,True
P02162,Chocolate,Food,Mushroom Mycelium,0.146,0.0002,230,True
P02163,Chocolate,Food,Recycled Cardboard,0.118,0.0001,454,True
P02164,Chocolate,Food,Bamboo Fiber,0.093,0.0001,164,True
P02165,Chocolate,Food,Mushroom Mycelium,0.148,0.0001,666,True
P02166,Chocolate,Food,Bioplastic (PLA),0.115,0.0001,363,True
P02167,Chocolate,Food,Recycled Cardboard,0.175,0.0002,619,True
P02168,Chocolate,Food,Bagasse,0.056,0.0001,463,True
P02169,Chocolate,Food,Mushroom Mycelium,0.127,0.0002,358,True
P02170,Chocolate,Food,Bamboo Fiber,0.111,0.0001,604,True
P02171,Chocolate,Food,Bioplastic (PLA),0.155,0.0001,434,True
P02172,Chocolate,Food,Bagasse,0.089,0.0002,553,True
P02173,Chocolate,Food,Bagasse,0.104,0.0001,328,True
P02174,Chocolate,Food,Mushroom Mycelium,0.195,0.0001,399,True
P02175,Chocolate,Food,Bioplastic (PLA),0.148,0.0001,170,True
P02176,Chocolate,Food,Mushroom Mycelium,0.187,0.0001,596,True
P02177,Chocolate,Food,Bamboo Fiber,0.086,0.0001,425,True
P02178,Chocolate,Food,Bamboo Fiber,0.139,0.0001,425,True
P02179,Chocolate,Food,Bioplastic (PLA),0.109,0.0002,603,True
P02180,Chocolate,Food,Bioplastic (PLA),0.11,0.0001,437,True
P02181,Chocolate,Food,Bagasse,0.118,0.0001,263,True
P02182,Chocolate,Food,Bagasse,0.177,0.0001,644,True
P02183,Chocolate,Food,Recycled Cardboard,0.19,0.0001,720,True
P02184,Chocolate,Food,Bamboo Fiber,0.145,0.0002,109,True
P02185,Chocolate,Food,Bagasse,0.181,0.0002,329,True
P02186,Chocolate,Food,Bioplastic (PLA),0.052,0.0001,373,True
P02187,Chocolate,Food,Bagasse,0.174,0.0001,616,True
P02188,Chocolate,Food,Bioplastic (PLA),0.116,0.0002,303,True
P02189,Chocolate,Food,Bagasse,0.134,0.0001,161,True
P02190,Chocolate,Food,Recycled Cardboard,0.058,0.0001,497,True
P02191,Chocolate,Food,Bagasse,0.199,0.0001,494,True
P02192,Chocolate,Food,Mushroom Mycelium,0.143,0.0002,714,True
P02193,Chocolate,Food,Bioplastic (PLA),0.157,0.0001,522,True
P02194,Chocolate,Food,Bagasse,0.123,0.0002,694,True
P02195,Chocolate,Food,Bamboo Fiber,0.184,0.0001,149,True
P02196,Chocolate,Food,Bioplastic (PLA),0.098,0.0001,653,True
P02197,Chocolate,Food,Bagasse,0.066,0.0002,497,True
P02198,Chocolate,Food,Recycled Cardboard,0.161,0.0001,370,True
P02199,Chocolate,Food,Recycled Cardboard,0.068,0.0001,528,True
P02200,Chocolate,Food,Mushroom Mycelium,0.141,0.0002,404,True
P02201,Chocolate,Food,Bagasse,0.112,0.0002,65,True
P02202,Chocolate,Food,Bamboo Fiber,0.114,0.0001,657,True
P02203,Chocolate,Food,Recycled Cardboard,0.195,0.0002,219,True
P02204,Chocolate,Food,Bamboo Fiber,0.133,0.0001,45,True
P02205,Chocolate,Food,Bamboo Fiber,0.179,0.0002,155,True
P02206,Chocolate,Food,Mushroom Mycelium,0.131,0.0002,92,True
P02207,Chocolate,Food,Mushroom Mycelium,0.146,0.0001,593,True
P02208,Chocolate,Food,Bamboo Fiber,0.095,0.0001,131,True
P02209,Chocolate,Food,Recycled Cardboard,0.179,0.0002,178,True
P02210,Chocolate,Food,Mushroom Mycelium,0.174,0.0002,218,True
P02211,Chocolate,Food,Bioplastic (PLA),0.128,0.0002,81,True
P02212,Chocolate,Food,Bamboo Fiber,0.129,0.0001,180,True
P02213,Chocolate,Food,Mushroom Mycelium,0.135,0.0001,516,True
P02214,Chocolate,Food,Bioplastic (PLA),0.098,0.0002,586,True
P02215,Chocolate,Food,Recycled Cardboard,0.137,0.0001,230,True
P02216,Chocolate,Food,Mushroom Mycelium,0.091,0.0001,708,True
P02217,Chocolate,Food,Bagasse,0.073,0.0001,393,True
P02218,Chocolate,Food,Mushroom Mycelium,0.071,0.0002,683,True
P02219,Chocolate,Food,Bioplastic (PLA),0.142,0.0002,499,True
P02220,Chocolate,Food,Bagasse,0.057,0.0001,669,True
P02221,Chocolate,Food,Bamboo Fiber,0.068,0.0001,57,True
P02222,Chocolate,Food,Bagasse,0.135,0.0001,352,True
P02223,Chocolate,Food,Bioplastic (PLA),0.177,0.0001,299,True
P02224,Chocolate,Food,Bioplastic (PLA),0.124,0.0001,141,True
P02225,Chocolate,Food,Bioplastic (PLA),0.098,0.0001,51,True
P02226,Chocolate,Food,Bagasse,0.095,0.0002,641,True
P02227,Chocolate,Food,Mushroom Mycelium,0.097,0.0002,34,True
P02228,Chocolate,Food,Bioplastic (PLA),0.111,0.0002,35,True
P02229,Chocolate,Food,Bioplastic (PLA),0.055,0.0001,265,True
P02230,Chocolate,Food,Bagasse,0.086,0.0002,92,True
P02231,Chocolate,Food,Bamboo Fiber,0.155,0.0002,258,True
P02232,Chocolate,Food,Bagasse,0.16,0.0001,395,True
P02233,Chocolate,Food,Recycled Cardboard,0.143,0.0002,446,True
P02234,Chocolate,Food,Bamboo Fiber,0.099,0.0001,611,True
P02235,Chocolate,Food,Bagasse,0.167,0.0002,690,True
P02236,Chocolate,Food,Mushroom Mycelium,0.092,0.0002,47,True
P02237,Chocolate,Food,Bioplastic (PLA),0.083,0.0001,65,True
P02238,Chocolate,Food,Bamboo Fiber,0.053,0.0002,30,True
P02239,Chocolate,Food,Bamboo Fiber,0.08,0.0001,419,True
P02240,Chocolate,Food,Recycled Cardboard,0.13,0.0001,602,True
P02241,Chocolate,Food,Bamboo Fiber,0.088,0.0002,635,True
P02242,Chocolate,Food,Bamboo Fiber,0.082,0.0001,704,True
P02243,Chocolate,Food,Bagasse,0.181,0.0001,197,True
P02244,Chocolate,Food,Bagasse,0.085,0.0001,136,True
P02245,Chocolate,Food,Mushroom Mycelium,0.133,0.0001,296,True
P02246,Chocolate,Food,Recycled Cardboard,0.122,0.0002,249,True
P02247,Chocolate,Food,Bamboo Fiber,0.084,0.0001,133,True
P02248,Chocolate,Food,Bamboo Fiber,0.05,0.0002,214,True
P02249,Chocolate,Food,Mushroom Mycelium,0.083,0.0001,701,True
P02250,Chocolate,Food,Bamboo Fiber,0.097,0.0001,38,True
P02251,Chocolate,Food,Bagasse,0.11,0.0001,128,True
P02252,Chocolate,Food,Bagasse,0.133,0.0001,92,True
P02253,Chocolate,Food,Recycled Cardboard,0.139,0.0001,140,True
P02254,Chocolate,Food,Recycled Cardboard,0.15,0.0002,309,True
P02255,Chocolate,Food,Recycled Cardboard,0.083,0.0001,571,True
P02256,Chocolate,Food,Bioplastic (PLA),0.192,0.0002,334,True
P02257,Chocolate,Food,Bagasse,0.057,0.0002,458,True
P02258,Chocolate,Food,Mushroom Mycelium,0.091,0.0001,133,True
P02259,Chocolate,Food,Bamboo Fiber,0.175,0.0001,445,True
P02260,Chocolate,Food,Bioplastic (PLA),0.158,0.0001,491,True
P02261,Chocolate,Food,Bamboo Fiber,0.179,0.0001,64,True
P02262,Chocolate,Food,Bamboo Fiber,0.113,0.0001,128,True
P02263,Chocolate,Food,Bioplastic (PLA),0.131,0.0002,295,True
P02264,Chocolate,Food,Bagasse,0.07,0.0001,404,True
P02265,Chocolate,Food,Recycled Cardboard,0.136,0.0002,331,True
P02266,Chocolate,Food,Bagasse,0.177,0.0002,274,True
P02267,Chocolate,Food,Bioplastic (PLA),0.134,0.0001,329,True
P02268,Chocolate,Food,Recycled Cardboard,0.128,0.0002,705,True
P02269,Chocolate,Food,Recycled Cardboard,0.154,0.0001,484,True
P02270,Chocolate,Food,Bagasse,0.155,0.0001,520,True
P02271,Chocolate,Food,Bagasse,0.061,0.0001,728,True
P02272,Chocolate,Food,Bamboo Fiber,0.139,0.0001,144,True
P02273,Chocolate,Food,Recycled Cardboard,0.131,0.0002,554,True
P02274,Chocolate,Food,Mushroom Mycelium,0.19,0.0001,266,True
P02275,Chocolate,Food,Recycled Cardboard,0.176,0.0002,396,True
P02276,Chocolate,Food,Bagasse,0.177,0.0002,372,True
P02277,Chocolate,Food,Bioplastic (PLA),0.112,0.0002,82,True
P02278,Chocolate,Food,Mushroom Mycelium,0.183,0.0002,150,True
P02279,Chocolate,Food,Mushroom Mycelium,0.068,0.0001,359,True
P02280,Chocolate,Food,Bagasse,0.129,0.0002,420,True
P02281,Chocolate,Food,Bamboo Fiber,0.118,0.0002,39,True
P02282,Chocolate,Food,Bamboo Fiber,0.188,0.0001,362,True
P02283,Chocolate,Food,Recycled Cardboard,0.198,0.0002,178,True
P02284,Chocolate,Food,Mushroom Mycelium,0.078,0.0001,454,True
P02285,Chocolate,Food,Bagasse,0.102,0.0001,415,True
P02286,Chocolate,Food,Bagasse,0.114,0.0001,139,True
P02287,Chocolate,Food,Bioplastic (PLA),0.11,0.0002,245,True
P02288,Chocolate,Food,Bamboo Fiber,0.103,0.0001,545,True
P02289,Chocolate,Food,Bamboo Fiber,0.181,0.0002,480,True
P02290,Chocolate,Food,Bagasse,0.064,0.0001,275,True
P02291,Chocolate,Food,Bioplastic (PLA),0.085,0.0001,437,True
P02292,Chocolate,Food,Bagasse,0.105,0.0002,530,True
P02293,Chocolate,Food,Bioplastic (PLA),0.067,0.0002,268,True
P02294,Chocolate,Food,Recycled Cardboard,0.177,0.0001,453,True
P02295,Chocolate,Food,Bagasse,0.073,0.0001,163,True
P02296,Chocolate,Food,Bamboo Fiber,0.056,0.0002,643,True
P02297,Chocolate,Food,Mushroom Mycelium,0.077,0.0002,45,True
P02298,Chocolate,Food,Mushroom Mycelium,0.161,0.0001,343,True
P02299,Chocolate,Food,Mushroom Mycelium,0.174,0.0001,446,True
P02300,Chocolate,Food,Bagasse,0.151,0.0001,708,True
P02301,Chocolate,Food,Bamboo Fiber,0.191,0.0001,561,True
P02302,Chocolate,Food,Bamboo Fiber,0.116,0.0001,178,True
P02303,Chocolate,Food,Mushroom Mycelium,0.067,0.0002,559,True
P02304,Chocolate,Food,Bamboo Fiber,0.055,0.0001,510,True
P02305,Chocolate,Food,Bagasse,0.087,0.0002,687,True
P02306,Chocolate,Food,Bioplastic (PLA),0.197,0.0002,666,True
P02307,Chocolate,Food,Bamboo Fiber,0.083,0.0002,430,True
P02308,Chocolate,Food,Bagasse,0.149,0.0001,267,True
P02309,Chocolate,Food,Bioplastic (PLA),0.098,0.0001,638,True
P02310,Chocolate,Food,Mushroom Mycelium,0.155,0.0002,595,True
P02311,Chocolate,Food,Bamboo Fiber,0.169,0.0002,669,True
P02312,Chocolate,Food,Recycled Cardboard,0.135,0.0001,342,True
P02313,Chocolate,Food,Recycled Cardboard,0.198,0.0001,265,True
P02314,Chocolate,Food,Recycled Cardboard,0.199,0.0001,464,True
P02315,Chocolate,Food,Bioplastic (PLA),0.075,0.0001,361,True
P02316,Chocolate,Food,Recycled Cardboard,0.186,0.0002,111,True
P02317,Chocolate,Food,Bagasse,0.172,0.0001,80,True
P02318,Chocolate,Food,Recycled Cardboard,0.124,0.0001,550,True
P02319,Chocolate,Food,Bioplastic (PLA),0.056,0.0002,273,True
P02320,Chocolate,Food,Bioplastic (PLA),0.053,0.0001,58,True
P02321,Chocolate,Food,Recycled Cardboard,0.164,0.0001,461,True
P02322,Chocolate,Food,Bagasse,0.166,0.0002,59,True
P02323,Chocolate,Food,Bamboo Fiber,0.059,0.0001,431,True
P02324,Chocolate,Food,Mushroom Mycelium,0.052,0.0001,50,True
P02325,Chocolate,Food,Recycled Cardboard,0.132,0.0002,606,True
P02326,Chocolate,Food,Recycled Cardboard,0.108,0.0002,494,True
P02327,Chocolate,Food,Bioplastic (PLA),0.19,0.0002,718,True
P02328,Chocolate,Food,Bamboo Fiber,0.126,0.0001,670,True
P02329,Chocolate,Food,Bagasse,0.131,0.0001,296,True
P02330,Chocolate,Food,Bioplastic (PLA),0.08,0.0001,354,True
P02331,Chocolate,Food,Recycled Cardboard,0.086,0.0001,661,True
P02332,Chocolate,Food,Bamboo Fiber,0.191,0.0001,589,True
P02333,Chocolate,Food,Bioplastic (PLA),0.176,0.0002,66,True
P02334,Chocolate,Food,Bagasse,0.171,0.0001,478,True
P02335,Chocolate,Food,Recycled Cardboard,0.167,0.0001,395,True
P02336,Chocolate,Food,Mushroom Mycelium,0.14,0.0001,52,True
P02337,Chocolate,Food,Mushroom Mycelium,0.099,0.0001,552,True
P02338,Chocolate,Food,Bioplastic (PLA),0.169,0.0001,245,True
P02339,Chocolate,Food,Recycled Cardboard,0.125,0.0001,295,True
P02340,Chocolate,Food,Bagasse,0.114,0.0001,706,True
P02341,Chocolate,Food,Mushroom Mycelium,0.097,0.0002,404,True
P02342,Chocolate,Food,Recycled Cardboard,0.107,0.0002,577,True
P02343,Chocolate,Food,Bioplastic (PLA),0.124,0.0001,535,True
P02344,Chocolate,Food,Recycled Cardboard,0.125,0.0002,257,True
P02345,Chocolate,Food,Bagasse,0.116,0.0001,430,True
P02346,Chocolate,Food,Bioplastic (PLA),0.119,0.0001,139,True
P02347,Chocolate,Food,Bamboo Fiber,0.154,0.0002,428,True
P02348,Chocolate,Food,Bamboo Fiber,0.129,0.0002,299,True
P02349,Chocolate,Food,Bioplastic (PLA),0.127,0.0001,371,True
P02350,Chocolate,Food,Mushroom Mycelium,0.147,0.0001,271,True
P02351,Chocolate,Food,Recycled Cardboard,0.155,0.0001,44,True
P02352,Chocolate,Food,Mushroom Mycelium,0.199,0.0001,194,True
P02353,Chocolate,Food,Bagasse,0.167,0.0001,62,True
P02354,Chocolate,Food,Recycled Cardboard,0.09,0.0002,712,True
P02355,Chocolate,Food,Bioplastic (PLA),0.188,0.0001,284,True
P02356,Chocolate,Food,Bamboo Fiber,0.064,0.0001,713,True
P02357,Chocolate,Food,Bagasse,0.155,0.0001,480,True
P02358,Chocolate,Food,Recycled Cardboard,0.175,0.0002,130,True
P02359,Chocolate,Food,Bagasse,0.19,0.0001,90,True
P02360,Chocolate,Food,Bagasse,0.138,0.0002,123,True
P02361,Chocolate,Food,Bioplastic (PLA),0.184,0.0002,59,True
P02362,Chocolate,Food,Bagasse,0.142,0.0001,33,True
P02363,Chocolate,Food,Mushroom Mycelium,0.052,0.0001,713,True
P02364,Chocolate,Food,Bioplastic (PLA),0.11,0.0002,308,True
P02365,Chocolate,Food,Bioplastic (PLA),0.064,0.0001,241,True
P02366,Chocolate,Food,Bamboo Fiber,0.15,0.0001,530,True
P02367,Chocolate,Food,Bioplastic (PLA),0.103,0.0001,133,True
P02368,Chocolate,Food,Bioplastic (PLA),0.141,0.0001,362,True
P02369,Chocolate,Food,Bamboo Fiber,0.173,0.0002,437,True
P02370,Chocolate,Food,Bagasse,0.099,0.0001,730,True
P02371,Chocolate,Food,Bagasse,0.077,0.0002,458,True
P02372,Chocolate,Food,Recycled Cardboard,0.103,0.0001,106,True
P02373,Chocolate,Food,Bagasse,0.099,0.0001,714,True
P02374,Chocolate,Food,Bioplastic (PLA),0.154,0.0002,306,True
P02375,Chocolate,Food,Recycled Cardboard,0.085,0.0001,64,True
P02376,Chocolate,Food,Recycled Cardboard,0.144,0.0001,521,True
P02377,Chocolate,Food,Recycled Cardboard,0.12,0.0001,629,True
P02378,Chocolate,Food,Recycled Cardboard,0.148,0.0001,279,True
P02379,Chocolate,Food,Bioplastic (PLA),0.174,0.0002,392,True
P02380,Chocolate,Food,Bagasse,0.057,0.0001,723,True
P02381,Chocolate,Food,Bioplastic (PLA),0.172,0.0001,307,True
P02382,Chocolate,Food,Bagasse,0.096,0.0002,544,True
P02383,Chocolate,Food,Bioplastic (PLA),0.092,0.0001,673,True
P02384,Chocolate,Food,Bamboo Fiber,0.1,0.0001,360,True
P02385,Chocolate,Food,Bioplastic (PLA),0.187,0.0002,178,True
P02386,Chocolate,Food,Mushroom Mycelium,0.182,0.0001,438,True
P02387,Chocolate,Food,Bioplastic (PLA),0.109,0.0001,75,True
P02388,Chocolate,Food,Bioplastic (PLA),0.134,0.0002,708,True
P02389,Chocolate,Food,Bamboo Fiber,0.166,0.0001,443,True
P02390,Chocolate,Food,Mushroom Mycelium,0.124,0.0002,596,True
P02391,Chocolate,Food,Bamboo Fiber,0.079,0.0002,467,True
P02392,Chocolate,Food,Recycled Cardboard,0.194,0.0001,602,True
P02393,Chocolate,Food,Bioplastic (PLA),0.145,0.0001,426,True
P02394,Chocolate,Food,Bamboo Fiber,0.091,0.0001,108,True
P02395,Chocolate,Food,Bagasse,0.085,0.0002,241,True
P02396,Chocolate,Food,Bamboo Fiber,0.072,0.0002,221,True
P02397,Chocolate,Food,Bagasse,0.101,0.0001,677,True
P02398,Chocolate,Food,Bioplastic (PLA),0.052,0.0001,452,True
P02399,Chocolate,Food,Bioplastic (PLA),0.095,0.0001,270,True
P02400,Chocolate,Food,Bagasse,0.078,0.0002,196,True
P02401,Chocolate,Food,Recycled Cardboard,0.059,0.0002,410,True
P02402,Chocolate,Food,Bamboo Fiber,0.077,0.0001,90,True
P02403,Chocolate,Food,Mushroom Mycelium,0.093,0.0001,328,True
P02404,Chocolate,Food,Recycled Cardboard,0.147,0.0002,138,True
P02405,Chocolate,Food,Bioplastic (PLA),0.074,0.0002,236,True
P02406,Chocolate,Food,Recycled Cardboard,0.158,0.0002,229,True
P02407,Chocolate,Food,Recycled Cardboard,0.106,0.0002,266,True
P02408,Chocolate,Food,Bioplastic (PLA),0.053,0.0002,494,True
P02409,Chocolate,Food,Bagasse,0.151,0.0001,57,True
P02410,Chocolate,Food,Bagasse,0.103,0.0001,522,True
P02411,Chocolate,Food,Mushroom Mycelium,0.18,0.0002,235,True
P02412,Chocolate,Food,Bamboo Fiber,0.166,0.0002,314,True
P02413,Chocolate,Food,Bamboo Fiber,0.188,0.0002,585,True
P02414,Chocolate,Food,Bioplastic (PLA),0.132,0.0001,660,True
P02415,Chocolate,Food,Bioplastic (PLA),0.195,0.0001,714,True
P02416,Chocolate,Food,Recycled Cardboard,0.197,0.0001,253,True
P02417,Chocolate,Food,Bagasse,0.152,0.0001,697,True
P02418,Chocolate,Food,Recycled Cardboard,0.168,0.0001,642,True
P02419,Chocolate,Food,Mushroom Mycelium,0.067,0.0001,135,True
P02420,Chocolate,Food,Mushroom Mycelium,0.16,0.0002,369,True
P02421,Chocolate,Food,Bagasse,0.054,0.0002,179,True
P02422,Chocolate,Food,Bagasse,0.171,0.0001,244,True
P02423,Chocolate,Food,Bioplastic (PLA),0.173,0.0001,132,True
P02424,Chocolate,Food,Mushroom Mycelium,0.075,0.0001,302,True
P02425,Chocolate,Food,Recycled Cardboard,0.082,0.0001,417,True
P02426,Chocolate,Food,Bioplastic (PLA),0.094,0.0001,509,True
P02427,Chocolate,Food,Bamboo Fiber,0.062,0.0002,342,True
P02428,Chocolate,Food,Recycled Cardboard,0.104,0.0001,115,True
P02429,Chocolate,Food,Bagasse,0.054,0.0001,347,True
P02430,Chocolate,Food,Bioplastic (PLA),0.189,0.0001,325,True
P02431,Chocolate,Food,Mushroom Mycelium,0.102,0.0001,410,True
P02432,Chocolate,Food,Mushroom Mycelium,0.133,0.0001,134,True
P02433,Chocolate,Food,Mushroom Mycelium,0.119,0.0002,658,True
P02434,Chocolate,Food,Recycled Cardboard,0.144,0.0001,251,True
P02435,Chocolate,Food,Bamboo Fiber,0.126,0.0001,297,True
P02436,Chocolate,Food,Recycled Cardboard,0.115,0.0001,505,True
P02437,Chocolate,Food,Bioplastic (PLA),0.153,0.0001,356,True
P02438,Chocolate,Food,Mushroom Mycelium,0.186,0.0001,67,True
P02439,Chocolate,Food,Recycled Cardboard,0.183,0.0001,296,True
P02440,Chocolate,Food,Bamboo Fiber,0.151,0.0001,122,True
P02441,Chocolate,Food,Bioplastic (PLA),0.123,0.0001,63,True
P02442,Chocolate,Food,Recycled Cardboard,0.133,0.0001,268,True
P02443,Chocolate,Food,Bagasse,0.165,0.0001,247,True
P02444,Chocolate,Food,Mushroom Mycelium,0.162,0.0001,624,True
P02445,Chocolate,Food,Mushroom Mycelium,0.14,0.0001,250,True
P02446,Chocolate,Food,Bamboo Fiber,0.1,0.0002,402,True
P02447,Chocolate,Food,Recycled Cardboard,0.063,0.0001,397,True
P02448,Chocolate,Food,Bamboo Fiber,0.155,0.0002,212,True
P02449,Chocolate,Food,Bioplastic (PLA),0.135,0.0002,105,True
P02450,Chocolate,Food,Bamboo Fiber,0.147,0.0001,453,True
P02451,Chocolate,Food,Bagasse,0.19,0.0001,170,True
P02452,Chocolate,Food,Recycled Cardboard,0.063,0.0001,110,True
P02453,Chocolate,Food,Bagasse,0.11,0.0001,101,True
P02454,Chocolate,Food,Bamboo Fiber,0.132,0.0001,521,True
P02455,Chocolate,Food,Bamboo Fiber,0.101,0.0002,484,True
P02456,Chocolate,Food,Recycled Cardboard,0.104,0.0001,51,True
P02457,Chocolate,Food,Mushroom Mycelium,0.155,0.0001,382,True
P02458,Chocolate,Food,Bamboo Fiber,0.103,0.0001,175,True
P02459,Chocolate,Food,Mushroom Mycelium,0.176,0.0001,466,True
P02460,Chocolate,Food,Recycled Cardboard,0.187,0.0002,506,True
P02461,Chocolate,Food,Recycled Cardboard,0.136,0.0002,437,True
P02462,Chocolate,Food,Mushroom Mycelium,0.089,0.0002,721,True
P02463,Chocolate,Food,Bioplastic (PLA),0.141,0.0001,214,True
P02464,Chocolate,Food,Bioplastic (PLA),0.092,0.0002,352,True
P02465,Chocolate,Food,Recycled Cardboard,0.144,0.0001,359,True
P02466,Chocolate,Food,Bioplastic (PLA),0.115,0.0001,726,True
P02467,Chocolate,Food,Mushroom Mycelium,0.062,0.0002,552,True
P02468,Chocolate,Food,Bamboo Fiber,0.105,0.0001,331,True
P02469,Chocolate,Food,Bagasse,0.108,0.0002,667,True
P02470,Chocolate,Food,Recycled Cardboard,0.056,0.0002,594,True
P02471,Chocolate,Food,Recycled Cardboard,0.159,0.0001,424,True
P02472,Chocolate,Food,Mushroom Mycelium,0.133,0.0001,598,True
P02473,Chocolate,Food,Bamboo Fiber,0.088,0.0001,234,True
P02474,Chocolate,Food,Recycled Cardboard,0.057,0.0001,348,True
P02475,Chocolate,Food,Recycled Cardboard,0.179,0.0001,589,True
P02476,Chocolate,Food,Bioplastic (PLA),0.108,0.0001,204,True
P02477,Chocolate,Food,Mushroom Mycelium,0.091,0.0002,541,True
P02478,Chocolate,Food,Bioplastic (PLA),0.051,0.0001,548,True
P02479,Chocolate,Food,Mushroom Mycelium,0.068,0.0002,99,True
P02480,Chocolate,Food,Recycled Cardboard,0.156,0.0001,664,True
P02481,Chocolate,Food,Bioplastic (PLA),0.159,0.0001,352,True
P02482,Chocolate,Food,Recycled Cardboard,0.14,0.0002,495,True
P02483,Chocolate,Food,Bamboo Fiber,0.054,0.0001,232,True
P02484,Chocolate,Food,Bioplastic (PLA),0.163,0.0001,622,True
P02485,Chocolate,Food,Mushroom Mycelium,0.087,0.0001,58,True
P02486,Chocolate,Food,Recycled Cardboard,0.2,0.0002,411,True
P02487,Chocolate,Food,Bagasse,0.066,0.0001,37,True
P02488,Chocolate,Food,Recycled Cardboard,0.139,0.0001,453,True
P02489,Chocolate,Food,Bioplastic (PLA),0.079,0.0001,281,True
P02490,Chocolate,Food,Bamboo Fiber,0.086,0.0001,339,True
P02491,Chocolate,Food,Bagasse,0.16,0.0002,256,True
P02492,Chocolate,Food,Mushroom Mycelium,0.153,0.0001,265,True
P02493,Chocolate,Food,Bagasse,0.067,0.0002,515,True
P02494,Chocolate,Food,Bagasse,0.085,0.0002,255,True
P02495,Chocolate,Food,Recycled Cardboard,0.136,0.0001,491,True
P02496,Chocolate,Food,Recycled Cardboard,0.076,0.0002,573,True
P02497,Chocolate,Food,Bamboo Fiber,0.108,0.0002,688,True
P02498,Chocolate,Food,Bamboo Fiber,0.109,0.0001,664,True
P02499,Chocolate,Food,Mushroom Mycelium,0.12,0.0001,245,True
P02500,Chocolate,Food,Bamboo Fiber,0.139,0.0002,260,True
