material_id,material_type,tensile_strength_mpa,weight_capacity_kg,biodegradability_score,co2_emission_score,recyclability_percent,moisture_barrier_grade,cost_per_unit,heat_resistance_c,flexibility_score
M01405,Mushroom Mycelium,13.72,10.0,96.53,0.21,98.82,4,8.97,86,6
M01406,Mushroom Mycelium,18.15,7.13,98.34,0.33,96.72,2,9.12,88,4
M01407,Mushroom Mycelium,17.77,8.06,99.88,0.27,97.39,4,9.68,92,7
M01408,Mushroom Mycelium,19.18,6.55,100.0,0.35,97.28,4,10.32,102,4
M01409,Mushroom Mycelium,23.14,10.0,95.0,0.37,99.27,2,9.56,87,5
M01410,Mushroom Mycelium,18.04,7.52,99.06,0.28,97.83,4,9.7,92,4
M01411,Mushroom Mycelium,27.06,7.12,99.7,0.34,96.2,4,9.71,74,5
M01412,Mushroom Mycelium,15.65,9.51,98.2,0.32,95.0,2,8.12,73,6
M01413,Mushroom Mycelium,18.76,5.0,99.91,0.37,98.23,3,9.43,89,6
M01414,Mushroom Mycelium,19.06,9.43,95.0,0.36,99.42,6,10.81,104,5
M01415,Mushroom Mycelium,21.66,5.76,96.71,0.34,98.83,3,10.67,108,6
M01416,Mushroom Mycelium,19.37,9.33,100.0,0.32,99.21,2,9.64,96,5
M01417,Mushroom Mycelium,20.96,10.0,97.47,0.4,98.19,2,8.55,71,5
M01418,Mushroom Mycelium,21.31,9.02,98.38,0.31,98.3,2,10.73,114,6
M01419,Mushroom Mycelium,14.69,8.12,98.78,0.31,95.0,4,8.62,77,6
M01420,Mushroom Mycelium,21.85,7.08,97.97,0.46,100.0,3,9.44,83,6
M01421,Mushroom Mycelium,19.41,9.56,100.0,0.33,98.19,5,10.94,110,5
M01422,Mushroom Mycelium,20.98,7.19,96.59,0.32,99.72,4,9.55,83,7
M01423,Mushroom Mycelium,18.47,6.09,100.0,0.36,97.43,5,9.95,92,7
M01424,Mushroom Mycelium,24.61,7.46,99.63,0.36,99.75,3,9.21,73,6
M01425,Mushroom Mycelium,22.41,5.09,99.51,0.44,97.32,4,9.04,70,7
M01426,Mushroom Mycelium,23.66,7.48,98.24,0.33,97.46,4,10.37,94,6
M01427,Mushroom Mycelium,15.18,6.8,95.0,0.28,97.08,3,9.22,92,7
M01428,Mushroom Mycelium,17.35,7.7,100.0,0.39,100.0,4,9.44,88,4
M01429,Mushroom Mycelium,25.47,7.53,100.0,0.45,100.0,3,9.9,85,6
M01430,Mushroom Mycelium,16.61,6.26,98.2,0.37,99.88,3,9.41,93,5
M01431,Mushroom Mycelium,14.55,5.91,98.79,0.41,99.55,4,10.71,119,5
M01432,Mushroom Mycelium,17.05,7.3,98.95,0.36,99.1,3,9.46,93,5
M01433,Mushroom Mycelium,16.38,9.37,98.19,0.35,96.61,3,9.04,86,4
M01434,Mushroom Mycelium,17.25,5.28,97.23,0.31,96.02,3,8.32,70,6
M01435,Mushroom Mycelium,12.5,8.16,99.63,0.27,97.75,5,9.45,94,8
M01436,Mushroom Mycelium,22.71,6.71,99.06,0.32,99.77,5,10.57,96,5
M01437,Mushroom Mycelium,21.08,8.18,99.44,0.42,97.01,5,9.11,70,5
M01438,Mushroom Mycelium,22.35,7.57,99.16,0.33,98.04,4,10.44,98,6
M01439,Mushroom Mycelium,24.17,10.0,98.71,0.36,96.91,3,9.97,89,6
M01440,Mushroom Mycelium,18.26,5.48,98.04,0.44,99.41,4,9.78,93,7
M01441,Mushroom Mycelium,16.88,6.46,98.75,0.3,97.0,5,10.34,103,6
M01442,Mushroom Mycelium,21.62,8.24,98.7,0.39,98.42,3,9.61,87,5
M01443,Mushroom Mycelium,17.07,5.76,95.15,0.34,96.51,3,8.41,72,5
M01444,Mushroom Mycelium,14.22,6.97,98.6,0.21,96.57,3,9.07,91,5
M01445,Mushroom Mycelium,22.95,6.24,97.48,0.4,98.03,4,11.1,110,4
M01446,Mushroom Mycelium,26.33,5.0,99.55,0.31,95.5,3,10.43,94,6
M01447,Mushroom Mycelium,15.48,5.91,96.5,0.24,96.8,4,8.7,77,6
M01448,Mushroom Mycelium,20.89,6.48,97.57,0.37,98.05,2,8.89,78,5
M01449,Mushroom Mycelium,24.45,10.0,95.6,0.35,99.67,3,10.65,102,6
M01450,Mushroom Mycelium,14.46,10.0,99.32,0.35,100.0,4,9.75,100,6
M01451,Mushroom Mycelium,14.62,9.76,99.03,0.35,96.62,3,9.21,93,4
M01452,Mushroom Mycelium,21.05,9.46,100.0,0.37,98.01,4,9.21,76,6
M01453,Mushroom Mycelium,18.25,8.52,99.76,0.38,100.0,3,10.38,109,4
M01454,Mushroom Mycelium,15.69,6.64,97.02,0.37,97.22,4,9.32,89,6
M01455,Mushroom Mycelium,24.53,8.44,96.18,0.42,99.06,4,9.85,82,4
M01456,Mushroom Mycelium,28.2,5.0,96.22,0.5,98.07,4,10.87,95,7
M01457,Mushroom Mycelium,24.01,6.94,99.07,0.35,99.91,3,9.95,89,6
M01458,Mushroom Mycelium,23.02,7.21,99.68,0.33,99.18,3,9.2,76,5
M01459,Mushroom Mycelium,16.72,9.2,98.98,0.26,99.33,2,9.07,90,5
M01460,Mushroom Mycelium,22.4,7.67,97.75,0.3,96.91,4,10.04,90,4
M01461,Mushroom Mycelium,18.73,9.91,98.88,0.29,98.81,5,10.22,97,6
M01462,Mushroom Mycelium,18.98,7.19,96.38,0.34,99.21,4,10.1,98,6
M01463,Mushroom Mycelium,29.09,6.84,98.81,0.45,98.47,4,10.56,87,6
M01464,Mushroom Mycelium,16.33,7.62,97.89,0.39,99.99,5,9.88,95,5
M01465,Mushroom Mycelium,20.87,5.91,97.15,0.27,96.83,2,10.34,107,6
M01466,Mushroom Mycelium,22.49,7.28,95.65,0.37,100.0,5,10.7,99,5
M01467,Mushroom Mycelium,16.78,8.31,100.0,0.33,96.48,2,8.83,85,4
M01468,Mushroom Mycelium,18.06,8.17,97.09,0.3,96.5,4,8.81,74,5
M01469,Mushroom Mycelium,20.32,8.89,98.16,0.34,100.0,3,9.93,96,5
M01470,Mushroom Mycelium,26.4,8.28,99.3,0.44,99.22,4,10.49,91,5
M01471,Mushroom Mycelium,22.13,9.2,100.0,0.37,99.45,3,10.56,105,6
M01472,Mushroom Mycelium,10.88,6.1,99.03,0.22,95.34,5,9.09,90,6
M01473,Mushroom Mycelium,11.97,7.37,98.59,0.37,99.77,2,9.2,102,7
M01474,Mushroom Mycelium,20.79,7.88,99.02,0.42,95.14,4,9.78,88,6
M01475,Mushroom Mycelium,18.15,6.78,99.64,0.31,96.26,2,9.21,90,6
M01476,Mushroom Mycelium,24.28,9.27,99.58,0.43,98.64,3,9.58,81,5
M01477,Mushroom Mycelium,20.76,8.32,97.09,0.33,98.19,3,9.68,90,7
M01478,Mushroom Mycelium,22.43,6.1,97.18,0.39,99.21,2,10.34,104,6
M01479,Mushroom Mycelium,21.15,7.45,98.97,0.37,99.29,3,9.87,93,5
M01480,Mushroom Mycelium,18.15,7.59,96.99,0.34,96.23,4,9.16,81,6
M01481,Mushroom Mycelium,23.74,7.31,100.0,0.41,97.69,2,9.37,82,5
M01482,Mushroom Mycelium,26.28,8.68,98.86,0.35,96.69,3,10.03,86,5
M01483,Mushroom Mycelium,21.26,8.01,98.96,0.35,96.33,4,9.03,72,5
M01484,Mushroom Mycelium,23.04,7.13,98.49,0.41,99.83,4,9.65,81,4
M01485,Mushroom Mycelium,25.69,8.31,98.54,0.41,96.87,2,9.87,88,7
M01486,Mushroom Mycelium,12.41,7.13,97.98,0.34,98.73,3,9.29,99,5
M01487,Mushroom Mycelium,22.19,7.51,96.86,0.28,97.67,4,10.07,91,6
M01488,Mushroom Mycelium,15.57,5.61,98.89,0.26,97.89,4,9.26,88,6
M01489,Mushroom Mycelium,15.95,8.32,96.9,0.27,98.73,3,9.6,98,4
M01490,Mushroom Mycelium,21.38,6.04,99.68,0.33,95.7,4,10.29,97,6
M01491,Mushroom Mycelium,26.6,6.25,100.0,0.36,98.14,3,9.96,84,5
M01492,Mushroom Mycelium,20.45,9.16,97.08,0.49,97.01,5,9.84,86,7
M01493,Mushroom Mycelium,22.23,7.48,98.4,0.35,99.94,3,8.97,73,6
M01494,Mushroom Mycelium,17.87,7.87,96.48,0.33,98.91,2,8.94,85,6
M01495,Mushroom Mycelium,17.52,8.5,95.0,0.43,97.72,5,9.6,87,7
M01496,Mushroom Mycelium,19.36,9.11,100.0,0.35,97.99,4,9.99,95,6
M01497,Mushroom Mycelium,16.76,7.39,97.98,0.37,98.42,3,9.38,92,7
M01498,Mushroom Mycelium,18.57,9.69,97.9,0.38,97.5,3,10.21,105,5
M01499,Mushroom Mycelium,10.99,7.46,100.0,0.29,99.73,2,9.45,109,5
M01500,Mushroom Mycelium,18.74,6.68,95.63,0.36,97.56,2,9.67,98,7
M01501,Mushroom Mycelium,23.68,7.37,98.87,0.43,100.0,4,10.67,100,4
M01502,Mushroom Mycelium,17.78,5.81,95.24,0.34,97.62,2,9.28,92,4
M01503,Mushroom Mycelium,24.28,5.0,96.93,0.39,97.15,4,10.68,99,4
M01504,Mushroom Mycelium,20.13,5.48,95.31,0.28,96.93,3,9.26,83,6
M01505,Mushroom Mycelium,23.7,6.13,98.4,0.24,97.66,5,10.47,92,4
M01506,Mushroom Mycelium,16.62,6.38,96.98,0.32,100.0,4,9.51,91,5
M01507,Mushroom Mycelium,23.51,6.06,99.02,0.28,97.32,3,9.3,77,5
M01508,Mushroom Mycelium,23.1,5.6,98.19,0.45,96.49,3,9.51,82,6
M01509,Mushroom Mycelium,20.05,7.05,99.19,0.31,99.0,4,10.06,95,6
M01510,Mushroom Mycelium,18.71,7.6,95.56,0.34,99.0,5,9.87,90,6
M01511,Mushroom Mycelium,21.08,7.17,96.83,0.39,99.06,3,9.31,82,6
M01512,Mushroom Mycelium,29.84,8.6,96.71,0.42,95.45,2,10.58,94,4
M01513,Mushroom Mycelium,22.97,6.95,99.15,0.32,96.13,3,9.15,75,4
M01514,Mushroom Mycelium,20.72,5.73,98.25,0.33,98.07,5,9.42,77,6
M01515,Mushroom Mycelium,25.88,9.4,97.1,0.39,97.35,3,9.84,83,8
M01516,Mushroom Mycelium,26.4,6.57,99.61,0.42,95.28,3,9.74,80,7
M01517,Mushroom Mycelium,22.77,9.48,96.37,0.32,96.59,3,9.83,89,5
M01518,Mushroom Mycelium,19.8,7.35,100.0,0.34,96.67,5,10.38,98,4
M01519,Mushroom Mycelium,15.11,7.77,98.97,0.2,97.07,4,9.11,86,5
M01520,Mushroom Mycelium,17.46,8.4,97.57,0.36,97.05,5,9.55,86,6
M01521,Mushroom Mycelium,25.85,6.35,95.28,0.44,100.0,4,9.99,82,6
M01522,Mushroom Mycelium,16.24,7.97,98.64,0.3,100.0,5,9.57,89,5
M01523,Mushroom Mycelium,18.1,7.13,95.67,0.39,98.56,4,9.41,86,6
M01524,Mushroom Mycelium,17.02,6.82,98.29,0.37,97.51,3,9.85,101,6
M01525,Mushroom Mycelium,18.13,7.11,98.57,0.31,97.48,4,9.46,87,6
M01526,Mushroom Mycelium,27.14,6.62,99.85,0.47,96.22,3,10.61,96,5
M01527,Mushroom Mycelium,25.81,7.7,98.39,0.48,96.8,4,9.73,77,7
M01528,Mushroom Mycelium,22.11,7.16,99.27,0.38,96.47,2,9.01,78,6
M01529,Mushroom Mycelium,17.27,8.09,98.61,0.27,98.05,2,9.13,90,5
M01530,Mushroom Mycelium,22.11,6.68,100.0,0.4,100.0,4,10.01,90,7
M01531,Mushroom Mycelium,17.58,8.12,97.44,0.27,100.0,3,9.41,91,6
M01532,Mushroom Mycelium,23.26,6.61,97.07,0.42,99.59,4,9.88,85,5
M01533,Mushroom Mycelium,23.7,7.13,96.99,0.34,97.21,3,9.62,83,6
M01534,Mushroom Mycelium,21.03,6.72,96.84,0.37,96.65,3,10.4,104,5
M01535,Mushroom Mycelium,26.08,8.7,96.66,0.39,96.94,3,10.16,89,4
M01536,Mushroom Mycelium,22.3,6.81,98.56,0.39,99.55,4,10.08,91,6
M01537,Mushroom Mycelium,22.89,5.51,99.8,0.37,97.13,3,9.54,83,6
M01538,Mushroom Mycelium,22.68,7.13,95.87,0.31,98.94,3,9.87,90,4
M01539,Mushroom Mycelium,16.48,6.47,100.0,0.3,97.85,2,9.3,95,5
M01540,Mushroom Mycelium,23.41,7.12,100.0,0.31,98.39,3,10.59,103,4
M01541,Mushroom Mycelium,17.04,8.73,100.0,0.4,96.75,2,9.2,92,7
M01542,Mushroom Mycelium,16.95,7.64,98.1,0.27,96.53,5,9.39,84,5
M01543,Mushroom Mycelium,16.7,8.76,100.0,0.3,100.0,5,9.52,87,6
M01544,Mushroom Mycelium,16.97,8.8,100.0,0.36,97.39,5,9.45,85,5
M01545,Mushroom Mycelium,13.54,7.53,100.0,0.32,97.42,3,9.95,110,6
M01546,Mushroom Mycelium,17.81,6.65,95.0,0.28,98.74,3,9.08,84,6
M01547,Mushroom Mycelium,16.7,8.98,98.51,0.43,95.77,3,9.57,96,6
M01548,Mushroom Mycelium,21.03,8.73,95.96,0.46,96.4,2,9.35,87,5
M01549,Mushroom Mycelium,21.32,8.88,99.18,0.43,95.94,5,10.88,105,4
M01550,Mushroom Mycelium,13.31,8.7,99.1,0.25,97.69,5,9.28,89,5
M01551,Mushroom Mycelium,30.0,7.74,96.65,0.39,98.28,4,10.3,80,5
M01552,Mushroom Mycelium,17.39,6.67,97.53,0.35,100.0,3,9.54,94,5
M01553,Mushroom Mycelium,24.17,6.24,96.3,0.43,97.54,4,10.17,89,7
M01554,Mushroom Mycelium,17.06,9.6,96.62,0.26,98.86,4,9.51,90,5
M01555,Mushroom Mycelium,21.47,6.28,97.75,0.31,98.29,3,9.9,93,5
M01556,Mushroom Mycelium,23.41,9.6,97.02,0.33,97.54,3,10.29,97,4
M01557,Mushroom Mycelium,19.69,9.01,99.01,0.34,98.15,5,10.17,94,5
M01558,Mushroom Mycelium,18.15,7.7,98.1,0.3,98.97,3,9.01,82,6
M01559,Mushroom Mycelium,24.54,8.44,97.5,0.3,98.93,5,10.35,88,5
M01560,Mushroom Mycelium,23.46,7.7,95.49,0.4,98.54,3,9.4,79,7
M01561,Mushroom Mycelium,20.27,8.63,98.6,0.31,96.8,5,10.53,100,6
M01562,Mushroom Mycelium,21.81,6.74,100.0,0.34,96.59,3,9.83,91,7
M01563,Mushroom Mycelium,21.77,7.39,95.84,0.26,99.02,3,9.78,90,7
M01564,Mushroom Mycelium,20.34,5.75,100.0,0.39,100.0,2,9.18,85,4
M01565,Mushroom Mycelium,25.59,6.36,99.18,0.34,97.34,3,10.21,91,4
M01566,Mushroom Mycelium,22.19,5.4,97.59,0.44,95.9,4,10.07,91,5
M01567,Mushroom Mycelium,18.49,7.36,95.71,0.33,99.95,4,10.0,97,6
M01568,Mushroom Mycelium,22.9,8.51,97.1,0.4,99.54,4,9.44,77,6
M01569,Mushroom Mycelium,15.76,7.4,98.78,0.3,96.22,5,10.43,107,5
M01570,Mushroom Mycelium,21.44,6.44,98.36,0.39,96.24,3,9.54,86,6
M01571,Mushroom Mycelium,22.57,7.45,97.65,0.37,98.06,3,9.96,92,6
M01572,Mushroom Mycelium,18.96,8.95,98.53,0.21,97.39,2,9.3,90,5
M01573,Mushroom Mycelium,20.48,8.93,97.47,0.27,97.29,2,8.75,76,7
M01574,Mushroom Mycelium,14.35,9.41,99.12,0.26,96.71,2,8.79,89,5
M01575,Mushroom Mycelium,18.91,8.04,98.15,0.31,99.28,5,10.34,99,6
M01576,Mushroom Mycelium,17.91,6.87,98.7,0.42,99.38,5,9.39,82,7
M01577,Mushroom Mycelium,24.56,8.03,97.15,0.36,98.18,2,9.76,88,4
M01578,Mushroom Mycelium,10.0,8.69,98.18,0.26,97.63,4,8.35,81,5
M01579,Mushroom Mycelium,16.61,7.57,98.23,0.26,96.17,3,8.56,76,5
M01580,Mushroom Mycelium,20.57,7.4,97.15,0.4,100.0,3,8.66,70,6
M01581,Mushroom Mycelium,19.45,8.6,98.66,0.43,96.43,3,8.6,71,4
M01582,Mushroom Mycelium,18.51,5.12,96.1,0.28,98.77,3,9.75,96,5
M01583,Mushroom Mycelium,23.81,7.23,95.79,0.43,98.65,4,9.18,70,4
M01584,Mushroom Mycelium,21.95,6.4,99.91,0.43,99.04,3,8.79,70,8
M01585,Mushroom Mycelium,20.05,6.5,98.13,0.3,96.87,4,9.61,86,6
M01586,Mushroom Mycelium,21.57,8.05,98.32,0.47,96.97,5,10.46,96,6
M01587,Mushroom Mycelium,25.59,5.78,97.9,0.46,96.13,4,11.21,107,6
M01588,Mushroom Mycelium,19.12,8.95,96.91,0.32,97.84,3,10.31,106,5
M01589,Mushroom Mycelium,25.51,7.52,98.94,0.33,96.38,6,10.25,80,8
M01590,Mushroom Mycelium,21.43,7.72,98.19,0.41,99.97,5,9.14,70,5
M01591,Mushroom Mycelium,24.48,7.63,98.28,0.39,99.89,6,10.0,77,6
M01592,Mushroom Mycelium,18.14,8.48,95.26,0.42,100.0,3,9.61,94,4
M01593,Mushroom Mycelium,17.92,8.85,99.41,0.43,100.0,5,10.49,104,7
M01594,Mushroom Mycelium,15.08,5.97,98.3,0.35,97.04,2,8.56,83,6
M01595,Mushroom Mycelium,20.11,7.18,95.0,0.36,97.74,5,9.31,76,5
M01596,Mushroom Mycelium,24.43,6.26,99.8,0.39,98.02,4,9.24,70,8
M01597,Mushroom Mycelium,17.2,8.76,100.0,0.33,98.18,3,9.52,94,4
M01598,Mushroom Mycelium,18.6,5.27,97.3,0.32,97.73,4,9.11,79,8
M01599,Mushroom Mycelium,16.82,6.63,97.58,0.33,98.91,3,8.78,80,6
M01600,Mushroom Mycelium,21.09,7.38,95.0,0.35,98.51,4,9.91,90,5
M01601,Mushroom Mycelium,17.69,5.0,98.25,0.23,99.62,3,9.67,96,7
M01602,Mushroom Mycelium,22.43,7.33,95.48,0.39,96.17,4,9.39,77,5
M01603,Mushroom Mycelium,21.6,7.16,98.99,0.4,96.42,5,10.31,93,6
M01604,Mushroom Mycelium,21.5,7.33,96.37,0.35,99.41,3,9.8,91,6
M01605,Mushroom Mycelium,19.05,7.61,98.68,0.35,98.34,3,9.71,94,7
M01606,Mushroom Mycelium,16.81,9.27,96.52,0.29,96.83,4,9.88,98,4
M01607,Mushroom Mycelium,25.78,8.08,98.05,0.34,98.37,4,9.88,80,6
M01608,Mushroom Mycelium,21.22,9.58,98.1,0.37,97.75,3,9.02,76,4
M01609,Mushroom Mycelium,22.13,8.15,96.29,0.27,97.72,4,10.71,104,5
M01610,Mushroom Mycelium,26.23,7.21,97.02,0.38,98.8,2,9.42,78,6
M01611,Mushroom Mycelium,14.9,8.47,97.48,0.34,97.87,2,9.29,98,5
M01612,Mushroom Mycelium,14.91,6.46,97.32,0.21,99.43,4,8.89,82,5
M01613,Mushroom Mycelium,19.62,8.79,98.96,0.41,97.6,4,9.61,87,5
M01614,Mushroom Mycelium,20.44,9.47,99.62,0.39,98.96,2,9.89,99,5
M01615,Mushroom Mycelium,22.96,6.84,97.81,0.27,95.59,3,10.05,93,4
M01616,Mushroom Mycelium,17.26,9.06,98.75,0.32,99.27,3,9.88,101,4
M01617,Mushroom Mycelium,23.22,7.66,95.0,0.38,98.26,4,9.97,87,5
M01618,Mushroom Mycelium,20.02,7.9,98.75,0.33,96.94,3,8.85,75,6
M01619,Mushroom Mycelium,20.02,7.25,96.65,0.37,96.65,3,10.05,99,6
M01620,Mushroom Mycelium,19.89,7.81,97.63,0.36,100.0,4,9.99,94,5
M01621,Mushroom Mycelium,16.62,7.31,97.93,0.24,95.0,2,8.66,82,5
M01622,Mushroom Mycelium,21.52,5.08,97.19,0.3,96.17,4,9.75,86,4
M01623,Mushroom Mycelium,19.28,6.23,99.04,0.38,97.55,4,9.78,91,6
M01624,Mushroom Mycelium,25.61,8.43,99.89,0.46,96.44,2,9.46,80,6
M01625,Mushroom Mycelium,23.69,6.65,96.33,0.39,98.86,3,10.17,94,4
M01626,Mushroom Mycelium,22.91,6.69,97.75,0.43,96.07,3,9.74,87,5
M01627,Mushroom Mycelium,20.11,10.0,98.8,0.31,98.63,3,9.96,97,5
M01628,Mushroom Mycelium,22.56,6.57,99.22,0.43,96.15,3,9.76,88,6
M01629,Mushroom Mycelium,16.93,6.7,97.75,0.28,98.99,5,9.94,95,6
M01630,Mushroom Mycelium,21.64,7.22,98.65,0.33,99.96,4,9.81,87,6
M01631,Mushroom Mycelium,23.67,5.48,96.89,0.38,99.02,3,9.77,86,5
M01632,Mushroom Mycelium,21.62,6.83,95.99,0.47,98.87,3,9.36,82,6
M01633,Mushroom Mycelium,20.22,8.91,99.14,0.32,97.43,4,9.62,86,5
M01634,Mushroom Mycelium,21.79,8.55,99.05,0.39,98.29,4,9.33,77,6
M01635,Mushroom Mycelium,23.22,8.95,97.3,0.32,98.03,3,9.82,88,6
M01636,Mushroom Mycelium,22.71,7.1,98.11,0.3,96.72,3,10.57,104,6
M01637,Mushroom Mycelium,20.13,8.16,100.0,0.38,96.72,3,9.06,79,6
M01638,Mushroom Mycelium,19.68,7.14,100.0,0.37,99.77,4,10.22,99,8
M01639,Mushroom Mycelium,29.97,8.45,98.22,0.47,97.54,4,11.35,101,6
M01640,Mushroom Mycelium,22.03,7.06,98.64,0.39,95.5,3,9.7,88,5
M01641,Mushroom Mycelium,17.41,9.2,96.35,0.24,98.39,4,9.24,84,5
M01642,Mushroom Mycelium,19.63,6.21,98.65,0.37,98.67,3,9.31,85,7
M01643,Mushroom Mycelium,17.8,8.55,96.16,0.32,98.37,2,9.78,102,6
M01644,Mushroom Mycelium,18.17,7.05,97.45,0.36,98.86,4,9.67,91,5
M01645,Mushroom Mycelium,15.85,7.53,99.37,0.36,96.65,3,9.33,93,7
M01646,Mushroom Mycelium,22.44,8.77,98.21,0.44,96.13,2,9.99,97,5
M01647,Mushroom Mycelium,22.98,5.23,97.81,0.5,98.38,4,10.75,103,4
M01648,Mushroom Mycelium,18.02,7.85,96.82,0.37,99.59,4,9.2,82,7
M01649,Mushroom Mycelium,15.65,8.47,99.44,0.32,96.25,5,9.92,97,5
M01650,Mushroom Mycelium,12.74,8.46,96.74,0.41,99.18,3,8.02,73,6
M01651,Mushroom Mycelium,21.51,6.1,100.0,0.43,97.53,3,9.35,82,7
M01652,Mushroom Mycelium,17.43,6.92,100.0,0.23,98.93,5,10.59,107,5
M01653,Mushroom Mycelium,18.67,6.76,98.79,0.31,98.45,3,10.07,102,5
M01654,Mushroom Mycelium,20.53,8.17,99.85,0.34,100.0,4,9.85,90,5
M01655,Mushroom Mycelium,19.96,7.13,99.66,0.4,96.63,4,9.75,89,5
M01656,Mushroom Mycelium,24.02,7.6,97.86,0.45,98.83,3,9.6,82,5
M01657,Mushroom Mycelium,24.62,7.26,99.59,0.44,99.46,4,9.66,78,6
M01658,Mushroom Mycelium,16.29,7.32,100.0,0.31,98.45,3,8.98,85,5
M01659,Mushroom Mycelium,24.05,7.16,95.7,0.38,99.61,3,10.01,90,6
M01660,Mushroom Mycelium,17.78,7.43,97.03,0.32,96.18,5,9.43,83,5
M01661,Mushroom Mycelium,14.01,7.32,99.37,0.23,99.97,4,9.45,95,4
M01662,Mushroom Mycelium,18.44,8.79,97.23,0.36,98.14,4,9.59,89,4
M01663,Mushroom Mycelium,20.55,8.45,100.0,0.42,98.79,5,10.25,94,7
M01664,Mushroom Mycelium,19.28,7.49,96.5,0.36,99.18,3,9.98,99,8
M01665,Mushroom Mycelium,26.53,6.1,96.9,0.5,97.34,4,11.05,102,7
M01666,Mushroom Mycelium,22.65,9.05,98.29,0.45,100.0,5,10.07,86,6
M01667,Mushroom Mycelium,19.48,5.0,97.27,0.36,97.56,3,9.0,79,5
M01668,Mushroom Mycelium,24.68,7.79,99.03,0.5,96.67,3,9.07,70,7
M01669,Mushroom Mycelium,20.03,6.43,100.0,0.33,99.56,4,10.65,107,5
M01670,Mushroom Mycelium,25.74,8.12,99.35,0.37,95.0,5,10.17,82,7
M01671,Mushroom Mycelium,19.44,6.43,96.63,0.26,97.78,3,9.29,85,6
M01672,Mushroom Mycelium,23.52,7.15,95.43,0.39,96.71,2,9.8,91,4
M01673,Mushroom Mycelium,23.17,6.8,96.43,0.46,97.07,2,10.17,99,5
M01674,Mushroom Mycelium,16.95,8.05,97.64,0.33,97.04,4,10.25,105,5
M01675,Mushroom Mycelium,19.2,6.34,96.76,0.24,97.58,3,9.82,96,6
M01676,Mushroom Mycelium,22.41,8.3,97.72,0.3,98.4,4,10.29,95,5
M01677,Mushroom Mycelium,19.27,6.6,98.12,0.35,96.44,3,9.48,89,5
M01678,Mushroom Mycelium,24.88,7.84,99.5,0.37,98.88,3,9.79,84,7
M01679,Mushroom Mycelium,16.16,5.94,97.97,0.32,95.8,5,9.07,79,5
M01680,Mushroom Mycelium,10.21,8.04,97.95,0.28,97.97,2,8.47,91,6
M01681,Mushroom Mycelium,11.98,7.64,98.38,0.25,95.84,4,10.05,111,5
M01682,Mushroom Mycelium,21.38,7.33,100.0,0.38,100.0,2,10.09,101,7
M01683,Mushroom Mycelium,17.16,8.46,97.72,0.34,97.02,5,9.62,88,5
M01684,Mushroom Mycelium,21.35,6.88,99.55,0.36,99.43,3,10.83,112,5
M01685,Mushroom Mycelium,22.46,6.33,100.0,0.37,96.49,5,9.35,72,5
M01686,Mushroom Mycelium,24.81,6.91,98.58,0.34,96.64,5,11.53,111,7
M01687,Mushroom Mycelium,24.73,8.16,96.85,0.34,97.06,2,9.77,88,5
M01688,Mushroom Mycelium,19.7,6.3,98.65,0.43,98.14,5,9.47,80,6
M01689,Mushroom Mycelium,26.62,8.64,97.68,0.43,96.99,4,10.31,87,4
M01690,Mushroom Mycelium,13.63,7.18,96.86,0.32,96.02,5,9.71,97,7
M01691,Mushroom Mycelium,25.29,7.59,99.73,0.4,96.06,3,9.58,79,7
M01692,Mushroom Mycelium,22.66,7.52,100.0,0.37,98.39,2,10.22,101,6
M01693,Mushroom Mycelium,25.34,9.29,96.21,0.42,96.3,4,10.48,93,5
M01694,Mushroom Mycelium,28.34,6.51,97.14,0.48,98.96,3,10.18,85,6
M01695,Mushroom Mycelium,23.68,7.03,99.21,0.43,97.22,2,10.07,96,6
M01696,Mushroom Mycelium,23.69,7.74,96.53,0.39,99.4,5,10.72,97,6
M01697,Mushroom Mycelium,17.32,9.25,97.59,0.37,98.9,2,9.68,101,7
M01698,Mushroom Mycelium,22.93,8.7,96.08,0.45,97.95,3,10.39,100,7
M01699,Mushroom Mycelium,20.37,6.84,99.27,0.32,96.45,3,9.44,86,6
M01700,Mushroom Mycelium,23.54,7.4,98.62,0.39,99.32,3,9.65,84,6
M01701,Mushroom Mycelium,25.61,8.56,98.93,0.47,95.0,4,10.26,88,4
M01702,Mushroom Mycelium,13.48,6.53,96.48,0.25,96.38,6,9.8,95,4
M01703,Mushroom Mycelium,17.6,6.89,95.89,0.33,96.87,3,9.26,88,4
M01704,Mushroom Mycelium,20.62,9.48,97.68,0.3,98.18,4,10.06,94,6
M01705,Mushroom Mycelium,23.55,9.09,98.43,0.4,96.66,4,10.31,93,4
M01706,Mushroom Mycelium,12.83,7.54,98.83,0.27,99.93,3,8.23,77,5
M01707,Mushroom Mycelium,21.32,5.0,97.39,0.27,96.59,3,9.93,94,6
M01708,Mushroom Mycelium,24.02,9.25,96.15,0.36,98.02,3,10.1,92,7
M01709,Mushroom Mycelium,21.34,6.44,100.0,0.33,98.41,3,9.18,79,6
M01710,Mushroom Mycelium,14.59,8.86,96.54,0.23,98.69,4,9.71,99,6
M01711,Mushroom Mycelium,17.91,8.0,98.35,0.4,98.6,2,9.04,87,5
M01712,Mushroom Mycelium,21.44,8.09,96.9,0.3,96.27,4,10.19,95,6
M01713,Mushroom Mycelium,20.1,6.43,96.84,0.33,95.15,5,10.11,92,6
