product_id,category,sub_category,physical_state,product_weight_kg,fragility_level_1_to_10,moisture_sensitivity_0_to_1,leakage_risk_0_to_1,compression_tolerance_index,shipping_stress_index_1_to_10,shelf_life_months,regulatory_requirement_level_1_to_5
1307,E-commerce & Logistics Goods,Home Decor,Fragile Solid,2.21,8,0.53,0.14,14.29,7,61,1
1308,Agriculture & Raw Materials,Grains,Granular Solid,23.69,3,0.75,0.13,31.03,7,10,3
1309,Electronics & Consumer Goods,Laptop,Solid (Fragile),2.98,7,0.27,0.24,4.31,5,3,1
1310,Chemical Products,Pesticide Liquid,Liquid,1.6,4,0.55,0.82,27.39,8,20,2
1311,Pharmaceuticals & Healthcare,Ointment,Semi-solid,11.67,5,0.4,0.17,15.85,5,50,1
1312,Automotive Parts & Accessories,Engine Part,Solid (Heavy),44.22,1,0.51,0.11,17.7,4,25,4
1313,Clothing & Textiles,T-shirt,Solid (Flexible),7.85,3,0.44,0.2,35.11,8,18,3
1314,Automotive Parts & Accessories,Engine Oil,Liquid,7.73,4,0.45,0.89,26.75,8,6,2
1315,E-commerce & Logistics Goods,Toys,Solid,0.07,2,0.51,0.11,44.39,6,6,5
1316,Electronics & Consumer Goods,Smartphone,Solid (Fragile),2.57,9,0.57,0.06,5.01,5,66,5
1317,Chemical Products,Paint,Liquid,9.28,5,0.62,0.72,17.38,4,59,4
1318,Pharmaceuticals & Healthcare,Injectable,Liquid (Sterile),2.27,5,0.75,0.87,19.21,4,59,3
1319,E-commerce & Logistics Goods,Mixed Merchandise,Mixed,14.45,4,0.42,0.25,16.23,9,44,1
1320,Automotive Parts & Accessories,Car Battery,Solid (Hazardous),11.56,3,0.41,0.2,21.8,7,35,5
1321,Clothing & Textiles,Jeans,Solid (Flexible),7.73,3,0.56,0.11,18.94,4,59,3
1322,Pharmaceuticals & Healthcare,Medical Device,Solid (Fragile),3.89,9,0.58,0.12,7.28,5,44,2
1323,Automotive Parts & Accessories,Car Battery,Solid (Hazardous),5.33,6,0.41,0.28,22.86,3,24,1
1324,Pharmaceuticals & Healthcare,Ointment,Semi-solid,7.83,3,0.31,0.2,10.7,7,59,3
1325,Clothing & Textiles,Bedding,Compressible Solid,9.41,4,0.41,0.24,10.63,4,59,4
1326,Chemical Products,Industrial Acid,Liquid (Corrosive),6.67,3,0.4,0.73,14.19,5,32,2
1327,Luxury & Specialty Items,Watch,Solid (Fragile),4.42,8,0.59,0.15,5.1,3,50,5
1328,Clothing & Textiles,T-shirt,Solid (Flexible),12.18,3,0.48,0.12,28.59,7,12,1
1329,Pharmaceuticals & Healthcare,Syrup,Liquid,9.45,3,0.45,0.99,20.92,6,32,5
1330,Chemical Products,Pesticide Granular,Granular Solid,11.9,6,0.87,0.25,17,5,70,2
1331,Pharmaceuticals & Healthcare,Injectable,Liquid (Sterile),3.08,5,0.5,0.92,25.79,8,7,3
1332,Clothing & Textiles,T-shirt,Solid (Flexible),8,4,0.33,0.22,24.52,9,65,4
1333,Luxury & Specialty Items,Jewelry,Solid (Fragile),4.01,8,0.46,0.15,8.41,9,67,5
1334,Cosmetics,Nail Polish,Liquid (Flammable),5.14,4,0.41,0.78,8.39,6,31,4
1335,Cosmetics,Nail Polish,Liquid (Flammable),4.5,4,0.56,0.79,30,6,4,1
1336,Clothing & Textiles,T-shirt,Solid (Flexible),11.9,2,0.36,0.29,8.3,7,30,4
1337,Automotive Parts & Accessories,Car Battery,Solid (Hazardous),10.77,4,0.35,0.15,10.86,8,45,1
1338,Food & Beverages,Flour,Powder,16.53,4,0.94,0.26,12.12,8,66,3
1339,Clothing & Textiles,Jeans,Solid (Flexible),8.32,4,0.44,0.25,25.83,9,20,1
1340,E-commerce & Logistics Goods,Kitchenware,Fragile Solid,3.56,8,0.36,0.07,1.58,3,24,4
1341,Clothing & Textiles,T-shirt,Solid (Flexible),13.53,3,0.53,0.11,18.71,9,7,4
1342,Clothing & Textiles,Shoes,Solid,6.59,4,0.29,0.26,11.5,3,24,3
1343,Agriculture & Raw Materials,Raw Cotton,Compressible Solid,13.85,4,0.45,0.19,9.61,5,15,5
1344,Clothing & Textiles,Bedding,Compressible Solid,8.3,6,0.44,0.07,5.71,3,68,5
1345,E-commerce & Logistics Goods,Mixed Merchandise,Mixed,9.73,6,0.56,0.14,24.88,8,17,1
1346,E-commerce & Logistics Goods,Kitchenware,Fragile Solid,3.15,7,0.57,0.27,16.07,6,64,4
1347,Electronics & Consumer Goods,Power Bank,Solid (Battery Risk),9.41,3,0.32,0.06,26.57,3,4,1
1348,Electronics & Consumer Goods,Laptop,Solid (Fragile),3.84,7,0.33,0.2,3.38,5,7,3
1349,Luxury & Specialty Items,Premium Perfume,Liquid,9.69,3,0.43,0.87,25.7,5,61,4
1350,Automotive Parts & Accessories,Spare Part,Solid,10.17,4,0.47,0.15,23.88,8,24,4
1351,Chemical Products,Fertilizer,Granular Solid,10.24,5,0.75,0.18,14.43,7,31,5
1352,Pharmaceuticals & Healthcare,Tablets,Solid,14.56,5,0.42,0.16,9.74,9,13,5
1353,Chemical Products,Industrial Acid,Liquid (Corrosive),6.92,5,0.64,0.96,24.19,6,21,3
1354,Automotive Parts & Accessories,Spare Part,Solid,2.62,4,0.34,0.25,16.31,3,3,5
1355,Cosmetics,Nail Polish,Liquid (Flammable),7.57,5,0.65,0.98,21.01,3,20,5
1356,Agriculture & Raw Materials,Seeds,Granular Solid,6.79,3,0.93,0.18,14.6,8,46,2
1357,Pharmaceuticals & Healthcare,Tablets,Solid,8.75,3,0.28,0.26,23.78,8,34,4
1358,Pharmaceuticals & Healthcare,Ointment,Semi-solid,11.21,5,0.38,0.24,24.45,3,49,4
1359,Agriculture & Raw Materials,Seeds,Granular Solid,14.12,6,0.71,0.21,21.22,4,26,2
1360,Electronics & Consumer Goods,Tablet,Solid (Fragile),2.96,7,0.27,0.08,14.3,8,55,4
1361,Luxury & Specialty Items,Jewelry,Solid (Fragile),1.07,8,0.46,0.1,6.34,8,17,4
1362,Clothing & Textiles,Shoes,Solid,6.52,3,0.44,0.17,38.4,4,68,4
1363,Electronics & Consumer Goods,Power Bank,Solid (Battery Risk),2.48,5,0.34,0.27,7.82,6,49,4
1364,Chemical Products,Pesticide Granular,Granular Solid,6.48,3,0.72,0.12,39.93,7,62,5
1365,Food & Beverages,Dry Grains,Granular Solid,21.12,3,0.76,0.2,29.72,3,40,4
1366,Clothing & Textiles,Jeans,Solid (Flexible),3.14,5,0.5,0.11,14.16,5,4,1
1367,Electronics & Consumer Goods,Laptop,Solid (Fragile),4.82,7,0.27,0.12,16.44,7,69,5
1368,Electronics & Consumer Goods,Laptop,Solid (Fragile),2.14,8,0.27,0.21,9.61,8,13,2
1369,Electronics & Consumer Goods,Headphones,Solid,10.08,4,0.36,0.21,6.46,6,59,5
1370,Chemical Products,Industrial Acid,Liquid (Corrosive),9.15,5,0.41,0.72,17.67,8,22,1
1371,Cosmetics,Perfume,Liquid (Volatile),1.89,4,0.57,0.86,28.67,7,12,5
1372,Agriculture & Raw Materials,Seeds,Granular Solid,21.12,3,0.78,0.08,20.87,7,8,4
1373,Cosmetics,Serum,Liquid,0.2,5,0.68,0.77,26.38,6,11,4
1374,Luxury & Specialty Items,Jewelry,Solid (Fragile),1.13,8,0.21,0.16,7.61,9,5,2
1375,Cosmetics,Nail Polish,Liquid (Flammable),9.42,4,0.45,0.7,32.11,6,22,4
1376,Agriculture & Raw Materials,Seeds,Granular Solid,7.41,6,0.93,0.25,20.48,6,15,3
1377,Agriculture & Raw Materials,Animal Feed,Granular Solid,3.76,3,0.97,0.13,20.84,9,44,3
1378,Food & Beverages,Ready-to-Eat Meal,Semi-solid,5.48,3,0.46,0.26,35.71,3,32,5
1379,Clothing & Textiles,Shoes,Solid,13.16,2,0.44,0.24,29.5,6,7,3
1380,Electronics & Consumer Goods,Power Bank,Solid (Battery Risk),7.02,5,0.59,0.13,23.45,6,33,2
1381,Clothing & Textiles,T-shirt,Solid (Flexible),0.49,2,0.41,0.13,31.69,6,11,5
1382,Pharmaceuticals & Healthcare,Ointment,Semi-solid,8.24,2,0.57,0.13,41.49,9,19,4
1383,Agriculture & Raw Materials,Raw Cotton,Compressible Solid,10.35,3,0.6,0.16,38.34,4,34,5
1384,Automotive Parts & Accessories,Brake Fluid,Liquid,5.4,5,0.5,0.79,6.39,4,17,3
1385,E-commerce & Logistics Goods,Books,Solid,7.75,4,0.29,0.14,27.96,3,14,5
1386,Automotive Parts & Accessories,Engine Oil,Liquid,9.15,5,0.42,0.8,4.44,4,20,5
1387,Automotive Parts & Accessories,Car Battery,Solid (Hazardous),12.24,3,0.58,0.09,11.62,6,11,4
1388,Clothing & Textiles,Jeans,Solid (Flexible),2.22,3,0.28,0.16,15.28,3,63,1
1389,Agriculture & Raw Materials,Grains,Granular Solid,4.65,2,0.96,0.21,21.34,7,45,4
1390,Clothing & Textiles,T-shirt,Solid (Flexible),11.54,3,0.38,0.22,20.98,4,68,2
1391,Automotive Parts & Accessories,Engine Oil,Liquid,7.78,3,0.68,0.88,32.06,5,66,5
1392,E-commerce & Logistics Goods,Home Decor,Fragile Solid,4.43,7,0.33,0.26,12.97,8,62,4
1393,Clothing & Textiles,Bedding,Compressible Solid,1.55,3,0.22,0.25,32.05,9,37,2
1394,Food & Beverages,Sauce/Ketchup,Viscous Liquid,7.22,3,0.59,0.81,17.53,7,58,3
1395,E-commerce & Logistics Goods,Home Decor,Fragile Solid,1.32,8,0.28,0.13,8.2,7,24,3
1396,Automotive Parts & Accessories,Engine Oil,Liquid,7.11,5,0.64,0.9,24.47,7,61,5
1397,Electronics & Consumer Goods,Laptop,Solid (Fragile),0.68,7,0.56,0.24,4.4,7,9,4
1398,Clothing & Textiles,Jeans,Solid (Flexible),13.29,2,0.59,0.22,36.81,6,3,1
1399,Food & Beverages,Milk,Liquid,6.97,4,0.5,0.83,11.56,7,54,3
1400,Automotive Parts & Accessories,Engine Oil,Liquid,9.71,4,0.7,0.91,19.72,5,16,2
1401,Pharmaceuticals & Healthcare,Syrup,Liquid,0.99,5,0.49,0.98,3.91,7,6,1
1402,Electronics & Consumer Goods,Laptop,Solid (Fragile),3.52,7,0.26,0.25,10.69,3,61,5
1403,E-commerce & Logistics Goods,Mixed Merchandise,Mixed,14.39,4,0.53,0.19,24.49,3,34,1
1404,Chemical Products,Pesticide Liquid,Liquid,7.75,3,0.57,1,7.61,3,41,2
1405,Clothing & Textiles,Jeans,Solid (Flexible),3.93,4,0.44,0.06,26.72,3,51,2
1406,Automotive Parts & Accessories,Brake Fluid,Liquid,7.66,5,0.77,0.82,8.72,6,50,4
1407,Automotive Parts & Accessories,Brake Fluid,Liquid,7.34,3,0.58,0.97,28.24,4,39,3
1408,Automotive Parts & Accessories,Brake Fluid,Liquid,9.56,5,0.71,0.93,17.26,4,47,1
1409,Agriculture & Raw Materials,Raw Cotton,Compressible Solid,10.72,5,0.35,0.19,7.28,4,28,1
1410,Electronics & Consumer Goods,Headphones,Solid,9.27,3,0.33,0.15,13.37,7,20,4
1411,Cosmetics,Nail Polish,Liquid (Flammable),3.23,5,0.56,0.79,8.69,3,13,3
1412,Cosmetics,Lipstick,Solid,11.53,3,0.43,0.11,17.05,5,17,3
1413,Electronics & Consumer Goods,Headphones,Solid,7.25,3,0.31,0.18,7.26,6,29,3
1414,Cosmetics,Serum,Liquid,8.95,4,0.58,0.89,6.53,7,70,1
1415,Food & Beverages,Juice,Liquid,3.55,3,0.41,0.74,21.04,3,39,2
1416,Electronics & Consumer Goods,Headphones,Solid,3.58,3,0.48,0.11,17.01,7,56,1
1417,Electronics & Consumer Goods,Tablet,Solid (Fragile),1.34,9,0.26,0.11,5.87,4,42,1
1418,Electronics & Consumer Goods,Home Appliance,Solid,3.87,5,0.41,0.3,3.52,6,7,1
1419,Cosmetics,Serum,Liquid,6.69,3,0.45,0.78,16.59,3,66,3
1420,Agriculture & Raw Materials,Raw Cotton,Compressible Solid,9.86,6,0.55,0.24,5.52,7,33,4
1421,Clothing & Textiles,Bedding,Compressible Solid,11.01,5,0.48,0.17,9.17,7,18,3
1422,Chemical Products,Pesticide Powder,Powder,22.55,4,0.98,0.27,22.71,9,59,1
1423,Electronics & Consumer Goods,Laptop,Solid (Fragile),0.88,9,0.3,0.09,9.94,5,52,1
1424,Chemical Products,Pesticide Powder,Powder,8.77,5,0.96,0.23,10.89,3,32,5
1425,Agriculture & Raw Materials,Raw Cotton,Compressible Solid,2.9,6,0.51,0.11,14.06,3,26,5
1426,Electronics & Consumer Goods,Laptop,Solid (Fragile),0.57,7,0.28,0.1,18.26,8,51,1
1427,Agriculture & Raw Materials,Raw Cotton,Compressible Solid,12.13,6,0.28,0.17,9.78,5,29,1
1428,Luxury & Specialty Items,Artwork,Highly Fragile Solid,3.39,7,0.57,0.2,11.15,8,45,2
1429,Electronics & Consumer Goods,Tablet,Solid (Fragile),3.2,9,0.41,0.13,9.81,9,70,2
1430,Food & Beverages,Dry Grains,Granular Solid,3.73,5,0.7,0.18,28.65,7,8,1
1431,Agriculture & Raw Materials,Seeds,Granular Solid,24.42,3,0.84,0.12,13.29,8,67,1
1432,Electronics & Consumer Goods,Laptop,Solid (Fragile),3.28,8,0.4,0.26,5.45,9,45,1
1433,Agriculture & Raw Materials,Seeds,Granular Solid,22.58,5,0.8,0.22,28.73,5,68,2
1434,Chemical Products,Pesticide Liquid,Liquid,8.52,4,0.45,0.82,28.08,4,69,4
1435,Food & Beverages,Milk,Liquid,6.95,5,0.51,0.87,5.71,7,19,5
1436,Clothing & Textiles,Bedding,Compressible Solid,13.32,4,0.25,0.23,16.54,3,13,1
1437,Agriculture & Raw Materials,Grains,Granular Solid,6.2,2,0.91,0.25,44.35,6,17,4
1438,Clothing & Textiles,Bedding,Compressible Solid,9.72,5,0.21,0.27,25.41,7,40,4
1439,Chemical Products,Pesticide Granular,Granular Solid,4.25,3,0.82,0.26,11.15,3,10,2
1440,Agriculture & Raw Materials,Raw Cotton,Compressible Solid,10.67,5,0.56,0.22,22.85,8,7,5
1441,Food & Beverages,Milk,Liquid,1.77,4,0.73,0.91,11.41,7,58,5
1442,Luxury & Specialty Items,Artwork,Highly Fragile Solid,4.48,7,0.47,0.17,12.11,3,10,1
1443,Electronics & Consumer Goods,Smartphone,Solid (Fragile),4.82,9,0.38,0.2,5.24,6,27,5
1444,E-commerce & Logistics Goods,Kitchenware,Fragile Solid,4.59,9,0.49,0.18,9.19,7,58,3
1445,Automotive Parts & Accessories,Car Battery,Solid (Hazardous),3.67,2,0.55,0.09,37.03,5,34,3
1446,Chemical Products,Chemical Powder,Powder,1.09,2,0.73,0.08,8.94,8,15,1
1447,Food & Beverages,Edible Oil,Liquid,5.06,4,0.73,0.97,23.46,6,18,3
1448,Cosmetics,Cream,Semi-solid,10.8,6,0.28,0.28,11.72,7,13,2
1449,E-commerce & Logistics Goods,Books,Solid,9.74,2,0.41,0.06,34.07,6,36,5
1450,E-commerce & Logistics Goods,Toys,Solid,11.2,6,0.57,0.26,19.62,5,58,5
1451,Chemical Products,Industrial Acid,Liquid (Corrosive),5.8,5,0.5,0.77,10.7,8,16,3
1452,Agriculture & Raw Materials,Raw Cotton,Compressible Solid,4.22,6,0.43,0.16,7.16,4,9,2
1453,Cosmetics,Lipstick,Solid,2.16,2,0.5,0.26,20.4,6,59,3
1454,Cosmetics,Nail Polish,Liquid (Flammable),7.93,5,0.69,0.79,23.36,3,62,2
1455,Agriculture & Raw Materials,Grains,Granular Solid,3.73,4,0.88,0.25,13.38,4,14,2
1456,Pharmaceuticals & Healthcare,Medical Device,Solid (Fragile),4.01,7,0.54,0.08,9.33,7,58,3
1457,Automotive Parts & Accessories,Brake Fluid,Liquid,9.33,5,0.74,0.74,28.69,4,42,4
1458,Clothing & Textiles,Fabric Roll,Solid (Roll Form),10.09,3,0.53,0.23,27.69,7,29,4
1459,Chemical Products,Chemical Powder,Powder,20.3,4,0.93,0.15,25.86,8,41,2
1460,Agriculture & Raw Materials,Seeds,Granular Solid,18.59,4,0.97,0.24,30.7,7,40,2
1461,Automotive Parts & Accessories,Spare Part,Solid,14.96,6,0.3,0.24,3.93,8,24,4
1462,Clothing & Textiles,T-shirt,Solid (Flexible),0.86,3,0.37,0.14,28.92,9,22,1
1463,Pharmaceuticals & Healthcare,Ointment,Semi-solid,0.11,2,0.54,0.07,30.34,8,60,3
1464,Chemical Products,Pesticide Liquid,Liquid,7.37,5,0.74,0.85,25.6,9,34,5
1465,Chemical Products,Fertilizer,Granular Solid,9.2,5,0.97,0.19,17.78,4,9,5
1466,Agriculture & Raw Materials,Seeds,Granular Solid,22.14,4,0.93,0.3,20.48,9,32,4
1467,E-commerce & Logistics Goods,Books,Solid,14.43,5,0.3,0.29,19.32,8,39,2
1468,Agriculture & Raw Materials,Raw Cotton,Compressible Solid,10.25,5,0.55,0.28,14.93,7,45,2
1469,Cosmetics,Serum,Liquid,9.31,3,0.47,0.83,4.13,3,40,5
1470,Electronics & Consumer Goods,Smartphone,Solid (Fragile),1.74,9,0.38,0.21,7.78,6,39,5
1471,Clothing & Textiles,Jeans,Solid (Flexible),14.69,2,0.29,0.2,20.59,5,58,4
1472,E-commerce & Logistics Goods,Toys,Solid,0.27,5,0.55,0.06,13.61,9,29,4
1473,Cosmetics,Cream,Semi-solid,9.11,3,0.52,0.17,34.51,9,23,2
1474,Electronics & Consumer Goods,Home Appliance,Solid,12.96,3,0.57,0.22,21.43,5,25,2
1475,Food & Beverages,Biscuits,Fragile Solid,1.43,7,0.55,0.29,4.54,5,15,3
1476,Luxury & Specialty Items,Watch,Solid (Fragile),0.41,9,0.46,0.29,2.13,4,8,3
1477,Cosmetics,Perfume,Liquid (Volatile),3.3,4,0.5,0.73,19.03,4,50,3
1478,Pharmaceuticals & Healthcare,Ointment,Semi-solid,11.6,5,0.39,0.08,14.01,4,20,4
1479,Pharmaceuticals & Healthcare,Capsules,Solid,6.56,2,0.35,0.07,39.38,3,38,3
1480,Clothing & Textiles,Jeans,Solid (Flexible),12.61,4,0.56,0.27,18.94,9,30,1
1481,Automotive Parts & Accessories,Spare Part,Solid,11.8,5,0.34,0.29,4.94,5,38,4
1482,Luxury & Specialty Items,Artwork,Highly Fragile Solid,4.84,9,0.27,0.16,4.36,8,33,1
1483,Electronics & Consumer Goods,Home Appliance,Solid,1.27,3,0.32,0.24,5.09,9,47,4
1484,Agriculture & Raw Materials,Seeds,Granular Solid,24.71,2,0.85,0.27,44.6,7,12,1
1485,Cosmetics,Lotion,Liquid,6.45,5,0.45,0.87,10.81,3,50,3
1486,Automotive Parts & Accessories,Engine Oil,Liquid,1.47,4,0.77,0.73,30.67,5,65,3
1487,Food & Beverages,Snacks,Fragile Solid,2.88,8,0.38,0.07,14.18,9,53,1
1488,Electronics & Consumer Goods,Tablet,Solid (Fragile),0.11,7,0.44,0.09,14.24,9,67,5
1489,Luxury & Specialty Items,Watch,Solid (Fragile),0.41,7,0.41,0.05,9.7,4,44,2
1490,E-commerce & Logistics Goods,Books,Solid,7.31,4,0.37,0.05,19.16,3,51,4
1491,Automotive Parts & Accessories,Spare Part,Solid,3.52,4,0.39,0.08,11.91,3,45,1
1492,Cosmetics,Makeup Powder,Powder,19.84,2,0.79,0.3,7.55,9,32,5
1493,Automotive Parts & Accessories,Brake Fluid,Liquid,0.47,4,0.79,0.87,16.64,4,28,5
1494,Luxury & Specialty Items,Premium Perfume,Liquid,7.85,3,0.65,0.95,35.27,4,71,5
1495,Agriculture & Raw Materials,Raw Cotton,Compressible Solid,2.68,3,0.55,0.09,33.1,7,36,1
1496,Food & Beverages,Juice,Liquid,8.14,5,0.67,0.78,5.13,9,57,2
1497,E-commerce & Logistics Goods,Home Decor,Fragile Solid,0.58,9,0.43,0.16,8.75,3,48,5
1498,Automotive Parts & Accessories,Spare Part,Solid,13.03,3,0.54,0.28,33.29,7,68,5
1499,Food & Beverages,Flour,Powder,20.99,2,0.86,0.24,34.18,4,44,4
1500,Automotive Parts & Accessories,Engine Part,Solid (Heavy),24.51,1,0.39,0.05,23.13,9,11,5
1501,Pharmaceuticals & Healthcare,Tablets,Solid,0.57,3,0.44,0.12,9.79,8,45,5
1502,Electronics & Consumer Goods,Home Appliance,Solid,11.97,4,0.52,0.15,19.92,4,6,2
1503,Agriculture & Raw Materials,Seeds,Granular Solid,9.54,2,0.95,0.11,13.18,5,38,2
1504,Agriculture & Raw Materials,Seeds,Granular Solid,4.15,5,0.79,0.18,16.91,5,10,5
1505,Chemical Products,Pesticide Granular,Granular Solid,20.49,6,0.93,0.22,17.45,4,49,1
1506,Chemical Products,Solvent,Liquid (Flammable),5.34,4,0.73,0.88,34.41,4,28,5
1507,Agriculture & Raw Materials,Animal Feed,Granular Solid,3.4,2,0.73,0.15,40.39,6,14,4
1508,Clothing & Textiles,T-shirt,Solid (Flexible),11.18,6,0.36,0.29,18.92,6,34,1
1509,Chemical Products,Paint,Liquid,2.07,3,0.59,0.86,6.7,3,37,4
1510,Pharmaceuticals & Healthcare,Injectable,Liquid (Sterile),3.46,4,0.57,0.92,31.67,6,16,5
1511,E-commerce & Logistics Goods,Toys,Solid,0.13,6,0.46,0.17,5.52,4,37,5
1512,Automotive Parts & Accessories,Engine Part,Solid (Heavy),5.33,2,0.27,0.25,42.1,3,18,1
1513,Cosmetics,Cream,Semi-solid,3.73,4,0.5,0.11,8.01,6,61,4
1514,Automotive Parts & Accessories,Brake Fluid,Liquid,6.56,5,0.73,0.7,20.64,6,47,5
1515,Luxury & Specialty Items,Watch,Solid (Fragile),3.12,7,0.57,0.15,14.1,7,71,2
1516,Automotive Parts & Accessories,Engine Part,Solid (Heavy),13.89,2,0.23,0.25,20.81,6,8,4
1517,Automotive Parts & Accessories,Spare Part,Solid,6.71,5,0.56,0.05,26.73,9,17,3
1518,Food & Beverages,Snacks,Fragile Solid,4.57,7,0.29,0.29,16.07,8,50,4
1519,Cosmetics,Perfume,Liquid (Volatile),1.24,5,0.7,0.87,22.27,9,5,2
1520,Cosmetics,Lipstick,Solid,1.12,3,0.44,0.12,33.12,6,54,3
1521,E-commerce & Logistics Goods,Toys,Solid,0.57,5,0.28,0.17,20.48,9,44,4
1522,Clothing & Textiles,Jeans,Solid (Flexible),7.09,2,0.37,0.29,35.91,9,6,1
1523,Food & Beverages,Ready-to-Eat Meal,Semi-solid,2.9,3,0.5,0.07,30.68,7,52,1
1524,Cosmetics,Lotion,Liquid,6.67,3,0.44,0.93,36.93,8,60,3
1525,Electronics & Consumer Goods,Headphones,Solid,14.49,5,0.54,0.24,15.92,7,43,2
1526,Agriculture & Raw Materials,Seeds,Granular Solid,19.54,2,0.78,0.24,12.66,7,46,4
1527,E-commerce & Logistics Goods,Kitchenware,Fragile Solid,2.5,8,0.6,0.24,12.02,7,34,3
1528,Automotive Parts & Accessories,Car Battery,Solid (Hazardous),11.26,5,0.41,0.08,19.58,7,36,5
1529,Chemical Products,Paint,Liquid,3.32,3,0.64,0.77,8.48,9,19,1
1530,Clothing & Textiles,Fabric Roll,Solid (Roll Form),2.7,4,0.46,0.17,20.68,9,20,3
1531,Clothing & Textiles,Shoes,Solid,8.22,5,0.31,0.08,3.76,3,29,1
1532,Chemical Products,Fertilizer,Granular Solid,24.09,3,0.71,0.08,25.54,6,42,1
1533,Food & Beverages,Frozen Food,Solid (Temp-Sensitive),14.69,3,0.59,0.2,28.89,3,6,3
1534,Chemical Products,Chemical Powder,Powder,11.87,4,0.91,0.15,6.18,9,4,5
1535,Agriculture & Raw Materials,Raw Cotton,Compressible Solid,2.69,2,0.38,0.25,30.87,9,69,1
1536,E-commerce & Logistics Goods,Kitchenware,Fragile Solid,4.78,9,0.39,0.08,7.86,8,70,4
1537,Electronics & Consumer Goods,Power Bank,Solid (Battery Risk),9.75,3,0.6,0.2,5.88,7,16,3
1538,Chemical Products,Pesticide Powder,Powder,19.83,3,0.82,0.17,19.4,9,4,3
1539,Agriculture & Raw Materials,Raw Cotton,Compressible Solid,1.85,4,0.47,0.2,17.46,3,44,1
1540,E-commerce & Logistics Goods,Mixed Merchandise,Mixed,1.04,3,0.33,0.18,6.14,8,10,1
1541,Luxury & Specialty Items,Premium Perfume,Liquid,8.71,3,0.44,0.86,10.53,8,63,5
1542,Luxury & Specialty Items,Jewelry,Solid (Fragile),1.44,8,0.5,0.24,5.5,5,13,5
1543,Clothing & Textiles,Jeans,Solid (Flexible),9.6,3,0.47,0.16,23.71,7,22,5
1544,Food & Beverages,Flour,Powder,3.28,5,0.86,0.27,25.25,8,29,4
1545,Automotive Parts & Accessories,Engine Oil,Liquid,6.25,4,0.73,0.81,9.42,4,3,1
1546,Agriculture & Raw Materials,Animal Feed,Granular Solid,23.7,5,0.81,0.21,4.41,9,9,3
1547,Automotive Parts & Accessories,Spare Part,Solid,10.07,3,0.37,0.18,11.2,3,70,2
1548,Electronics & Consumer Goods,Smartphone,Solid (Fragile),4.24,8,0.41,0.2,8.61,5,61,4
1549,Cosmetics,Cream,Semi-solid,12.72,3,0.37,0.19,32.03,4,34,5
1550,Luxury & Specialty Items,Artwork,Highly Fragile Solid,0.21,7,0.32,0.16,16.06,3,56,5
1551,Food & Beverages,Biscuits,Fragile Solid,1,8,0.23,0.27,7.56,5,25,2
1552,E-commerce & Logistics Goods,Kitchenware,Fragile Solid,1.34,7,0.55,0.21,19.15,7,61,5
1553,Chemical Products,Adhesive,Viscous Liquid,6.65,5,0.72,0.92,23.19,3,49,5
1554,Clothing & Textiles,T-shirt,Solid (Flexible),2.05,4,0.22,0.26,26.2,6,42,3
1555,Agriculture & Raw Materials,Raw Cotton,Compressible Solid,11.58,2,0.56,0.12,18.29,9,14,4
1556,Electronics & Consumer Goods,Tablet,Solid (Fragile),4.4,7,0.47,0.14,19.83,4,71,5
1557,Clothing & Textiles,T-shirt,Solid (Flexible),3.65,2,0.27,0.11,32.86,6,32,4
1558,Cosmetics,Nail Polish,Liquid (Flammable),6.02,5,0.78,0.86,17.78,6,69,2
1559,Cosmetics,Nail Polish,Liquid (Flammable),0.99,3,0.63,0.97,5.55,8,51,1
1560,Clothing & Textiles,Bedding,Compressible Solid,14.89,5,0.29,0.15,27.7,3,71,1
1561,Clothing & Textiles,Bedding,Compressible Solid,12.82,6,0.28,0.11,5.02,6,36,4
1562,Luxury & Specialty Items,Jewelry,Solid (Fragile),1.83,7,0.5,0.3,7.45,3,60,4
1563,Automotive Parts & Accessories,Car Battery,Solid (Hazardous),3.72,3,0.4,0.21,30.64,5,3,1
1564,Electronics & Consumer Goods,Power Bank,Solid (Battery Risk),7.31,4,0.45,0.17,26.07,6,31,4
1565,Agriculture & Raw Materials,Grains,Granular Solid,16.23,2,0.98,0.13,12.87,6,66,2
1566,E-commerce & Logistics Goods,Kitchenware,Fragile Solid,0.6,8,0.54,0.07,2.18,7,4,4
1567,E-commerce & Logistics Goods,Toys,Solid,11.53,3,0.52,0.25,19.75,4,31,3
1568,Luxury & Specialty Items,Watch,Solid (Fragile),3.31,8,0.32,0.11,4.32,6,53,5
1569,Clothing & Textiles,Jeans,Solid (Flexible),7.31,3,0.43,0.22,39.21,8,66,5
1570,Luxury & Specialty Items,Jewelry,Solid (Fragile),4.74,8,0.44,0.1,1.76,4,27,4
1571,Luxury & Specialty Items,Watch,Solid (Fragile),3.89,9,0.35,0.06,4.55,3,4,2
1572,Food & Beverages,Sauce/Ketchup,Viscous Liquid,0.47,5,0.66,0.98,18.09,4,52,2
1573,Food & Beverages,Dry Grains,Granular Solid,5.68,3,0.78,0.3,28.99,3,52,1
1574,Electronics & Consumer Goods,Smartphone,Solid (Fragile),0.14,7,0.41,0.27,15.22,5,48,3
1575,Agriculture & Raw Materials,Seeds,Granular Solid,7.75,5,0.77,0.07,23.43,6,34,1
