Material_Type,Tensile_Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Moisture_Barrier_Grade,Cost_per_unit
Aluminum Foil,27,4.8,0,9.46,95.3,10,11.4414
Virgin Plastic (PP),83.8,2.1,4,5.03,14.9,10,26.9462
Bamboo Fiber,58.8,2.9,96.5,0.64,45.8,6,18.7464
Bamboo Fiber,53.4,6.4,99,0.81,43.5,8,18.215
Mushroom Mycelium,18,8.6,100,0.24,100,6,8.028
Aluminum Foil,24.2,4.8,0,10.76,98.7,10,10.8546
Edible Seaweed Film,14.2,6.3,100,0.57,5.4,4,6.4532
Edible Seaweed Film,13,9.4,100,0.58,1.5,2,7.033
Edible Seaweed Film,7.4,0.8,100,0.47,9.4,3,2.7352
Virgin Plastic (PP),70.9,7,0.4,5.79,19.5,10,24.689
Bamboo Fiber,55.9,9.7,98.9,1.04,47.4,7,19.9932
Virgin Plastic (PP),77.3,8.7,4.3,3.91,11.1,10,26.7598
Bagasse (Sugarcane),26.8,9.3,99,1.04,64.3,7,11.1094
Bioplastic (PLA),71.3,4.7,86.4,1.72,51.5,8,23.241
Virgin Plastic (PP),78.2,4.3,1.6,3.83,21.8,10,25.6724
Mushroom Mycelium,18.1,9.9,100,0.35,100,4,8.47
Bamboo Fiber,40.4,6.7,97.5,0.61,33.6,6,14.3848
Bagasse (Sugarcane),32.1,1.7,99.5,1.32,54.2,7,10.4956
Aluminum Foil,28.9,9.3,0,11.45,97.9,10,13.7542
Edible Seaweed Film,6.1,1.1,100,0.4,3.2,4,2.4336
Virgin Plastic (PP),72.6,6.5,3.6,5.84,25.8,10,25.0464
Aluminum Foil,39.9,1.5,0,8.56,94.8,10,14.1424
Bioplastic (PLA),56.4,9.9,85.6,2.22,57.6,9,20.4188
Aluminum Foil,29.1,5,0,10.24,99.4,10,12.2792
Aluminum Foil,37.3,3.6,0,9.08,93.2,10,14.0996
Virgin Plastic (PP),82.7,9.3,4,4.17,29,10,28.576
Virgin Plastic (PP),89.7,4.6,2.3,5.34,28.9,10,29.5002
Recycled Cardboard,28,6.3,93.9,1.07,85,5,10.534
Edible Seaweed Film,10.8,1.2,100,0.36,2.4,3,3.8672
Recycled Cardboard,30.7,8.6,93.7,0.96,99.6,3,11.9828
Recycled Cardboard,32.8,2,92.1,1.13,93,3,10.68
Edible Seaweed Film,7.3,0.6,100,0.36,5.3,3,2.6314
Recycled Cardboard,24.3,5.3,93.1,1.23,92.5,3,9.141
Aluminum Foil,38.7,8.6,0,8.35,93.7,10,15.8726
Bagasse (Sugarcane),23.5,2.2,98.9,1.28,51.2,7,8.0636
Aluminum Foil,21.2,9.9,0,8.12,95.9,10,10.9622
Bamboo Fiber,51.4,9.1,95,1.02,31.5,6,18.491
Bagasse (Sugarcane),36.9,8,99.1,1,55,5,13.76
Virgin Plastic (PP),70,4.3,4.4,4.95,21.4,10,23.4372
Virgin Plastic (PP),62.3,4.6,1,4.92,28.4,10,21.1972
Bamboo Fiber,46,6.1,98.9,0.87,34.6,6,15.9348
Virgin Plastic (PP),64.3,3.8,0.5,4.59,14.5,10,21.519
Bamboo Fiber,43.8,1.9,97.1,0.74,40.3,7,13.9774
Mushroom Mycelium,23.7,7.2,100,0.29,100,4,9.328
Bamboo Fiber,42,3.6,98.6,0.84,30.2,8,13.9876
Recycled Cardboard,19.3,9.4,99.6,1.49,86.3,5,8.9354
Mushroom Mycelium,20,2.5,100,0.39,100,6,6.828
Aluminum Foil,31.2,9.8,0,10.64,94.8,10,14.4384
Aluminum Foil,26,2.9,0,8.27,91.2,10,10.3416
Mushroom Mycelium,10.7,7.8,100,0.38,100,6,5.626
Bagasse (Sugarcane),32.4,2.7,97.6,1.14,55.2,6,10.8476
Bioplastic (PLA),67,3.5,88.7,2.5,44.5,9,21.761
Mushroom Mycelium,10.5,7.6,100,0.12,100,4,5.454
Edible Seaweed Film,13.2,6.6,100,0.41,0.3,4,6.2214
Bamboo Fiber,41.7,5.4,95.9,1.15,47.8,8,14.4644
Mushroom Mycelium,10.2,8.9,100,0.24,100,5,5.778
Bagasse (Sugarcane),30.1,9,96.9,1.32,62.7,6,12.0686
Bagasse (Sugarcane),26.9,8.4,95.6,0.99,63.5,5,10.861
Edible Seaweed Film,11.3,1.3,100,0.39,5.3,2,4.0474
Virgin Plastic (PP),85.3,5.2,3.4,3.61,14.5,10,28.043
Mushroom Mycelium,13.9,1.1,100,0.34,100,4,4.568
Aluminum Foil,25,5.4,0,8.92,96.9,10,10.9102
Virgin Plastic (PP),73.8,8.9,4.4,4.91,29.7,10,25.9326
Bioplastic (PLA),58.3,7.4,82.5,2.29,48.6,8,20.2708
Aluminum Foil,33.6,6.5,0,10.6,94.6,10,14.1608
Virgin Plastic (PP),77.5,3.9,2.4,5.8,21.5,10,25.737
Recycled Cardboard,18.6,8.6,96.5,1.1,84.5,5,8.411
Bagasse (Sugarcane),31,8.6,98.8,1.24,56.8,7,12.2144
Bioplastic (PLA),65.4,4.3,91.1,2.12,40.3,9,21.4534
Bioplastic (PLA),54.3,3.2,85.6,2.49,41.3,9,17.8654
Mushroom Mycelium,12,0.9,100,0.27,100,5,3.924
Aluminum Foil,24.1,2.2,0,10.61,94.5,10,10.023
Mushroom Mycelium,22,4.2,100,0.22,100,5,7.904
Recycled Cardboard,24.6,8.4,94,1.33,94,3,10.178
Mushroom Mycelium,20.4,5.4,100,0.31,100,4,7.802
Mushroom Mycelium,21.3,0.8,100,0.3,100,4,6.69
Mushroom Mycelium,15.7,4.2,100,0.3,100,5,6.03
Edible Seaweed Film,13.7,9.8,100,0.25,3.2,3,7.2936
Aluminum Foil,21.1,2,0,10.39,92.5,10,9.023
Recycled Cardboard,31.1,2.3,94.1,1.27,87.5,4,10.299
Virgin Plastic (PP),69.4,9.4,1.4,5.42,20.7,10,24.8826
Aluminum Foil,26.2,6.5,0,10.87,90.7,10,12.0026
Recycled Cardboard,32.6,5.4,92.5,1.46,91.1,5,11.7098
Bioplastic (PLA),70,9.6,92.1,2.18,41.3,8,24.4334
Aluminum Foil,38.1,8.2,0,8.1,92.7,10,15.5246
Recycled Cardboard,32.5,7.8,93.5,1.07,83.9,5,12.3362
Bagasse (Sugarcane),25.4,6.4,98.1,1.33,50.7,5,9.9046
Aluminum Foil,42.6,3.9,0,10.01,96,10,15.96
Virgin Plastic (PP),82,2,0.6,4.89,16.8,10,26.3444
Mushroom Mycelium,22,7.4,100,0.25,100,4,8.87
Aluminum Foil,40.3,0.8,0,8.01,91.8,10,13.9484
Bamboo Fiber,60,7.8,96.8,0.6,35,7,20.59
Bagasse (Sugarcane),22.6,5.6,95.7,0.99,67.2,5,8.7236
Virgin Plastic (PP),85,1.1,1.8,4.73,10.6,10,26.9548
Bagasse (Sugarcane),22.5,1.9,98.3,1.16,55.4,5,7.6412
Bamboo Fiber,46.6,1.5,96.3,0.77,32.2,7,14.7196
Virgin Plastic (PP),62.3,8.5,0.2,4.64,12.9,10,22.3422
Virgin Plastic (PP),61.7,8.3,3.9,5.61,26.8,10,22.2684
Bioplastic (PLA),64.7,7.1,83.1,2.41,59.3,8,22.1034
Mushroom Mycelium,19.2,7.6,100,0.23,100,6,8.086
Recycled Cardboard,33.1,4.2,99,1.34,84.7,5,11.4886
Virgin Plastic (PP),78.7,0.8,0.8,4.06,25.3,10,24.8114
Bagasse (Sugarcane),38.3,4.3,95.5,1.32,61.5,7,13.121
Virgin Plastic (PP),89.1,8.1,0.3,4.07,29.9,10,30.1142
Aluminum Foil,33.9,5.6,0,11.18,93.5,10,14.099
Virgin Plastic (PP),80.7,4.5,2.4,4.87,22.8,10,26.6884
Recycled Cardboard,30.2,4,93.8,1.36,81.1,5,10.5698
Bamboo Fiber,47.6,9.6,98.2,0.69,30.3,6,17.4374
Bioplastic (PLA),54.1,9.4,89.6,1.97,59.2,9,19.5256
Mushroom Mycelium,21.8,2,100,0.27,100,6,7.194
Mushroom Mycelium,19.3,5.8,100,0.13,100,4,7.556
Mushroom Mycelium,19.2,8,100,0.21,100,4,8.202
Edible Seaweed Film,12,6.4,100,0.23,4.9,3,5.7562
Edible Seaweed Film,9.6,4.6,100,0.53,0.5,2,4.565
Aluminum Foil,36.3,2.2,0,11.67,91,10,13.902
Edible Seaweed Film,12.9,5.4,100,0.3,1.4,2,5.7472
Recycled Cardboard,25.4,2,91,0.81,84.4,3,8.4132
Virgin Plastic (PP),88.4,1.6,1.4,4.7,12,10,28.116
Virgin Plastic (PP),71.2,8.9,1,5.82,18.8,10,25.3564
Aluminum Foil,44.4,8.5,0,10.04,100,10,17.878
Bioplastic (PLA),53.8,5.2,94.1,1.94,53.2,9,18.1816
Bagasse (Sugarcane),31.9,2.6,99.8,0.99,62.3,6,10.6234
Bioplastic (PLA),50.2,4.5,91.7,2.28,44.6,8,16.9768
Bioplastic (PLA),62.6,4.2,91.3,2.33,55.8,8,20.5944
Virgin Plastic (PP),84.9,3.1,3.9,3.82,23.1,10,27.3178
Bagasse (Sugarcane),39.5,8.7,95.5,1.22,55.2,5,14.7936
Bagasse (Sugarcane),38.4,7.9,98,1.18,65.9,5,14.1942
Bioplastic (PLA),70.6,9.6,93.2,2.39,41,9,24.656
Bamboo Fiber,48.7,5,100,1.19,44.3,8,16.4594
Edible Seaweed Film,13.9,6.1,100,0.31,8.5,4,6.245
Virgin Plastic (PP),62.2,3.6,4,3.99,11,10,20.716
Bioplastic (PLA),74.2,3.3,88.8,2.26,58.9,8,23.7842
Recycled Cardboard,25.2,8.7,96.7,1.43,93.2,5,10.4696
Bamboo Fiber,52.1,9.2,99.3,0.76,38,6,18.666
Aluminum Foil,34.2,9.4,0,9.96,96.9,10,15.0782
Virgin Plastic (PP),71.7,6.6,1.2,5.16,26.5,10,24.669
Bagasse (Sugarcane),34.9,8.9,97.4,1.18,59,7,13.458
Edible Seaweed Film,5.6,7.2,100,0.48,3.7,3,4.1286
Aluminum Foil,22.9,6.3,0,8.45,98,10,10.454
Mushroom Mycelium,20.7,2.8,100,0.36,100,6,7.122
Edible Seaweed Film,14.9,4.5,100,0.34,0.2,2,6.0876
Edible Seaweed Film,11.3,4.3,100,0.36,5.3,3,4.9414
Mushroom Mycelium,16.1,4.3,100,0.32,100,5,6.184
Virgin Plastic (PP),82.2,5.2,3.6,4.97,12.5,10,27.389
Virgin Plastic (PP),84,6.3,3.3,4.03,19.4,10,28.0572
Mushroom Mycelium,21.6,1.7,100,0.11,100,5,7.012
Recycled Cardboard,20,3.9,95.2,1.08,84.4,4,7.4172
Bagasse (Sugarcane),26.8,0.7,95.1,1.26,64,7,8.574
Bamboo Fiber,47.8,1,97.1,1.18,47.2,8,14.9816
Bagasse (Sugarcane),28.9,5.2,96,1.4,59.9,6,10.5902
Virgin Plastic (PP),87.7,6.2,2.4,4.7,20,10,29.27
Edible Seaweed Film,8.5,6.8,100,0.25,7.4,2,4.8252
Aluminum Foil,20.2,3.8,0,11.43,93.7,10,9.4986
Bagasse (Sugarcane),20.9,8.1,97.2,1.35,64.3,5,9.0414
Recycled Cardboard,31.6,8.9,92.3,1.13,80.9,3,12.4142
Bagasse (Sugarcane),35.5,2.5,99.5,0.93,53.1,5,11.6798
Recycled Cardboard,18.7,4.2,99.1,1.28,94.5,4,7.137
Bioplastic (PLA),67,6.1,91.5,2.33,58.5,9,22.479
Recycled Cardboard,30.6,6.4,97.2,0.85,93.3,4,11.2834
Mushroom Mycelium,11,2.1,100,0.2,100,5,3.97
Bamboo Fiber,53.4,6.1,100,1.07,35.9,6,18.1922
Mushroom Mycelium,14.2,9.9,100,0.25,100,4,7.28
Bioplastic (PLA),61.5,2.3,87.4,2.3,43.9,8,19.7122
Bamboo Fiber,48,0.6,98.2,0.94,48.1,6,14.8718
Aluminum Foil,21.7,4.6,0,11.62,94.2,10,10.2256
Bagasse (Sugarcane),27.6,3.3,97.4,1.39,68.9,5,9.6102
Aluminum Foil,33.9,1.6,0,9.9,96.7,10,12.6366
Virgin Plastic (PP),71.6,1.5,4,5.7,13.6,10,23.2428
Bagasse (Sugarcane),21.8,4.6,96.4,1.15,67.4,7,8.2152
Bioplastic (PLA),51,0.9,91.4,1.62,54.4,8,15.9852
Mushroom Mycelium,15.3,9.1,100,0.14,100,5,7.348
Recycled Cardboard,20.7,2.7,91.2,1.38,93.3,4,7.3094
Bioplastic (PLA),62.6,5.4,86.8,1.87,41.1,8,20.8918
Virgin Plastic (PP),77.4,2,2.1,3.51,21.7,10,24.6786
Bagasse (Sugarcane),30.3,4.7,95.7,1.32,60.7,5,10.8426
Bagasse (Sugarcane),25.5,0.9,95.9,1.05,59.9,7,8.2102
Mushroom Mycelium,14.1,7.9,100,0.21,100,4,6.642
Aluminum Foil,29,4.8,0,8.84,97.8,10,11.9124
Bamboo Fiber,51.2,3.3,96.8,0.88,44.6,8,16.6368
Edible Seaweed Film,11.3,9.1,100,0.57,0.6,3,6.4328
Bioplastic (PLA),65.4,5.6,94.2,2.34,53.7,8,21.8606
Aluminum Foil,23.5,8.5,0,9.23,99.8,10,11.4464
Virgin Plastic (PP),81.5,4.9,4.7,4.91,12.1,10,27.0778
Bamboo Fiber,41.5,8.1,97.8,1.07,44.6,8,15.2048
Mushroom Mycelium,18.6,0.6,100,0.11,100,4,5.782
Virgin Plastic (PP),78.2,8.4,2.5,3.81,24.2,10,26.8936
Recycled Cardboard,24.2,5.3,95.3,1.09,82.9,5,9.1022
Edible Seaweed Film,5.9,7.1,100,0.42,9.7,3,4.1646
Bagasse (Sugarcane),31.4,6.2,99.1,0.93,62.8,7,11.5404
Bagasse (Sugarcane),24.9,6,97.9,1.39,56.4,7,9.6352
Bamboo Fiber,57.3,4.5,96.5,0.73,48.2,7,18.7896
Aluminum Foil,30.5,5.7,0,10.62,94,10,12.996
Bagasse (Sugarcane),27.3,8.3,99.7,1.35,64.5,5,11.021
Mushroom Mycelium,17.3,4.5,100,0.27,100,4,6.594
Bioplastic (PLA),56.6,9.2,84.4,2.32,42.1,8,20.3198
Recycled Cardboard,32.4,6,92.7,0.85,85.5,4,11.719
Recycled Cardboard,24,3.8,97.1,1.29,93.1,4,8.6118
Edible Seaweed Film,5.3,3.2,100,0.47,6.4,3,2.8312
Edible Seaweed Film,14.6,2.4,100,0.38,9.4,2,5.3572
Bioplastic (PLA),57.8,4.7,94.2,2.4,55.1,8,19.3198
Bamboo Fiber,49.4,1.5,98.6,0.74,41.5,8,15.535
Mushroom Mycelium,15.9,7.1,100,0.31,100,6,6.962
Aluminum Foil,26.8,8.7,0,9.48,97.8,10,12.5504
Bioplastic (PLA),53.7,1.3,87.5,2.36,46.8,8,17.0784
Aluminum Foil,26.5,3.1,0,9,93.4,10,10.6932
Edible Seaweed Film,12.4,4.2,100,0.33,3.5,2,5.239
Aluminum Foil,20.6,6,0,10.42,98.5,10,10.067
Bioplastic (PLA),59.6,4.8,94,1.6,40.2,8,19.7596
Bioplastic (PLA),52,1.7,93,1.84,40.3,8,16.5974
Bagasse (Sugarcane),37.6,7.9,96.8,1.27,64.8,6,13.9744
Edible Seaweed Film,10.1,8,100,0.55,8.8,4,5.7224
Bamboo Fiber,52.8,5.6,95.8,0.71,33.1,8,17.7958
Recycled Cardboard,17,7.4,96.7,1.1,99.8,4,7.5404
Edible Seaweed Film,5.6,8.8,100,0.21,2.6,3,4.5568
Bioplastic (PLA),54.6,1.3,84.7,2.38,45.4,8,17.3552
Edible Seaweed Film,8.4,9.3,100,0.28,9.2,3,5.5476
Mushroom Mycelium,22.2,9.3,100,0.15,100,6,9.48
Bagasse (Sugarcane),25.1,7.9,98.4,1.4,66.8,6,10.2464
Bagasse (Sugarcane),33.4,7.2,95.2,1.02,58.1,5,12.4678
Mushroom Mycelium,17.1,6,100,0.22,100,4,6.974
Recycled Cardboard,34.2,3.8,98,1.4,81.3,4,11.7174
Recycled Cardboard,18.4,1,92.4,1.33,98.3,3,6.0894
Virgin Plastic (PP),83.8,7.5,0.5,5.39,14,10,28.64
Mushroom Mycelium,10.6,7.7,100,0.34,100,6,5.558
Recycled Cardboard,28.5,4.2,91.8,1.34,90.2,3,10.0976
Edible Seaweed Film,11.6,7.2,100,0.38,5,2,5.906
Bioplastic (PLA),56.3,5.7,91.4,2.08,53.8,8,19.1084
Bagasse (Sugarcane),23.6,2.7,98.9,1.24,58.4,7,8.2212
Bamboo Fiber,56.6,6.1,98.7,0.66,46,8,19.05
Bioplastic (PLA),63.1,9.7,89.5,1.73,52.4,8,22.2812
Bamboo Fiber,44.1,0.7,97.7,1.09,46.6,8,13.7648
Bamboo Fiber,51.7,4.8,96.3,0.64,47.9,8,17.1822
Edible Seaweed Film,9.5,2.5,100,0.39,6.2,4,3.8656
Edible Seaweed Film,6.4,8.2,100,0.23,6.3,4,4.6134
Aluminum Foil,30.5,5.7,0,11.48,91.2,10,13.1736
Edible Seaweed Film,8,7.6,100,0.37,1.1,3,4.9518
Virgin Plastic (PP),76.5,1.1,2,4.16,16.8,10,24.2784
Aluminum Foil,27,4.8,0,11.24,99,10,11.79
Bioplastic (PLA),64.4,8.2,81.6,1.95,55.9,8,22.2582
Bagasse (Sugarcane),24.7,9.4,95.8,1,58.1,5,10.5138
Bagasse (Sugarcane),23.1,3.6,97.6,1.18,50,6,8.346
Bioplastic (PLA),57.1,8,83.8,1.58,45.9,8,19.9542
Bamboo Fiber,51.4,7.2,97.7,0.79,49.6,7,17.8388
Mushroom Mycelium,18.1,4.2,100,0.28,100,6,6.746
Virgin Plastic (PP),65.3,5.8,4.4,5.59,11.3,10,22.6254
Bioplastic (PLA),64.1,1.1,91.8,1.72,58.6,8,19.9868
Edible Seaweed Film,11,6.3,100,0.49,9.3,2,5.4694
Bamboo Fiber,41.6,4.5,95.6,0.71,49.5,7,14.073
Bioplastic (PLA),73.2,5.6,90.8,2.11,56.5,8,24.149
Virgin Plastic (PP),71.9,7.4,4.4,4.16,10.7,10,24.8006
Bioplastic (PLA),66.1,1.2,87.7,1.68,50.2,8,20.6256
Edible Seaweed Film,5.3,10,100,0.33,6,4,4.844
Recycled Cardboard,33.1,7.5,99.6,1,82.4,4,12.4152
Bagasse (Sugarcane),29.7,4.1,99.2,1.34,62.1,6,10.4838
Edible Seaweed Film,14.9,3.1,100,0.47,5.2,2,5.6836
Recycled Cardboard,31.2,2.1,95.1,0.94,80.5,5,10.217
Virgin Plastic (PP),73.8,1.3,2.1,4.57,13.7,10,23.6166
Bagasse (Sugarcane),34.8,7.4,98.8,1.25,56.3,6,12.9974
Bioplastic (PLA),58.5,6.2,88.9,1.61,47.4,9,19.8372
Mushroom Mycelium,18.8,4.7,100,0.34,100,6,7.118
Aluminum Foil,33.3,3.5,0,8.63,93,10,12.78
Virgin Plastic (PP),87,5.8,4.2,5.28,10.5,10,29.075
Mushroom Mycelium,21.9,4.4,100,0.16,100,5,7.922
Virgin Plastic (PP),60.4,5.9,2.4,5.79,11,10,21.226
Aluminum Foil,20.5,1.5,0,9.48,99,10,8.498
Aluminum Foil,34.7,8.9,0,9.95,95.4,10,15.0792
Virgin Plastic (PP),72.2,8.8,1.9,5.33,21.5,10,25.523
Virgin Plastic (PP),64.2,4.3,4.2,3.81,23.8,10,21.4644
Bamboo Fiber,48.8,9.3,99.2,0.5,36.4,6,17.6572
Aluminum Foil,40,8.7,0,8.26,92.8,10,16.2764
Virgin Plastic (PP),86,4.8,0.8,3.6,10.2,10,28.1396
Recycled Cardboard,29.1,6.2,97,1.1,94.9,3,10.8202
Bioplastic (PLA),50.6,4.9,84.8,1.93,46.6,8,17.1428
Edible Seaweed Film,5.6,2.1,100,0.22,1.9,2,2.5502
Bamboo Fiber,46.1,3.9,95.5,0.7,43.1,8,15.2538
Bamboo Fiber,42.2,7.7,95.7,1.07,31,6,15.322
Aluminum Foil,44.9,9.9,0,10.57,98.3,10,18.5574
Bagasse (Sugarcane),23.9,5.9,95.4,1.19,68.9,7,9.2402
Edible Seaweed Film,8.1,8.2,100,0.6,0.3,2,5.2094
Bagasse (Sugarcane),35.3,9.3,95.9,0.91,62.4,7,13.6372
Bioplastic (PLA),74.9,3.9,92.1,2.03,45,8,24.156
Bagasse (Sugarcane),31.6,2.9,97.4,1.21,50.3,5,10.6914
Aluminum Foil,36.9,1,0,9.48,98.5,10,13.269
Mushroom Mycelium,23.6,2.8,100,0.2,100,6,7.96
Mushroom Mycelium,14.4,4.5,100,0.16,100,5,5.702
Bagasse (Sugarcane),23.6,4.5,98,0.91,60.3,6,8.6914
Bioplastic (PLA),69.4,5.4,84.1,2.24,49.3,9,22.9894
Bioplastic (PLA),51.2,9.6,86.6,1.78,42.5,8,18.711
Aluminum Foil,44.7,7.2,0,10.93,97.6,10,17.7608
Aluminum Foil,37.4,2.8,0,9.66,94.4,10,14.0032
Bioplastic (PLA),63.8,5.4,90.2,1.71,44.6,8,21.2128
Bagasse (Sugarcane),21.6,1.4,99.6,0.91,54.4,6,7.1732
Edible Seaweed Film,12.3,9.8,100,0.24,2.9,2,6.8722
Aluminum Foil,26.4,3.8,0,8.53,90.3,10,10.7854
Edible Seaweed Film,12.3,3.8,100,0.44,2.9,3,5.1122
Aluminum Foil,36.3,5.8,0,11.88,95.2,10,15.0156
Bagasse (Sugarcane),21.6,8.1,97.9,0.95,62.6,7,9.1748
Bioplastic (PLA),69.1,8.5,83.4,1.85,51.6,8,23.7468
Virgin Plastic (PP),73.4,7.1,2.1,3.5,10.3,10,25.0294
Edible Seaweed Film,7.5,7,100,0.39,6.3,4,4.6154
Edible Seaweed Film,9.4,9.2,100,0.56,3.8,3,5.8844
Virgin Plastic (PP),69.9,9.4,2.5,5.72,24.3,10,25.0854
Recycled Cardboard,20.3,1.2,90.5,1.2,92.8,3,6.7044
Bagasse (Sugarcane),25.5,8,99.4,1.05,61.9,7,10.3362
Bagasse (Sugarcane),28.4,2.9,98.7,1.24,67.6,5,9.7028
Virgin Plastic (PP),65.3,9.9,0.1,5.63,27.9,10,23.8302
Recycled Cardboard,23.8,2.1,90,1.07,88.4,5,8.0072
Bioplastic (PLA),60.4,4.8,86,2.46,54.7,9,20.1426
Bagasse (Sugarcane),33.5,2.1,99.3,1.03,60.7,7,10.9646
Recycled Cardboard,30.8,7.6,92.1,1.26,84.6,5,11.8028
Bamboo Fiber,48.8,0.8,95.7,0.75,36.8,7,15.1564
Bagasse (Sugarcane),35.9,5,97.2,1.29,52.5,5,12.623
Mushroom Mycelium,18,4.4,100,0.11,100,6,6.742
Bagasse (Sugarcane),25.1,6.2,99.4,1.38,68.8,6,9.7284
Edible Seaweed Film,13.7,6,100,0.48,2.2,4,6.2016
Aluminum Foil,40.1,4.7,0,8.9,94.5,10,15.231
Aluminum Foil,23,2.6,0,8.24,90.3,10,9.3474
Edible Seaweed Film,11.4,7.6,100,0.29,7.9,4,5.9422
Virgin Plastic (PP),64.9,6.6,4.8,4.92,13.7,10,22.6066
Recycled Cardboard,25.8,5.4,91.9,0.94,90.2,5,9.5676
Bamboo Fiber,52.5,6.7,96.1,1.03,40.4,8,18.0852
Virgin Plastic (PP),75.5,3.8,4.1,5.31,10.1,10,25.0318
Recycled Cardboard,31,9.7,91.6,1.31,91.1,3,12.4898
Mushroom Mycelium,16.1,8.5,100,0.28,100,5,7.436
Mushroom Mycelium,24,1.5,100,0.38,100,5,7.726
Virgin Plastic (PP),86,6.3,0.2,5.76,11.7,10,29.0186
Virgin Plastic (PP),85.3,8.9,3.3,5.2,28.2,10,29.4436
Aluminum Foil,28,4.9,0,9.05,97.3,10,11.6854
Recycled Cardboard,23.7,4.5,95.2,0.87,85.8,4,8.6624
Bioplastic (PLA),59.7,2.3,93.2,2.45,53.5,9,19.183
Recycled Cardboard,23.6,2,90.5,1.42,95.9,3,7.9722
Bioplastic (PLA),61.7,9.5,93,1.86,51.2,8,21.8296
Bioplastic (PLA),60.8,5.1,82.1,1.62,44,9,20.206
Recycled Cardboard,19.9,2.8,99.8,1.3,88.8,4,7.0924
Bamboo Fiber,41.7,0.7,98.9,0.63,45.6,7,12.9548
Mushroom Mycelium,10.6,9.1,100,0.35,100,4,5.98
Recycled Cardboard,24.4,4.6,99.8,0.98,95.7,3,8.9046
Edible Seaweed Film,7.3,3.6,100,0.51,9.6,2,3.5528
Mushroom Mycelium,11.9,7,100,0.15,100,6,5.7
Virgin Plastic (PP),87.4,9.8,2.4,4.93,14.2,10,30.3176
Recycled Cardboard,26.2,3.1,91.8,0.83,81.4,4,8.9932
Edible Seaweed Film,12.3,4.1,100,0.31,8.6,2,5.1648
Bioplastic (PLA),53.8,8,82.3,2.47,55.3,8,19.1234
Bamboo Fiber,55.5,9.9,95.7,1.06,41.5,8,19.949
Aluminum Foil,41.4,6.9,0,11.56,90.3,10,16.8214
Bioplastic (PLA),67.9,3.2,90.8,1.75,43.5,8,21.793
Virgin Plastic (PP),74.4,9.5,4.2,3.67,13.4,10,26.0772
Bamboo Fiber,44.6,5.2,96,0.71,49.1,8,15.1838
Aluminum Foil,23.8,1.6,0,11.77,92.8,10,9.9884
Edible Seaweed Film,10,1.4,100,0.27,6.4,2,3.6612
Bamboo Fiber,45.9,1.4,98.1,0.63,32.4,8,14.4512
Aluminum Foil,36.9,1,0,9.1,92.3,10,13.2054
Edible Seaweed Film,6,5,100,0.36,3,2,3.566
Recycled Cardboard,32.9,3.4,99.9,0.92,96.7,4,11.0806
Recycled Cardboard,17.8,4.5,92.9,0.98,95.4,3,6.8952
Mushroom Mycelium,18.3,6.7,100,0.32,100,6,7.564
Recycled Cardboard,15.9,6.6,98.2,0.83,94.9,3,6.9262
Bamboo Fiber,54.6,5.2,96.6,0.91,48.8,7,18.2244
Bagasse (Sugarcane),30.5,0.8,98.7,1.33,58.7,5,9.7386
Mushroom Mycelium,12.1,9.7,100,0.1,100,4,6.56
Bamboo Fiber,57.7,5,95.6,0.95,31,7,19.138
Aluminum Foil,26.5,7.8,0,8.08,91.8,10,11.9224
Edible Seaweed Film,10.1,0.6,100,0.3,2,4,3.466
Bamboo Fiber,52.6,3.9,99.8,0.8,30.9,8,17.2482
Mushroom Mycelium,16.1,7.4,100,0.14,100,6,7.078
Bioplastic (PLA),66.7,5.4,85.3,1.71,54.4,9,22.0632
Recycled Cardboard,31.1,7.4,92.2,1.25,93.2,3,11.8136
Aluminum Foil,26.7,4.6,0,8.47,95.6,10,11.0928
Virgin Plastic (PP),86.2,9.9,3.2,3.76,23.2,10,29.7356
Bagasse (Sugarcane),34.1,6.1,98.8,0.96,67.1,7,12.3178
Virgin Plastic (PP),81.2,8.6,2.3,4.5,11.4,10,28.0172
Bagasse (Sugarcane),20.9,3,97.5,0.94,67.7,5,7.4226
Mushroom Mycelium,13.9,4.9,100,0.29,100,4,5.698
Aluminum Foil,23.1,8,0,8.63,90.3,10,11.0754
Aluminum Foil,36.5,5.8,0,9.03,92.4,10,14.5112
Recycled Cardboard,33.7,1.8,97.2,1.08,81.5,4,10.903
Virgin Plastic (PP),83.2,2.3,2.1,4.63,25.2,10,26.7256
Virgin Plastic (PP),63.5,9.6,0.9,5.25,12.5,10,23.155
Edible Seaweed Film,5.8,7.4,100,0.49,2.9,2,4.2522
Aluminum Foil,21.2,8.8,0,9.83,93.6,10,10.9788
Bagasse (Sugarcane),36.6,4.5,96.1,1.32,65.4,6,12.6632
Bamboo Fiber,45.1,0.7,99.4,1,44.6,7,14.0508
Mushroom Mycelium,23.2,8.7,100,0.19,100,6,9.608
Recycled Cardboard,16.2,6.6,94.8,1.21,80.9,3,7.1202
Bagasse (Sugarcane),37.9,2.8,96.3,0.94,68.2,6,12.4616
Recycled Cardboard,18.9,9.1,91.2,1.49,96.9,5,8.7042
Aluminum Foil,25.1,4.7,0,11.17,93.1,10,11.1878
Bagasse (Sugarcane),26.6,3.3,95.1,0.9,68,6,9.214
