material_id,base_category,material_form,tensile_strength_mpa,thickness_mm,weight_capacity_kg,moisture_barrier_score,leakage_resistance_score,biodegradability_score,co2_kg_per_kg,recyclability_percent,cost_per_kg_inr
1030,Paper,Corrugated Board,35.11,5.78,64.53,0.371,0.238,0.921,0.956,95.9,99.6
1031,Plastic,PP,31.7,6.37,85.2,0.969,1,0.041,1.616,74.6,117.03
1032,Glass,Tempered Glass,81.74,1.81,63.54,0.927,0.864,0,1.156,92.5,110.39
1033,Paper,Corrugated Board,34.75,6.77,124.89,0.351,0.228,0.926,0.938,96.6,78.85
1034,Metal,Aluminum Alloy 3003,107.34,1.14,53.61,0.934,0.825,0,8.69,94.1,325.36
1035,Glass,Borosilicate Glass,76.99,4.25,129.94,1,1,0,1.417,87.5,80.51
1036,Metal,Steel (304 Grade),393.09,5.77,667.69,1,0.848,0,2.063,96.8,141.93
1037,Bioplastic,PLA,51.12,4.19,71.07,0.648,0.81,0.785,0.993,63.1,262.28
1038,Bioplastic,PLA,50.2,7.89,123.44,0.714,0.642,0.866,1.397,50.1,210.82
1039,Glass,Soda-Lime Glass,71.73,5.59,198.68,0.941,0.885,0,1.192,90.3,64.74
1040,Metal,Steel (304 Grade),401.85,6.66,1012.16,1,0.937,0,2.479,90.2,123.67
1041,Paper,Kraft Paper,27.7,1.92,17.21,0.3,0.2,0.939,0.84,88,81.34
1042,Sustainable,Hemp Fiber Board,27.7,6.82,74.32,0.449,0.426,0.945,0.796,80.2,100.43
1043,Metal,Aluminum Alloy 3003,107.04,3.94,186.45,1,1,0,7.924,98,254.81
1044,Metal,Tinplate (Coated Steel),244.13,7.14,882.91,0.94,1,0,2.485,88.3,133.63
1045,Glass,Soda-Lime Glass,72.1,0.91,30.29,0.957,0.917,0,0.895,100,49.8
1046,Sustainable,Seaweed-based Film,18.06,1.49,10.74,0.683,0.676,0.96,0.493,78.3,142.76
1047,Plastic,HDPE,20.73,7.89,77.37,0.928,0.893,0.047,1.434,76,156.87
1048,Glass,Borosilicate Glass,73.77,7.42,243.56,1,0.949,0,1.172,94.8,72.21
1049,Paper,Kraft Paper,26.84,0.99,9.06,0.323,0.18,0.939,0.811,89.5,58.1
1050,Paper,Corrugated Board,40.58,3.56,47.48,0.329,0.208,0.898,1.09,90.4,87.15
1051,Glass,Soda-Lime Glass,68.32,4.83,164.37,1,0.833,0,0.845,100,44.82
1052,Sustainable,Mycelium Packaging,14.56,7.82,56.42,0.207,0.275,0.913,0.397,60.3,138.61
1053,Glass,Tempered Glass,81.51,7.69,192.39,1,0.83,0,1.274,89.2,85.49
1054,Metal,Aluminum Alloy 3003,108.98,1.3,58.81,1,0.845,0,7.162,100,296.31
1055,Metal,Tinplate (Coated Steel),245.88,4.05,398.52,1,0.909,0,1.991,97.2,112.05
1056,Plastic,PP,24.73,7.52,96.6,0.89,0.783,0.038,1.236,84.1,167.66
1057,Paper,Kraft Paper,27.48,1.82,26.19,0.312,0.183,1,0.787,90.7,72.21
1058,Paper,Kraft Paper,29.04,2.33,30.72,0.294,0.178,0.918,0.88,86,57.27
1059,Glass,Borosilicate Glass,76.61,4.27,118.53,0.979,1,0,1.001,100,69.72
1060,Glass,Tempered Glass,80.65,2.03,83.06,1,1,0,1.469,83.7,109.56
1061,Paper,Kraft Paper,25.86,5.61,51.38,0.289,0.213,0.973,0.758,92.1,54.78
1062,Metal,Aluminum Foil (Thin Gauge),66.7,7.78,251.06,1,0.932,0,5.446,100,225.76
1063,Sustainable,Bagasse,20.11,7.99,53.67,0.327,0.363,0.94,0.547,74,99.6
1064,Plastic,PET,40.83,3.08,48.33,0.918,0.945,0.021,1.715,89.1,197.54
1065,Glass,Borosilicate Glass,75.89,0.33,8.26,0.96,0.988,0,1.376,88.7,90.47
1066,Paper,Kraft Paper,29.64,4.33,46.42,0.281,0.215,0.908,0.884,85.8,84.66
1067,Paper,Kraft Paper,24.78,7.57,66.53,0.289,0.21,0.906,0.704,94.8,66.4
1068,Plastic,PET,41.53,5.1,109.67,0.906,0.825,0.018,1.804,87.5,231.57
1069,Plastic,HDPE,25.26,7.97,76.33,0.929,1,0.052,1.845,66.3,184.26
1070,Sustainable,Hemp Fiber Board,28.66,5.24,52.39,0.444,0.521,0.978,0.885,75.7,120.35
1071,Bioplastic,PLA,49.97,2.93,64.12,0.667,0.74,0.808,1.344,51.8,179.28
1072,Paper,Corrugated Board,31.93,1.39,13.19,0.348,0.213,0.988,0.819,100,105.41
1073,Paper,Corrugated Board,36.43,1.22,17.11,0.347,0.214,0.892,0.984,94.8,111.22
1074,Metal,Aluminum Alloy 3003,108.5,0.96,51.1,1,1,0,7.148,100,216.63
1075,Paper,Corrugated Board,30.74,2.12,30.97,0.335,0.218,0.983,0.83,100,102.92
1076,Paper,Corrugated Board,29.04,6.52,68.14,0.348,0.201,0.879,0.77,100,83.83
1077,Metal,Aluminum Rigid (Can Grade),93.88,4.61,220.1,1,0.884,0,7.606,99.7,218.29
1078,Metal,Aluminum Alloy 3003,110.17,2.69,128.5,0.987,1,0,6.727,100,255.64
1079,Paper,Molded Pulp,19.38,7.08,65.06,0.212,0.123,1,0.685,81.5,87.98
1080,Metal,Tinplate (Coated Steel),252.37,3.32,250.56,1,1,0,2.17,93.9,151.06
1081,Paper,Molded Pulp,17.35,3.55,33.6,0.211,0.146,0.952,0.598,86.4,66.4
1082,Plastic,HDPE,21.27,1.25,12.31,0.955,0.948,0.05,1.494,74.6,133.63
1083,Glass,Borosilicate Glass,73.93,3.21,113.97,1,0.993,0,1.496,85.1,70.55
1084,Paper,Molded Pulp,17.58,1.81,9.45,0.195,0.145,1,0.637,84.1,68.06
1085,Metal,Steel (304 Grade),398.74,5.17,1078.27,1,0.938,0,2.397,91.5,171.81
1086,Metal,Aluminum Alloy 3003,110.12,6.92,249.83,1,1,0,7.43,100,263.11
1087,Plastic,HDPE,23.52,7.78,80.61,0.921,0.974,0.047,1.646,71,141.93
1088,Sustainable,Mycelium Packaging,14.6,4.46,25.1,0.193,0.25,0.912,0.388,61.3,126.16
1089,Metal,Aluminum Rigid (Can Grade),97.42,3.96,206.75,1,0.842,0,6.11,100,258.96
1090,Metal,Aluminum Foil (Thin Gauge),63.62,4.86,119.63,1,0.864,0,7.523,92.7,258.13
1091,Glass,Soda-Lime Glass,68.2,7.08,234.47,0.96,1,0,1.035,96.2,58.1
1092,Glass,Soda-Lime Glass,68.72,1.06,29.82,0.926,0.981,0,0.974,98.5,48.97
1093,Glass,Tempered Glass,81.31,0.81,24.8,1,1,0,1.263,89.5,107.07
1094,Metal,Steel (304 Grade),404.87,7.45,995.08,0.928,0.999,0,2.074,96.7,154.38
1095,Paper,Corrugated Board,35.28,6.52,73.6,0.356,0.241,0.903,0.979,94.9,89.64
1096,Glass,Soda-Lime Glass,69.17,7.58,235.26,1,0.909,0,1.03,96.4,48.97
1097,Bioplastic,PLA,49.46,2.32,50.1,0.748,0.614,0.857,1.13,58.7,205.84
1098,Metal,Tinplate (Coated Steel),250.28,0.25,31.56,1,1,0,2.485,88.3,121.18
1099,Plastic,PET,44.1,6.45,138.35,0.86,0.767,0.018,1.907,85.7,136.12
1100,Paper,Molded Pulp,18.53,7.77,65.6,0.213,0.155,0.979,0.639,84.1,68.06
1101,Metal,Aluminum Foil (Thin Gauge),65.07,3.71,122.06,1,0.988,0,7.933,90.4,254.81
1102,Glass,Tempered Glass,82.06,7.66,336.67,1,0.952,0,1.263,89.5,94.62
1103,Metal,Tinplate (Coated Steel),248.56,4.65,500.87,0.996,0.882,0,1.704,100,128.65
1104,Metal,Aluminum Alloy 3003,107.47,6.95,267.51,1,1,0,8.533,94.9,250.66
1105,Glass,Borosilicate Glass,74.58,2.04,60.84,1,1,0,1.331,90.1,93.79
1106,Glass,Borosilicate Glass,73.03,5.01,117.12,0.924,1,0,1.163,95.1,81.34
1107,Metal,Steel (304 Grade),409.28,7.09,1017.98,0.936,0.912,0,2.727,86.2,149.4
1108,Sustainable,Seaweed-based Film,17.68,1.55,14.28,0.623,0.604,0.899,0.603,71.2,129.48
1109,Paper,Molded Pulp,16.21,1.42,12.45,0.195,0.122,0.959,0.559,88.6,79.68
1110,Glass,Tempered Glass,81.01,1.72,58.37,0.96,0.81,0,1.277,89.1,82.17
1111,Bioplastic,PLA,51.17,1.32,22.8,0.704,0.764,0.847,1.182,57,200.86
1112,Metal,Aluminum Foil (Thin Gauge),65.51,3.82,135.86,1,0.858,0,5.507,100,241.53
1113,Paper,Corrugated Board,29.66,4.35,64.07,0.378,0.262,0.966,0.77,100,78.02
1114,Glass,Borosilicate Glass,74.47,3.79,149.61,0.982,0.98,0,1.207,93.8,89.64
1115,Paper,Molded Pulp,20.91,7.15,81.03,0.187,0.16,0.98,0.754,77.6,92.96
1116,Glass,Soda-Lime Glass,70.23,1.92,47.07,1,0.975,0,0.985,98,54.78
1117,Paper,Corrugated Board,27.43,7.85,86.62,0.337,0.218,1,0.728,100,82.17
1118,Glass,Tempered Glass,79.11,7.21,193.45,0.968,0.986,0,1.061,95.2,98.77
1119,Metal,Aluminum Alloy 3003,112.98,0.25,8.63,0.948,1,0,7.572,99.8,237.38
1120,Sustainable,Bagasse,20.15,0.64,6.99,0.371,0.438,1,0.431,82.7,85.49
1121,Paper,Molded Pulp,16.78,7.99,72.74,0.195,0.145,1,0.563,88.3,73.04
1122,Paper,Kraft Paper,26.12,2.81,37.44,0.313,0.195,0.911,0.77,91.5,74.7
1123,Sustainable,Seaweed-based Film,17.56,0.73,6.76,0.644,0.76,0.903,0.62,70.1,152.72
1124,Sustainable,Hemp Fiber Board,28.66,3.37,48.64,0.466,0.505,0.885,0.876,76.2,136.12
1125,Bioplastic,PLA,51.45,7.54,175.26,0.66,0.633,0.911,1.009,62.6,276.39
1126,Plastic,PP,27.4,4.5,36.68,0.853,0.759,0.04,1.372,80.7,130.31
1127,Paper,Molded Pulp,16.55,1.34,8.65,0.197,0.148,0.962,0.593,86.6,64.74
1128,Glass,Tempered Glass,79.02,4.14,161.83,0.982,0.92,0,1.563,81,101.26
1129,Metal,Aluminum Rigid (Can Grade),94.62,5.08,152.21,0.946,0.895,0,8.378,95.6,197.54
1130,Sustainable,Mycelium Packaging,15.13,3.12,19.85,0.211,0.274,0.914,0.31,70.1,101.26
1131,Sustainable,Seaweed-based Film,18.15,3.09,19.58,0.645,0.703,0.968,0.655,67.9,141.1
1132,Sustainable,Mycelium Packaging,15.22,4.84,28.43,0.214,0.209,0.921,0.337,67.1,102.92
1133,Paper,Corrugated Board,28.37,6.2,85.3,0.324,0.254,0.944,0.727,100,78.85
1134,Sustainable,Hemp Fiber Board,27.26,6.59,64.36,0.475,0.462,0.936,0.704,84.8,93.79
1135,Paper,Molded Pulp,18.59,1.2,10.71,0.201,0.13,0.935,0.643,83.9,73.04
1136,Sustainable,Bagasse,20.37,4.06,44.3,0.362,0.329,0.978,0.467,80,83.83
1137,Metal,Aluminum Rigid (Can Grade),93.16,2.6,82.18,0.922,0.817,0,8.021,97.5,283.03
1138,Plastic,HDPE,18.28,3.74,30.12,0.985,0.88,0.05,1.3,79.2,167.66
1139,Sustainable,Mycelium Packaging,15.24,5.79,31.22,0.196,0.24,0.949,0.286,72.8,92.13
1140,Metal,Aluminum Foil (Thin Gauge),64.34,0.51,12.77,0.973,0.89,0,6.992,95.7,263.94
1141,Plastic,PET,47.17,1.67,33.17,0.84,0.829,0.019,2.142,81.4,197.54
1142,Metal,Steel (304 Grade),389.99,2.48,306.14,0.989,0.881,0,2.131,95.7,131.14
1143,Metal,Aluminum Foil (Thin Gauge),66.18,3.73,131.98,0.961,0.877,0,6.31,99.5,239.04
1144,Sustainable,Seaweed-based Film,18.2,2.61,19.92,0.619,0.741,0.968,0.561,73.9,117.86
1145,Plastic,PP,29.29,7.68,71.88,0.902,0.831,0.038,1.418,79.5,162.68
1146,Plastic,PP,35.47,5.93,63.98,0.865,0.823,0.037,1.785,70.4,134.46
1147,Sustainable,Mycelium Packaging,14.73,0.43,3.29,0.201,0.263,0.963,0.312,69.9,108.73
1148,Sustainable,Hemp Fiber Board,28.71,7.21,73.72,0.442,0.497,1,0.822,78.9,113.71
1149,Plastic,PP,28.41,3.72,44.38,0.873,1,0.038,1.41,79.7,145.25
1150,Bioplastic,PLA,48.97,5.02,103.87,0.661,0.79,0.846,0.979,63.5,219.12
1151,Bioplastic,PLA,50.85,3.11,78.99,0.67,0.796,0.824,1.271,54.1,162.68
1152,Glass,Soda-Lime Glass,70.35,0.68,25.03,1,1,0,0.967,98.7,66.4
1153,Glass,Soda-Lime Glass,69.46,0.55,19.27,0.942,1,0,0.889,100,56.44
1154,Glass,Soda-Lime Glass,70.03,3.93,131.91,0.998,1,0,1.112,93.3,72.21
1155,Sustainable,Bagasse,20.03,3.68,30.23,0.356,0.407,1,0.412,84.1,81.34
1156,Sustainable,Bagasse,19.94,7.81,62.36,0.328,0.385,0.935,0.6,70,84.66
1157,Glass,Borosilicate Glass,74.77,1.47,37.31,0.945,0.973,0,1.075,97.7,69.72
1158,Sustainable,Seaweed-based Film,18.14,5.86,56.62,0.679,0.633,0.939,0.592,71.9,126.99
1159,Glass,Borosilicate Glass,76.07,7.78,236.87,1,1,0,1.093,97.2,62.25
1160,Metal,Tinplate (Coated Steel),254.17,1.26,174.52,1,0.952,0,1.782,100,112.05
1161,Plastic,PP,26.09,6,73.45,0.878,0.963,0.041,1.279,83,190.9
1162,Glass,Tempered Glass,79.87,7.26,207.77,1,0.945,0,1.501,82.8,83
1163,Plastic,PET,49.05,3.7,79.23,0.842,0.845,0.019,2.124,81.8,182.6
1164,Metal,Aluminum Foil (Thin Gauge),63.8,6.59,183.02,1,0.763,0,7.792,91.2,318.72
1165,Paper,Molded Pulp,21.64,3.97,26.9,0.211,0.159,0.963,0.774,76.5,93.79
1166,Glass,Borosilicate Glass,73.03,5.27,205.63,1,0.972,0,1.11,96.7,87.15
1167,Paper,Kraft Paper,22.57,4.68,35.47,0.316,0.174,0.903,0.633,98.4,53.12
1168,Plastic,PP,26.48,5.46,61.26,0.94,0.926,0.037,1.333,81.7,128.65
1169,Sustainable,Mycelium Packaging,14.59,0.24,1.62,0.188,0.219,1,0.393,60.8,106.24
1170,Bioplastic,PLA,48.93,6.86,99.26,0.657,0.695,0.912,1.362,51.2,191.73
1171,Metal,Aluminum Foil (Thin Gauge),65.11,5.03,122.59,1,0.892,0,6.755,97,209.16
1172,Metal,Tinplate (Coated Steel),244.53,6.56,638.05,0.931,1,0,1.843,99.8,110.39
1173,Sustainable,Mycelium Packaging,14.99,0.35,1.92,0.204,0.249,0.986,0.375,62.8,112.88
1174,Paper,Kraft Paper,27.61,0.24,3.01,0.304,0.183,0.88,0.832,88.4,81.34
1175,Plastic,HDPE,20.55,7.52,63.24,0.901,0.965,0.049,1.475,75.1,124.5
1176,Plastic,PP,33.44,7.62,108.29,0.847,0.854,0.043,1.721,72,154.38
1177,Paper,Kraft Paper,25.66,6.88,59.45,0.314,0.198,0.89,0.757,92.2,58.93
1178,Sustainable,Seaweed-based Film,17.7,4.73,43.92,0.638,0.571,0.897,0.692,65.5,112.88
1179,Plastic,PP,34.72,0.95,16.09,0.962,0.897,0.039,1.776,70.6,147.74
1180,Sustainable,Hemp Fiber Board,27.37,6.11,81.7,0.417,0.458,1,0.635,88.2,113.71
1181,Glass,Borosilicate Glass,75.57,7.32,212.01,0.939,1,0,1.001,100,84.66
1182,Metal,Aluminum Rigid (Can Grade),95.38,7.58,278.71,0.995,0.973,0,6.372,100,244.85
1183,Metal,Aluminum Foil (Thin Gauge),66.57,0.47,14.33,0.957,1,0,5.766,100,272.24
1184,Plastic,PP,32.61,5.9,103.18,0.977,1,0.042,1.657,73.6,146.08
1185,Plastic,PP,33.89,0.56,9.02,0.954,0.818,0.041,1.727,71.8,154.38
1186,Glass,Borosilicate Glass,75.52,4.68,109.78,0.957,1,0,1.202,93.9,78.02
1187,Plastic,PET,52.47,7.31,208.88,0.887,0.961,0.021,2.301,78.6,173.47
1188,Paper,Molded Pulp,17.56,3.77,28.68,0.196,0.138,0.954,0.597,86.4,68.06
1189,Sustainable,Bagasse,20.44,7.9,49.02,0.377,0.395,1,0.576,71.8,92.96
1190,Sustainable,Seaweed-based Film,17.5,7.84,59.49,0.624,0.605,1,0.582,72.6,141.1
1191,Plastic,HDPE,23.98,6.67,51.83,0.965,0.81,0.05,1.713,69.4,131.97
1192,Paper,Corrugated Board,36.5,1.25,21.2,0.34,0.26,1,0.958,95.8,101.26
1193,Sustainable,Bagasse,19.76,1.79,14.91,0.368,0.393,1,0.405,84.6,72.21
1194,Sustainable,Mycelium Packaging,14.98,6.25,39.69,0.186,0.205,0.972,0.284,73,101.26
1195,Metal,Aluminum Alloy 3003,110.36,0.27,13.45,1,1,0,6.299,100,286.35
1196,Paper,Corrugated Board,31.92,0.28,4.19,0.342,0.248,0.932,0.824,100,103.75
1197,Plastic,PP,31.63,2.82,27.91,0.986,0.982,0.041,1.58,75.5,141.1
1198,Glass,Tempered Glass,81.17,1.31,47.43,1,1,0,1.371,86.4,106.24
1199,Metal,Aluminum Rigid (Can Grade),97.76,4.93,250.7,1,1,0,6.691,100,224.1
1200,Glass,Soda-Lime Glass,70.84,1.07,35.42,1,0.831,0,1.156,91.6,60.59
1201,Paper,Molded Pulp,19.69,0.45,3.92,0.202,0.139,1,0.683,81.6,75.53
1202,Bioplastic,PLA,50.15,2.26,55.43,0.738,0.758,0.85,0.941,64.8,292.16
1203,Bioplastic,PLA,50.99,2.3,37.51,0.724,0.68,0.8,1.225,55.6,214.97
1204,Plastic,HDPE,21.66,1.52,12.38,0.892,0.954,0.051,1.59,72.3,130.31
1205,Glass,Borosilicate Glass,74.98,1.87,66.41,0.938,0.821,0,1.475,85.8,101.26
1206,Metal,Aluminum Alloy 3003,110.85,7.3,268.88,0.978,0.989,0,6.17,100,266.43
1207,Plastic,HDPE,23.97,7.93,87.15,0.97,0.945,0.052,1.788,67.7,129.48
1208,Metal,Aluminum Alloy 3003,107.44,5.01,209.29,1,0.925,0,6.922,100,215.8
1209,Metal,Aluminum Rigid (Can Grade),95.88,1.74,60.25,0.969,0.947,0,8.051,97.4,209.99
1210,Bioplastic,PLA,50.79,6.65,132.89,0.736,0.76,0.844,1.336,52.1,205.84
1211,Metal,Tinplate (Coated Steel),255.3,0.83,112.78,1,0.993,0,2.368,90.4,139.44
1212,Sustainable,Seaweed-based Film,17.73,2.56,24.78,0.669,0.609,0.917,0.512,77.1,122.84
1213,Glass,Tempered Glass,78.36,7.52,293.81,0.976,0.842,0,1.082,94.6,109.56
1214,Paper,Kraft Paper,21.87,1.23,14.6,0.297,0.177,0.942,0.601,99.9,48.14
1215,Paper,Molded Pulp,16.85,1.69,11.04,0.188,0.132,0.946,0.597,86.4,74.7
1216,Paper,Molded Pulp,20.43,4.05,33.35,0.199,0.15,0.946,0.752,77.7,89.64
1217,Metal,Aluminum Alloy 3003,108.34,0.56,19.33,1,0.893,0,5.791,100,246.51
1218,Glass,Tempered Glass,80.35,3.89,121.61,0.978,0.9,0,1.373,86.4,119.52
1219,Sustainable,Seaweed-based Film,18.12,2.82,20.22,0.599,0.666,0.995,0.486,78.8,142.76
1220,Paper,Molded Pulp,16.65,0.27,1.77,0.201,0.129,1,0.571,87.9,80.51
1221,Paper,Molded Pulp,16.46,6.55,36.47,0.216,0.131,1,0.59,86.8,78.02
1222,Plastic,HDPE,18,3.59,26.97,1,0.818,0.047,1.269,79.9,211.65
1223,Glass,Tempered Glass,80.67,0.82,27.04,0.926,0.854,0,1.417,85.1,112.05
1224,Paper,Molded Pulp,20.02,5.86,39.2,0.207,0.146,0.937,0.728,79,73.04
1225,Metal,Steel (304 Grade),406.01,0.62,129.91,0.926,0.936,0,2.789,85.2,158.53
1226,Metal,Steel (304 Grade),408.83,5.4,935.3,1,1,0,2.611,88,130.31
1227,Metal,Aluminum Rigid (Can Grade),95.76,3.46,123.96,0.964,0.921,0,8.123,97,271.41
1228,Metal,Aluminum Alloy 3003,110.45,4.07,223.54,0.959,1,0,5.902,100,257.3
1229,Plastic,PP,30.13,4.19,42.4,0.898,0.852,0.041,1.467,78.3,113.71
1230,Paper,Kraft Paper,25.08,5.34,51.85,0.322,0.208,1,0.743,92.9,56.44
1231,Plastic,PET,52.63,4.02,72.94,0.941,0.964,0.019,2.447,76,170.15
1232,Plastic,PET,46.59,1.96,30.02,0.921,0.989,0.02,2.005,83.9,181.77
1233,Paper,Kraft Paper,27.88,5.39,72.13,0.324,0.176,0.965,0.809,89.5,71.38
1234,Glass,Soda-Lime Glass,69.77,1.58,44.91,0.93,0.816,0,0.879,100,52.29
1235,Metal,Aluminum Alloy 3003,110.15,6.58,215.91,0.938,0.836,0,8.164,96.8,251.49
1236,Paper,Kraft Paper,25.32,3.14,39.56,0.277,0.188,0.891,0.726,93.7,61.42
1237,Glass,Tempered Glass,81.37,3.96,99.96,1,1,0,1.507,82.6,91.3
1238,Metal,Aluminum Foil (Thin Gauge),66.36,6.01,173.74,0.979,1,0,6.051,100,203.35
1239,Plastic,PP,26.86,5.24,68.41,0.989,0.965,0.043,1.338,81.5,107.07
1240,Plastic,HDPE,18.51,4.24,30.42,0.897,0.9,0.051,1.291,79.4,180.11
1241,Plastic,PP,27.14,5.05,52.37,0.912,1,0.039,1.37,80.7,108.73
1242,Metal,Steel (304 Grade),398.69,0.78,120.08,1,0.965,0,2.348,92.3,174.3
1243,Metal,Steel (304 Grade),391.39,5.56,1100.45,0.976,1,0,1.944,98.8,146.08
1244,Plastic,PET,54.63,4.88,108.94,0.935,0.916,0.021,2.439,76.1,168.49
1245,Metal,Steel (304 Grade),411.21,2.07,271.61,0.951,0.909,0,1.926,99,117.86
1246,Metal,Aluminum Rigid (Can Grade),93.42,7.87,385.81,1,1,0,8.361,95.7,216.63
1247,Metal,Aluminum Foil (Thin Gauge),64.59,4.86,104.98,1,0.805,0,7.923,90.4,233.23
1248,Glass,Soda-Lime Glass,71.9,3.1,100.55,0.964,0.847,0,1.083,94.4,56.44
1249,Metal,Aluminum Foil (Thin Gauge),65.94,7.02,237.86,1,0.924,0,6.653,97.6,284.69
1250,Paper,Molded Pulp,17.09,7.77,65.28,0.193,0.131,1,0.604,86.1,78.02
1251,Metal,Tinplate (Coated Steel),244.75,6.89,618.34,1,1,0,1.841,99.9,119.52
1252,Metal,Aluminum Foil (Thin Gauge),65.87,1.76,41.78,0.993,1,0,7.296,94,266.43
1253,Paper,Kraft Paper,29.46,4.13,61.23,0.308,0.171,0.947,0.889,85.6,73.87
1254,Sustainable,Mycelium Packaging,14.99,3.95,25.68,0.189,0.235,1,0.376,62.7,131.14
1255,Plastic,PP,25.53,0.78,6.91,0.972,0.867,0.042,1.201,85,180.94
1256,Paper,Molded Pulp,22.1,6.36,67.34,0.195,0.128,0.907,0.79,75.6,86.32
1257,Metal,Steel (304 Grade),411.48,3.07,458.82,1,0.89,0,2.7,86.6,156.87
1258,Metal,Aluminum Rigid (Can Grade),96.6,4.3,194.11,1,1,0,6.977,100,201.69
1259,Sustainable,Bagasse,19.95,6.06,49.84,0.349,0.335,0.934,0.47,79.7,96.28
1260,Metal,Steel (304 Grade),395.84,3.65,483.78,0.965,1,0,1.968,98.4,147.74
1261,Glass,Borosilicate Glass,77.14,1.03,31.15,0.925,0.872,0,1.477,85.7,93.79
1262,Metal,Tinplate (Coated Steel),256.05,6.4,624.32,0.993,0.879,0,2.078,95.6,116.2
1263,Paper,Molded Pulp,18.46,2.54,20.76,0.186,0.149,0.956,0.638,84.1,72.21
1264,Metal,Aluminum Alloy 3003,107.25,5.61,218.1,1,1,0,6.351,100,283.03
1265,Metal,Aluminum Rigid (Can Grade),93.02,2.65,127.24,1,1,0,7.218,100,278.88
1266,Sustainable,Hemp Fiber Board,28.6,1.08,14.12,0.434,0.536,0.928,0.603,89.8,115.37
1267,Sustainable,Bagasse,20.31,5.42,58.36,0.355,0.427,1,0.552,73.6,87.15
1268,Glass,Borosilicate Glass,75.31,3.34,129.09,0.931,1,0,1.376,88.7,101.26
1269,Plastic,HDPE,19.96,1.12,9.66,0.949,0.913,0.05,1.398,76.9,204.18
1270,Sustainable,Bagasse,19.66,7.37,46.46,0.36,0.429,0.941,0.463,80.3,78.02
1271,Paper,Corrugated Board,31.25,3.89,64.43,0.36,0.266,0.991,0.847,100,95.45
1272,Paper,Molded Pulp,21.13,7.15,63.57,0.205,0.16,0.949,0.757,77.4,72.21
1273,Paper,Kraft Paper,27.84,5.94,73.07,0.284,0.186,0.9,0.8,90,73.04
1274,Sustainable,Mycelium Packaging,15.09,4.9,30.65,0.195,0.272,1,0.28,73.5,116.2
1275,Sustainable,Seaweed-based Film,17.85,4.62,34.64,0.66,0.663,0.971,0.566,73.6,109.56
1276,Paper,Molded Pulp,15.8,4.2,29.3,0.206,0.16,0.999,0.552,89,75.53
1277,Paper,Molded Pulp,18.11,2.94,28.71,0.216,0.144,0.976,0.617,85.3,72.21
1278,Metal,Aluminum Alloy 3003,109.62,0.94,35.45,1,0.949,0,7.503,100,234.89
1279,Sustainable,Bagasse,20.11,0.37,3.96,0.328,0.406,0.916,0.485,78.7,102.92
1280,Metal,Aluminum Rigid (Can Grade),92.25,1.83,83.37,1,1,0,7.878,98.3,255.64
1281,Sustainable,Bagasse,20.4,5.66,43.97,0.337,0.417,0.937,0.56,73,90.47
1282,Glass,Borosilicate Glass,74.01,1.24,35.18,1,0.982,0,1.033,99,62.25
1283,Plastic,PET,38.67,0.95,17.57,0.852,0.825,0.019,1.7,89.4,193.39
1284,Paper,Molded Pulp,18.34,6.16,38.87,0.184,0.164,1,0.644,83.8,77.19
1285,Sustainable,Seaweed-based Film,17.48,1.28,9.19,0.638,0.574,0.96,0.647,68.4,141.93
1286,Plastic,PP,28.42,4.24,55.39,0.975,0.822,0.039,1.372,80.7,109.56
1287,Paper,Kraft Paper,24.19,3.12,32.66,0.282,0.165,0.893,0.701,94.9,73.87
1288,Paper,Corrugated Board,30.63,6.83,113.22,0.351,0.245,0.986,0.832,100,86.32
1289,Plastic,PP,32.52,0.63,7,0.937,0.882,0.037,1.628,74.3,151.06
1290,Metal,Aluminum Alloy 3003,111.88,0.36,13.88,1,0.817,0,7.569,99.8,231.57
1291,Sustainable,Seaweed-based Film,18.31,4.99,32.41,0.653,0.691,0.94,0.524,76.3,103.75
1292,Bioplastic,PLA,48.91,7.12,157.78,0.713,0.812,0.864,1.268,54.2,201.69
1293,Sustainable,Seaweed-based Film,17.78,6.36,42.59,0.684,0.637,0.996,0.598,71.6,140.27
1294,Sustainable,Mycelium Packaging,14.97,4.32,19.51,0.192,0.231,0.962,0.364,64.1,107.07
1295,Paper,Kraft Paper,29.48,1.68,24.58,0.303,0.165,0.969,0.867,86.7,63.91
1296,Paper,Molded Pulp,17.68,6.32,40.54,0.184,0.147,1,0.641,84,62.25
1297,Plastic,PET,49.02,1.4,22.43,0.83,0.995,0.021,2.174,80.9,200.03
1298,Plastic,HDPE,21.34,3.93,42.06,0.965,0.86,0.048,1.47,75.2,125.33
1299,Sustainable,Hemp Fiber Board,27.9,2.91,23.87,0.46,0.434,0.936,0.864,76.8,109.56
1300,Glass,Soda-Lime Glass,71.04,1.05,27.59,0.986,1,0,1.008,97.2,61.42
1301,Glass,Soda-Lime Glass,68.04,6.62,181.24,0.985,1,0,0.931,100,44.82
1302,Sustainable,Mycelium Packaging,14.92,4.98,24.39,0.204,0.254,1,0.373,63,131.97
1303,Bioplastic,PLA,49.39,3.14,55.53,0.732,0.717,0.822,0.989,63.2,300.46
1304,Bioplastic,PLA,49.84,6.55,123.66,0.755,0.688,0.914,1.157,57.8,208.33
1305,Metal,Aluminum Alloy 3003,110.94,6.99,230.36,1,1,0,6.643,100,281.37
